datahora,pme_0,pme_1,pme_2,pme_3,pme_4,pme_5,pme_6,pme_7,pme_8,pme_9,pme_10,pme_11,pme_12,pme_13,pme_14,pme_15,pme_16,pme_17,pme_18,pme_19,pme_20,pme_21,pme_22,pme_23,pme_24,pme_25,pme_26,pme_27,pme_28,pme_29,pme_30,pme_31,pme_32,pme_33,pme_34,pme_35,pme_36,pme_37,pme_38,pme_39,pme_40,pme_41,pme_42,pme_43,pme_44,pme_45,pme_46,pme_47,pme_48,pme_49,pme_50,etp
2021-07-30 18:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.517
2021-07-31 00:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.073
2021-07-31 06:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.032
2021-07-31 12:00:00+00:00,0.000,0.001,0.020,0.025,0.005,0.000,0.000,0.000,0.000,0.014,0.001,0.014,0.000,0.001,0.008,0.000,0.026,0.004,0.006,0.000,0.000,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.003,0.000,0.039,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.005,0.001,0.001,0.001,0.000,0.004,0.000,0.000,0.000,0.756
2021-07-31 18:00:00+00:00,0.000,0.000,0.002,0.005,0.006,0.000,0.000,0.000,0.000,0.010,0.002,0.019,0.000,0.000,0.005,0.003,0.028,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.000,0.001,0.000,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.002,0.001,0.001,0.000,0.002,0.000,1.257
2021-08-01 00:00:00+00:00,0.002,0.002,0.036,0.000,0.002,0.000,0.029,0.007,0.002,0.044,0.019,0.003,0.001,0.004,0.016,0.001,0.052,0.049,0.027,0.000,0.000,0.013,0.001,0.001,0.003,0.002,0.012,0.002,0.000,0.001,0.059,0.034,0.004,0.023,0.013,0.001,0.001,0.005,0.003,0.002,0.004,0.001,0.013,0.017,0.004,0.012,0.001,0.010,0.008,0.235,0.000,0.045
2021-08-01 06:00:00+00:00,0.037,0.039,0.209,0.007,0.006,0.000,0.243,0.017,0.012,0.151,0.040,0.012,0.074,0.009,0.197,0.001,0.227,0.287,0.300,0.003,0.000,0.074,0.003,0.011,0.072,0.014,0.031,0.045,0.114,0.000,0.219,0.269,0.136,0.294,0.122,0.052,0.007,0.148,0.073,0.000,0.019,0.001,0.142,0.069,0.052,0.228,0.082,0.091,0.007,0.208,0.001,0.021
2021-08-01 12:00:00+00:00,0.738,1.280,1.376,0.733,0.053,0.021,0.857,0.234,0.366,0.567,0.533,0.585,0.173,0.461,1.161,0.018,1.278,0.443,0.329,1.121,0.007,0.622,0.122,0.474,0.178,0.056,0.150,0.272,0.306,0.221,2.115,0.398,0.779,0.576,1.751,0.317,0.468,1.759,0.085,0.001,0.796,0.002,0.429,4.454,0.648,0.814,0.072,1.649,1.937,0.128,0.112,0.750
2021-08-01 18:00:00+00:00,0.304,0.176,0.971,0.708,0.466,0.008,0.777,0.475,0.230,0.998,0.837,0.842,0.442,1.098,0.679,0.081,1.188,0.385,1.097,0.036,0.397,1.395,0.137,0.098,0.260,0.150,0.614,0.434,0.510,0.002,1.371,1.282,0.381,0.801,0.979,0.632,0.200,0.728,0.392,0.091,0.681,0.061,0.655,1.016,0.999,0.745,0.093,0.713,0.528,0.233,0.123,1.405
2021-08-02 00:00:00+00:00,0.232,0.027,0.031,0.179,0.114,0.035,0.097,0.481,1.346,0.513,1.001,0.067,0.162,0.127,0.657,0.456,0.176,0.116,0.577,0.031,0.248,0.202,0.040,0.031,0.022,0.005,0.190,0.087,0.027,0.002,2.749,0.084,0.698,0.404,0.396,0.341,0.088,0.309,0.269,0.519,0.508,0.067,0.263,0.262,0.196,0.570,0.044,0.375,0.181,0.406,0.247,0.043
2021-08-02 06:00:00+00:00,0.025,0.014,0.006,0.375,0.025,0.019,0.002,0.097,0.995,1.315,0.686,0.089,0.007,0.026,1.728,0.064,0.058,0.006,0.568,0.005,0.279,1.562,0.038,0.050,0.007,0.004,0.025,0.064,0.009,0.000,0.337,0.017,1.150,0.209,0.064,0.108,0.032,0.012,0.044,0.002,0.495,0.003,0.087,0.127,0.134,0.299,0.103,0.059,0.389,0.117,0.009,0.016
2021-08-02 12:00:00+00:00,0.041,0.002,0.036,0.271,0.022,0.016,0.003,0.106,0.206,0.084,0.165,0.066,0.031,0.009,1.480,0.001,0.056,0.001,0.446,0.029,0.114,1.029,0.050,0.011,0.001,0.005,0.022,0.046,0.009,0.000,0.966,0.032,0.105,0.288,0.088,0.007,0.003,0.010,0.007,0.010,0.032,0.007,0.058,0.023,0.046,0.019,0.314,0.089,0.025,0.002,0.006,0.846
2021-08-02 18:00:00+00:00,0.075,0.061,0.266,0.229,0.227,0.075,0.159,1.149,0.202,0.240,0.949,0.110,0.019,0.019,1.467,0.024,0.066,0.030,0.562,0.147,1.119,0.156,0.083,0.030,0.049,0.011,0.134,0.218,0.053,0.040,0.272,0.689,0.263,0.365,0.226,0.369,0.143,0.304,0.204,0.112,0.120,0.079,0.056,0.180,0.449,0.100,0.297,0.865,0.439,0.287,0.006,1.623
2021-08-03 00:00:00+00:00,0.036,0.244,0.075,0.079,0.208,0.161,0.046,1.303,0.021,0.406,0.491,0.280,0.012,0.085,0.219,0.082,0.066,0.016,0.246,0.196,1.141,0.168,0.237,0.096,0.065,0.003,0.173,0.066,0.049,0.047,0.601,0.468,0.684,0.064,0.092,1.738,0.209,1.250,0.317,0.082,0.409,0.024,0.111,0.223,0.735,0.210,0.127,1.779,0.211,0.341,0.324,0.080
2021-08-03 06:00:00+00:00,1.234,0.093,0.593,0.773,0.011,0.189,0.127,1.266,0.030,0.675,0.080,0.286,0.010,0.452,1.902,0.564,0.058,0.002,0.173,0.420,0.810,0.067,0.213,0.478,0.428,0.252,0.477,0.197,0.042,0.281,1.303,0.007,1.336,0.001,0.214,0.474,1.207,0.202,0.306,0.448,0.003,0.281,0.163,0.111,1.563,0.163,0.211,0.276,0.519,0.115,0.542,0.025
2021-08-03 12:00:00+00:00,0.103,0.003,0.462,0.487,0.192,1.909,0.004,0.430,0.002,0.002,0.032,0.014,0.001,0.187,0.272,0.705,0.003,0.001,0.390,0.049,0.021,0.001,0.012,0.004,0.130,0.052,0.066,0.021,0.003,0.094,0.717,0.000,0.186,0.012,0.102,0.002,0.414,0.004,0.028,0.215,0.001,0.312,0.001,0.003,0.096,0.052,0.005,0.090,0.036,0.003,0.001,1.002
2021-08-03 18:00:00+00:00,0.002,0.000,0.320,0.003,0.214,0.710,0.001,0.172,0.000,0.001,0.374,0.158,0.026,0.005,0.550,0.523,0.000,0.000,0.263,0.222,0.669,0.331,0.000,0.000,0.016,0.000,0.014,0.009,0.001,0.185,0.135,0.004,0.025,0.001,0.006,0.000,0.545,0.097,0.000,0.610,0.291,0.151,0.000,0.000,0.084,0.576,0.002,0.000,0.031,0.138,0.019,1.646
2021-08-04 00:00:00+00:00,0.000,0.000,0.001,0.000,0.000,0.011,0.000,0.064,0.000,0.000,0.164,0.033,0.163,0.008,0.115,0.021,0.000,0.000,0.052,0.007,0.502,0.034,0.001,0.000,0.002,0.000,0.001,0.010,0.003,0.029,0.001,0.004,0.000,0.103,0.013,0.001,0.021,0.000,0.000,0.145,0.280,0.024,0.000,0.000,0.091,0.137,0.000,0.015,0.000,0.101,0.030,0.067
2021-08-04 06:00:00+00:00,0.000,0.005,0.001,0.000,0.001,0.001,0.021,0.079,0.003,0.009,0.042,0.010,0.610,0.001,0.025,0.000,0.000,0.014,0.011,0.004,1.021,0.002,0.001,0.000,0.012,0.058,0.019,0.053,0.289,0.002,0.001,0.038,0.006,0.336,0.051,0.053,0.009,0.002,0.019,0.008,0.023,0.018,0.014,0.035,0.007,0.000,0.006,0.220,0.001,0.210,0.038,0.022
2021-08-04 12:00:00+00:00,0.004,0.045,0.002,0.084,0.025,0.009,0.162,0.181,0.008,0.011,0.011,0.019,0.308,0.003,0.036,0.000,0.001,0.091,0.041,0.022,0.303,0.001,0.029,0.073,0.014,0.246,0.181,0.017,0.997,0.135,0.004,0.493,0.017,0.095,0.008,0.224,0.009,0.118,0.209,0.000,0.007,0.005,0.012,0.214,0.014,0.002,0.487,0.343,0.052,0.093,0.411,1.018
2021-08-04 18:00:00+00:00,0.111,0.296,0.206,0.382,0.201,0.001,0.514,0.734,0.023,0.009,0.662,0.214,1.385,0.003,0.831,0.057,0.000,0.257,0.010,0.181,0.010,0.000,0.007,0.278,0.001,0.010,0.692,0.000,1.104,0.017,0.101,1.155,0.015,0.001,0.006,0.638,0.047,0.057,0.218,0.000,0.042,0.000,0.002,0.162,0.480,0.065,0.967,0.633,0.986,0.025,0.891,1.832
2021-08-05 00:00:00+00:00,0.601,0.669,0.795,0.094,0.094,0.030,2.685,0.717,0.122,0.036,0.325,0.082,1.140,0.020,0.995,0.091,0.000,0.220,0.087,0.238,0.000,0.011,0.014,0.462,0.053,0.038,0.641,0.001,0.987,0.010,0.244,0.420,0.386,0.057,0.090,0.672,0.371,0.541,0.173,0.066,0.169,0.002,0.001,0.166,0.997,0.233,0.169,0.143,1.029,0.005,0.286,0.079
2021-08-05 06:00:00+00:00,1.381,0.493,0.935,0.140,0.380,0.164,2.658,0.368,0.463,0.077,0.317,0.373,2.523,0.074,1.532,0.017,0.000,0.103,0.265,0.379,0.093,0.041,0.027,1.410,0.340,0.059,0.381,0.022,0.962,0.336,0.755,0.370,0.273,0.344,0.344,1.488,0.652,1.577,0.129,0.100,0.006,0.027,0.002,0.063,0.797,0.529,0.223,0.003,1.048,0.002,0.223,0.030
2021-08-05 12:00:00+00:00,1.633,0.770,0.574,0.009,0.554,0.767,1.505,0.369,0.540,0.240,0.674,0.260,3.007,0.309,1.031,0.057,0.000,0.483,0.603,0.501,0.089,0.072,0.145,0.702,0.400,0.128,0.432,0.019,0.761,0.667,1.169,0.513,0.517,0.991,0.859,1.315,0.411,1.254,0.204,0.176,0.092,0.391,0.002,0.132,0.374,0.656,0.174,0.227,0.510,0.001,0.213,1.015
2021-08-05 18:00:00+00:00,2.030,0.520,0.613,0.000,0.663,1.127,0.958,0.143,0.479,0.008,0.660,0.233,2.552,0.073,0.782,0.325,0.000,1.065,0.515,0.083,0.354,0.035,0.028,0.783,0.016,0.000,0.167,0.002,0.055,1.138,0.434,1.216,0.630,0.150,0.616,0.970,0.283,0.159,0.026,0.058,0.169,0.267,0.000,0.002,0.169,0.863,0.072,0.426,0.296,0.000,0.437,1.766
2021-08-06 00:00:00+00:00,0.828,0.138,0.188,0.000,0.621,1.245,0.216,0.267,0.270,0.002,0.025,0.062,2.042,0.002,0.133,0.153,0.000,0.763,0.232,0.050,0.073,0.245,0.143,0.230,0.013,0.000,0.023,0.006,0.005,0.424,0.230,0.992,0.220,0.029,0.245,0.207,0.140,0.064,0.001,0.157,0.479,0.022,0.000,0.000,0.143,0.265,0.061,0.467,0.066,0.000,0.099,0.088
2021-08-06 06:00:00+00:00,0.969,0.078,0.160,0.001,0.941,0.735,0.227,0.168,0.805,0.009,0.003,0.013,1.936,0.045,0.262,0.118,0.007,0.495,0.105,0.104,0.138,0.343,0.412,0.954,0.010,0.000,0.113,0.014,0.353,0.197,0.526,0.653,0.142,0.030,0.363,0.089,0.233,0.007,0.012,0.087,0.961,0.022,0.007,0.010,0.189,0.192,0.139,0.373,0.090,0.007,0.069,0.025
2021-08-06 12:00:00+00:00,0.918,0.089,0.075,0.014,0.101,0.285,0.281,0.062,0.264,0.017,0.020,0.026,0.995,0.201,0.471,0.026,0.005,0.018,0.146,0.259,0.068,0.035,0.076,0.927,0.109,0.001,0.228,0.020,0.071,0.214,1.336,0.195,0.022,0.007,0.272,0.013,0.103,0.064,0.001,0.378,1.386,0.025,0.048,0.045,0.245,0.057,0.222,0.155,0.151,0.023,0.115,1.021
2021-08-06 18:00:00+00:00,1.041,0.023,0.299,0.002,0.124,0.820,0.112,0.073,0.405,0.001,0.102,0.069,1.221,0.082,0.687,0.008,0.000,0.000,0.317,0.419,0.007,0.004,0.026,0.445,0.003,0.000,0.169,0.073,0.057,0.015,0.162,0.026,0.070,0.000,0.015,0.016,0.031,0.021,0.002,0.238,1.497,0.176,0.000,0.015,0.197,0.184,0.020,0.015,0.676,0.005,0.037,1.833
2021-08-07 00:00:00+00:00,0.195,0.015,0.676,0.000,0.081,0.156,0.138,0.076,0.049,0.000,0.046,0.022,0.125,0.016,0.159,0.000,0.000,0.000,0.091,0.508,0.000,0.024,0.000,0.086,0.001,0.004,0.013,0.232,0.005,0.002,0.373,0.057,0.035,0.001,0.015,0.070,0.021,0.001,0.004,0.092,0.627,0.217,0.007,0.000,0.045,0.065,0.000,0.011,0.273,0.000,0.003,0.070
