Parametros,Par_LOG,Par_DRMS,Par_MACS,Par_NSE
UZTWM,159.02044595891178,298.7869424734538,298.7869424734538,146.7092805330634
UZFWM,103.71214360825655,120.6610281659319,120.6610281659319,95.7700212144526
LZTWM,36.818352123714355,36.818352123714355,12.280617581550189,78.57093357592055
LZFPM,729.7508659850762,729.7508659850762,993.4978880699088,309.78312313425437
LZFSM,327.75395739997424,327.75395739997424,138.03683197771826,46.5827819540155
UZK,0.7481875685331182,0.728295426554463,0.728295426554463,0.7445903205000497
LZPK,0.0029382517747153143,0.0029382517747153143,0.005653438861058695,0.025948270446974044
LZSK,0.026119367410258748,0.026119367410258748,0.2332367992559511,0.09440116476536242
ADIMP,0.05190601003969611,0.0023084055919683107,0.0023084055919683107,0.008704569956291444
PCTIM,0.13761053308695248,0.19759054566563097,0.16783363421035946,0.193112515554606
ZPERC,141.5551447476442,20.23907639479345,20.23907639479345,120.70890262869699
REXP,4.503549089552567,4.975042371530749,4.975042371530749,4.989187267858112
PFREE,0.5326179256921281,0.5326179256921281,0.7979958049759456,0.2941916599390483
NUH,1.812974450859862,1.807348441625697,1.4462972216530114,2.72718764363545
KUH,3.108418331006008,3.285781180503902,5.996156279259728,1.8967290343847865
NMSK,,,,
KMSK,,,,
XMSK,,,,
