Parametros,Par_LOG,Par_DRMS,Par_MACS,Par_NSE
UZTWM,101.2078126846462,197.89172144741485,197.89172144741485,41.31505860604841
UZFWM,149.37635546403652,142.87720946388225,142.87720946388225,149.74758028639548
LZTWM,104.77638404655931,104.77638404655931,60.24288343343721,105.24131942684541
LZFPM,299.81088320244567,299.81088320244567,635.7784695118825,11.072405569064081
LZFSM,385.90314895132093,385.90314895132093,398.3479373924431,209.1015087124197
UZK,0.13949386683352116,0.7492841411576668,0.7492841411576668,0.7411864840559051
LZPK,0.008909524478672218,0.008909524478672218,0.00911379574525764,0.01777040129149891
LZSK,0.10081406354270024,0.10081406354270024,0.06498616961510228,0.16752359156603253
ADIMP,0.07146264167960624,0.19858408457880292,0.19858408457880292,0.0023640822381709595
PCTIM,0.08403249826407892,0.19961847691834775,0.11309813814521766,0.12994069158581995
ZPERC,317.04080897415497,23.382540532852673,23.382540532852673,235.49979523855944
REXP,1.1510924081808767,4.985696649087206,4.985696649087206,4.999665386274229
PFREE,0.69539310648716,0.69539310648716,0.7823805772085011,0.5822903468790125
NUH,2.019344964560674,1.346270345408154,1.195402359005845,3.980245013511621
KUH,1.3698282436319438,5.945524229117184,4.502094105052774,3.065187981751738
NMSK,,,,
KMSK,,,,
XMSK,,,,
