Parametros,Par_LOG,Par_DRMS,Par_MACS,Par_NSE
UZTWM,25.235127005738107,24.853719807506153,24.853719807506153,72.47740778340872
UZFWM,7.093927295376368,69.17408506208307,69.17408506208307,6.105292832641169
LZTWM,419.4512620725531,419.4512620725531,172.94875546371915,95.95731423745785
LZFPM,645.7448039731344,645.7448039731344,795.6504229665748,958.5411112344952
LZFSM,290.38674042962293,290.38674042962293,270.34173268569754,41.386988991278415
UZK,0.3981964960468062,0.7460321246888594,0.7460321246888594,0.1062016867821812
LZPK,0.007944846057134388,0.007944846057134388,0.007221044704868328,0.0019304376825845832
LZSK,0.061661029847426316,0.061661029847426316,0.06085389649217227,0.044370210894937236
ADIMP,0.19975536012278727,0.19808214952806616,0.19808214952806616,0.19945642570571348
PCTIM,0.09313255683685817,0.10857957428802748,0.11128119377402217,0.13287976856519726
ZPERC,39.8955727955545,136.84875538212142,136.84875538212142,96.76379898954482
REXP,3.2914420337431944,1.7123497661357243,1.7123497661357243,1.1944280007154124
PFREE,0.6823188140556533,0.6823188140556533,0.5656926057019345,0.5660591416280268
NUH,2.0621948163814596,1.835576478647561,1.8760380304294704,1.4234130290203135
KUH,2.6929038521328117,3.3270056848895795,3.1138184366495305,4.624121553141294
NMSK,,,,
KMSK,,,,
XMSK,,,,
