Parametros,Par_LOG,Par_DRMS,Par_MACS,Par_NSE
UZTWM,13.421554445401995,10.300561207854727,10.300561207854727,11.427125670052295
UZFWM,73.58758851994216,134.14838939640808,134.14838939640808,20.793673391382733
LZTWM,79.37601873718341,79.37601873718341,61.83483708778384,72.53952978337848
LZFPM,814.5391924888247,814.5391924888247,996.3411263687865,192.29763759011553
LZFSM,47.39771052669988,47.39771052669988,124.76454448793694,179.23870165091495
UZK,0.7467231277162985,0.7244921670273415,0.7244921670273415,0.10084294202843008
LZPK,0.031118379877471992,0.031118379877471992,0.024299315667717425,0.02570867662234505
LZSK,0.029572736762084446,0.029572736762084446,0.33140736658119696,0.02888028245654121
ADIMP,0.1864472544428274,0.19822405114776065,0.19822405114776065,0.1937954727034796
PCTIM,0.14532077540455102,0.19875063380528238,0.11484986294690538,0.19640416981357786
ZPERC,33.575134933822106,8.417925302807932,8.417925302807932,4.18349514475571
REXP,4.9172053629710835,4.956422306131917,4.956422306131917,4.9871830833939494
PFREE,0.4855706905808922,0.4855706905808922,0.44312005229024165,0.7883606075994396
NUH,3.3374038723310537,1.5246437755373379,1.9310589795431852,2.314188303345358
KUH,1.371144699399887,5.942846766299567,3.4668376208815923,2.9060699061592534
KMSK,91.5752848210704,87.11664629738998,80.12729629301485,105.23933482690721
XMSK,0.07671535004657001,0.21160830232604627,0.05626874076286525,0.18629465148629373
