Parametros,Par_LOG,Par_DRMS,Par_MACS,Par_NSE
UZTWM,28.770588863203702,12.07136539749797,12.07136539749797,12.784891914417223
UZFWM,58.23868393933722,148.2956324027047,148.2956324027047,148.84131017257778
LZTWM,74.94109967522468,74.94109967522468,54.8833655128751,17.8220151144058
LZFPM,739.6721252367278,739.6721252367278,500.4348714669559,343.34626851653076
LZFSM,204.784234057176,204.784234057176,246.29653699193943,395.601271942279
UZK,0.749103757653458,0.15839904622049367,0.15839904622049367,0.4617412899694749
LZPK,0.04757113150706747,0.04757113150706747,0.04993145392604687,0.049836391837353125
LZSK,0.12983574010600357,0.12983574010600357,0.07406516586951443,0.170432297020777
ADIMP,0.13398829194574097,0.19942685041869992,0.19942685041869992,0.17265300140629314
PCTIM,0.19979459528718888,0.19854302594804765,0.16167821997704152,0.19873805152442922
ZPERC,11.68223475359166,223.131468066673,223.131468066673,257.7373112531278
REXP,4.9692175380063395,1.2641257243516777,1.2641257243516777,1.771150173546392
PFREE,0.7749259439011302,0.7749259439011302,0.6118992173629512,0.7969361691793141
NUH,2.6155601029465556,3.608675832978881,2.7206078084652128,3.6941768539294007
KUH,5.4516405524726235,1.0659393685150331,4.975039420286735,1.2000265174920233
KMSK,9.464932267253179,52.35705515997179,9.864214044333604,55.45511600604686
XMSK,0.28626410788257745,0.05373197811324405,0.2640023962283117,0.054216232664527464
