Parametros,Par_LOG,Par_DRMS,Par_MACS,Par_NSE
UZTWM,55.062952192021925,16.94749450932407,16.94749450932407,25.466562339416573
UZFWM,105.24037163266323,35.48677264156466,35.48677264156466,17.43766299039321
LZTWM,362.710331335297,362.710331335297,31.7442930705191,87.05038115626648
LZFPM,483.94612978962635,483.94612978962635,371.5421755142233,59.166485823217016
LZFSM,54.55185858237681,54.55185858237681,286.27097533070224,294.9013410133415
UZK,0.7488145153345688,0.3375084926733083,0.3375084926733083,0.10180693582195012
LZPK,0.019701821040421747,0.019701821040421747,0.009057662994619823,0.0015109937379435342
LZSK,0.3459913154938273,0.3459913154938273,0.3407146224580029,0.34983690480058377
ADIMP,0.0019124411039622706,5.515611676635201e-05,5.515611676635201e-05,6.596791246743874e-05
PCTIM,0.1290759702474241,0.08052809395981966,0.09494559339331729,0.19878292402775713
ZPERC,46.41126775362306,1.8606855516767542,1.8606855516767542,334.8172179110813
REXP,4.8284939257958985,4.992389465670093,4.992389465670093,3.4834407126738394
PFREE,0.7969098576279026,0.7969098576279026,0.14077225666122156,0.614791361523563
NUH,2.0640904296967624,1.1901655870791763,1.7923002768687617,3.9898318456831676
KUH,1.6584222482488173,1.1805941945073404,5.985665829786679,5.956693622129993
NMSK,,,,
KMSK,,,,
XMSK,,,,
