Parametros,Par_LOG,Par_DRMS,Par_MACS,Par_NSE
UZTWM,49.81431445869888,36.73207286410032,36.73207286410032,40.89667301421742
UZFWM,92.5368507528694,75.71206424669423,75.71206424669423,63.8048235238477
LZTWM,10.704938745522478,10.704938745522478,26.379774428245213,10.589188881752653
LZFPM,109.2900856660052,109.2900856660052,335.6550816637292,49.70457405245031
LZFSM,13.756773707979402,13.756773707979402,394.4908599612742,29.607231999443474
UZK,0.10202425042970055,0.10232282796155731,0.10232282796155731,0.11031681629494501
LZPK,0.01045823074002032,0.01045823074002032,0.00887144694851959,0.006370132558114137
LZSK,0.21850286970615498,0.21850286970615498,0.08408205822732129,0.07830290477574989
ADIMP,0.0017711871730960683,0.0001743492720557433,0.0001743492720557433,0.0015010043652400051
PCTIM,0.12336149084625614,0.1988639224383579,0.13626085460068316,0.1996211639548433
ZPERC,342.2374020559875,163.10443789060676,163.10443789060676,346.58885189535255
REXP,4.763527358876686,4.988803187358792,4.988803187358792,1.8480900517531238
PFREE,0.137378846357447,0.137378846357447,0.0318199461584866,0.443433891053675
NUH,2.031578327023905,2.226820862803028,2.7754581840194428,2.500104279018782
KUH,3.9435575867409054,3.172526336043582,2.65250379485075,2.676530873862677
KMSK,77.46749359830827,116.34737127744863,84.60306650696495,127.9038629804707
XMSK,0.16258405048869792,0.2506043434455751,0.2088208979887808,0.2406568754987514
