Parametros,Par_LOG,Par_DRMS,Par_MACS,Par_NSE
UZTWM,41.73771903073483,43.954050975783716,43.954050975783716,142.6531281339723
UZFWM,25.961345065422876,113.86015887687213,113.86015887687213,78.58144583148342
LZTWM,60.018388836507505,60.018388836507505,49.86061865794889,124.3864820844892
LZFPM,397.1893433192195,397.1893433192195,330.5133757532531,170.16652505465987
LZFSM,398.8518651083199,398.8518651083199,328.8456956394781,276.73589349837584
UZK,0.24698904600040855,0.10879323718516809,0.10879323718516809,0.7416151066779344
LZPK,0.005041729709688824,0.005041729709688824,0.004779627190761103,0.00803131385498006
LZSK,0.33444637044085535,0.33444637044085535,0.08749070822302717,0.07018743943354806
ADIMP,0.18785793927351602,0.07636994095299604,0.07636994095299604,0.0861920277156784
PCTIM,0.054626220659072876,0.11524878129717253,0.053909018004011766,0.14762309973982873
ZPERC,10.191968080380889,50.860580447356185,50.860580447356185,228.6534389819764
REXP,4.77037242985245,4.4697699970831595,4.4697699970831595,4.356007935761503
PFREE,0.48977416569650034,0.48977416569650034,0.31216300539012104,0.5632223060351826
NUH,3.4975066095838576,3.758548305131963,1.759785597985697,1.6811054327787753
KUH,5.751766545866663,4.744278904190653,1.0742747877117589,1.1294437300247437
NMSK,,,,
KMSK,,,,
XMSK,,,,
