Parametros,Par_LOG,Par_DRMS,Par_MACS,Par_NSE
UZTWM,11.680504591303754,10.746717692834048,10.746717692834048,10.644781222804692
UZFWM,22.641185285150623,149.87915994951032,149.87915994951032,149.3218658851561
LZTWM,10.028229605144462,10.028229605144462,410.14689214838756,10.45980970870904
LZFPM,989.9738440546067,989.9738440546067,996.1801140958752,15.681905265577821
LZFSM,385.7248973756891,385.7248973756891,210.15042833089024,13.568207253329172
UZK,0.14229770847661172,0.7497366845224002,0.7497366845224002,0.748340649018724
LZPK,0.0030161557991777296,0.0030161557991777296,0.002631814545808429,0.0026761403567569517
LZSK,0.010693897541413137,0.010693897541413137,0.34891236604026754,0.012048305288904933
ADIMP,0.0010000925330357312,0.0004658191860279553,0.0004658191860279553,0.00034758584969125103
PCTIM,0.19881422493763776,0.19915962339410667,0.19780326179420982,0.19995372729055305
ZPERC,341.5238926691681,4.878144971887849,4.878144971887849,1.4366769425624129
REXP,1.0017488984230372,4.988853577378849,4.988853577378849,4.98840314409552
PFREE,0.7981596099505502,0.7981596099505502,0.7994629893605438,0.7941237821025177
NUH,1.9822598243387592,2.409722568199558,3.432159905260125,1.7576530257684748
KUH,5.546067357711771,3.171359477695896,5.962035873445776,4.469852055113334
NMSK,1.8507214990869958,1.3618883798387538,1.8510478226742448,2.1525516019160156
KMSK,2.1226671600820164,1.2794463213845493,2.504968197792076,1.0115766961143242
XMSK,0.34586141314199564,0.07962204503791327,0.46784659742713036,0.3511523200993638
