Parametros,Par_LOG,Par_DRMS,Par_MACS,Par_NSE
UZTWM,58.77525104578935,149.53920364656935,149.53920364656935,58.2846972350465
UZFWM,147.3767688114577,44.136285584825984,44.136285584825984,84.6246765365671
LZTWM,27.21627626447308,27.21627626447308,12.214021056030148,14.700574642289078
LZFPM,501.84481687977546,501.84481687977546,560.1895654378928,238.14083245095858
LZFSM,122.98986186533855,122.98986186533855,172.90126309568646,18.786793472309004
UZK,0.74809957906973,0.7399286434765681,0.7399286434765681,0.7462711509602119
LZPK,0.023118367601250175,0.023118367601250175,0.019705554824833053,0.03641012096254133
LZSK,0.31733601786774096,0.31733601786774096,0.3481349279201858,0.062372286054901235
ADIMP,0.013716354788929415,0.04302218997969767,0.04302218997969767,0.03855440163237371
PCTIM,0.11695161745723973,0.19932700430986322,0.1654146211592184,0.1544144918441439
ZPERC,36.59142836305938,3.379429204813875,3.379429204813875,178.02821614255583
REXP,4.964199473712871,4.931127813052394,4.931127813052394,4.961491193614917
PFREE,0.5721891499250465,0.5721891499250465,0.7836344118581628,0.4359552788577552
NUH,1.5180381186671115,2.454375791057937,1.4301299689336981,2.4126477473714116
KUH,4.720739580647048,1.2508193959148304,5.967284165440409,1.0472361434572743
NMSK,,,,
KMSK,,,,
XMSK,,,,
