Parametros,Par_LOG,Par_DRMS,Par_MACS,Par_NSE
UZTWM,142.8235750756696,165.27047047953351,165.27047047953351,65.58343263487279
UZFWM,146.01956426488343,5.130542807358341,5.130542807358341,96.9118050930143
LZTWM,93.290407359354,93.290407359354,58.33201703275658,61.371167201927506
LZFPM,824.8331104043573,824.8331104043573,556.0698725907303,991.8694671276764
LZFSM,13.920374471678848,13.920374471678848,51.17334324297052,311.4201254180732
UZK,0.44734908513873944,0.6760057091052442,0.6760057091052442,0.7458769997185307
LZPK,0.006532487831779825,0.006532487831779825,0.003759321690361029,0.003176766278111428
LZSK,0.07725190074645001,0.07725190074645001,0.0727418509397107,0.040335429728549727
ADIMP,0.186817060586576,0.19951571127544493,0.19951571127544493,0.19742973059391963
PCTIM,0.10266771603498616,0.11062662123005229,0.09344297586823526,0.06404606824653292
ZPERC,143.26165742189548,115.68305312923013,115.68305312923013,219.99153429485455
REXP,2.958835091707212,1.1039930288183082,1.1039930288183082,1.143286797996589
PFREE,0.7993565722844526,0.7993565722844526,0.004063554136865884,0.21067998748672367
NUH,1.8107282472417154,2.4319618022994036,2.0803240139203925,2.1828895074458567
KUH,3.926352005603481,2.0716765218720226,3.1892347019614706,2.1878946296253994
NMSK,,,,
KMSK,,,,
XMSK,,,,
