,telemetrica,convencional,vazao
1935-01-01,,,
1935-01-02,,,
1935-01-03,,,
1935-01-04,,,
1935-01-05,,,
1935-01-06,,,
1935-01-07,,,
1935-01-08,,,
1935-01-09,,,
1935-01-10,,,
1935-01-11,,,
1935-01-12,,,
1935-01-13,,,
1935-01-14,,,
1935-01-15,,,
1935-01-16,,,
1935-01-17,,,
1935-01-18,,,
1935-01-19,,,
1935-01-20,,,
1935-01-21,,,
1935-01-22,,,
1935-01-23,,,
1935-01-24,,,
1935-01-25,,,
1935-01-26,,,
1935-01-27,,,
1935-01-28,,,
1935-01-29,,,
1935-01-30,,,
1935-01-31,,,
1935-02-01,,,
1935-02-02,,,
1935-02-03,,,
1935-02-04,,,
1935-02-05,,,
1935-02-06,,,
1935-02-07,,,
1935-02-08,,,
1935-02-09,,,
1935-02-10,,,
1935-02-11,,,
1935-02-12,,,
1935-02-13,,,
1935-02-14,,,
1935-02-15,,,
1935-02-16,,,
1935-02-17,,,
1935-02-18,,,
1935-02-19,,,
1935-02-20,,,
1935-02-21,,,
1935-02-22,,,
1935-02-23,,,
1935-02-24,,,
1935-02-25,,,
1935-02-26,,,
1935-02-27,,,
1935-02-28,,,
1935-03-01,,,
1935-03-02,,,
1935-03-03,,,
1935-03-04,,,
1935-03-05,,,
1935-03-06,,,
1935-03-07,,,
1935-03-08,,,
1935-03-09,,,
1935-03-10,,,
1935-03-11,,,
1935-03-12,,,
1935-03-13,,,
1935-03-14,,,
1935-03-15,,,
1935-03-16,,,
1935-03-17,,,
1935-03-18,,,
1935-03-19,,,
1935-03-20,,,
1935-03-21,,,
1935-03-22,,,
1935-03-23,,,
1935-03-24,,,
1935-03-25,,,
1935-03-26,,,
1935-03-27,,,
1935-03-28,,,
1935-03-29,,,
1935-03-30,,,
1935-03-31,,,
1935-04-01,,,
1935-04-02,,,
1935-04-03,,,
1935-04-04,,,
1935-04-05,,,
1935-04-06,,,
1935-04-07,,,
1935-04-08,,,
1935-04-09,,,
1935-04-10,,,
1935-04-11,,,
1935-04-12,,,
1935-04-13,,,
1935-04-14,,,
1935-04-15,,,
1935-04-16,,,
1935-04-17,,,
1935-04-18,,,
1935-04-19,,,
1935-04-20,,,
1935-04-21,,,
1935-04-22,,,
1935-04-23,,,
1935-04-24,,,
1935-04-25,,,
1935-04-26,,,
1935-04-27,,,
1935-04-28,,,
1935-04-29,,,
1935-04-30,,,
1935-05-01,,,
1935-05-02,,,
1935-05-03,,,
1935-05-04,,,
1935-05-05,,,
1935-05-06,,,
1935-05-07,,,
1935-05-08,,,
1935-05-09,,,
1935-05-10,,,
1935-05-11,,,
1935-05-12,,,
1935-05-13,,,
1935-05-14,,,
1935-05-15,,,
1935-05-16,,,
1935-05-17,,,
1935-05-18,,,
1935-05-19,,,
1935-05-20,,,
1935-05-21,,,
1935-05-22,,,
1935-05-23,,,
1935-05-24,,,
1935-05-25,,,
1935-05-26,,,
1935-05-27,,,
1935-05-28,,,
1935-05-29,,,
1935-05-30,,,
1935-05-31,,,
1935-06-01,,,
1935-06-02,,,
1935-06-03,,,
1935-06-04,,,
1935-06-05,,,
1935-06-06,,,
1935-06-07,,,
1935-06-08,,,
1935-06-09,,,
1935-06-10,,,
1935-06-11,,,
1935-06-12,,,
1935-06-13,,,
1935-06-14,,,
1935-06-15,,,
1935-06-16,,,
1935-06-17,,,
1935-06-18,,,
1935-06-19,,,
1935-06-20,,,
1935-06-21,,,
1935-06-22,,,
1935-06-23,,,
1935-06-24,,,
1935-06-25,,,
1935-06-26,,,
1935-06-27,,,
1935-06-28,,,
1935-06-29,,,
1935-06-30,,,
1935-07-01,,,
1935-07-02,,,
1935-07-03,,,
1935-07-04,,,
1935-07-05,,,
1935-07-06,,,
1935-07-07,,,
1935-07-08,,,
1935-07-09,,,
1935-07-10,,,
1935-07-11,,,
1935-07-12,,,
1935-07-13,,,
1935-07-14,,,
1935-07-15,,,
1935-07-16,,,
1935-07-17,,,
1935-07-18,,,
1935-07-19,,,
1935-07-20,,,
1935-07-21,,,
1935-07-22,,,
1935-07-23,,,
1935-07-24,,,
1935-07-25,,,
1935-07-26,,,
1935-07-27,,,
1935-07-28,,,
1935-07-29,,,
1935-07-30,,,
1935-07-31,,,
1935-08-01,,,
1935-08-02,,,
1935-08-03,,,
1935-08-04,,,
1935-08-05,,,
1935-08-06,,,
1935-08-07,,44.84,44.84
1935-08-08,,34.78,34.78
1935-08-09,,109.0,109.0
1935-08-10,,120.0,120.0
1935-08-11,,122.0,122.0
1935-08-12,,119.0,119.0
1935-08-13,,104.0,104.0
1935-08-14,,92.0,92.0
1935-08-15,,80.32,80.32
1935-08-16,,70.94,70.94
1935-08-17,,64.1,64.1
1935-08-18,,64.1,64.1
1935-08-19,,51.12,51.12
1935-08-20,,55.3,55.3
1935-08-21,,61.9,61.9
1935-08-22,,58.6,58.6
1935-08-23,,60.8,60.8
1935-08-24,,58.6,58.6
1935-08-25,,61.9,61.9
1935-08-26,,61.9,61.9
1935-08-27,,57.5,57.5
1935-08-28,,55.3,55.3
1935-08-29,,51.12,51.12
1935-08-30,,46.93,46.93
1935-08-31,,44.84,44.84
1935-09-01,,38.8,38.8
1935-09-02,,34.78,34.78
1935-09-03,,31.28,31.28
1935-09-04,,28.65,28.65
1935-09-05,,29.52,29.52
1935-09-06,,29.52,29.52
1935-09-07,,31.28,31.28
1935-09-08,,30.4,30.4
1935-09-09,,29.52,29.52
1935-09-10,,28.65,28.65
1935-09-11,,33.03,33.03
1935-09-12,,42.83,42.83
1935-09-13,,91.0,91.0
1935-09-14,,80.32,80.32
1935-09-15,,105.0,105.0
1935-09-16,,129.0,129.0
1935-09-17,,124.0,124.0
1935-09-18,,147.0,147.0
1935-09-19,,147.0,147.0
1935-09-20,,148.2,148.2
1935-09-21,,154.4,154.4
1935-09-22,,178.6,178.6
1935-09-23,,190.1,190.1
1935-09-24,,200.6,200.6
1935-09-25,,200.6,200.6
1935-09-26,,205.4,205.4
1935-09-27,,243.2,243.2
1935-09-28,,290.0,290.0
1935-09-29,,309.5,309.5
1935-09-30,,455.0,455.0
1935-10-01,,395.4,395.4
1935-10-02,,312.8,312.8
1935-10-03,,616.6,616.6
1935-10-04,,435.4,435.4
1935-10-05,,403.2,403.2
1935-10-06,,375.4,375.4
1935-10-07,,362.6,362.6
1935-10-08,,531.2,531.2
1935-10-09,,413.8,413.8
1935-10-10,,365.2,365.2
1935-10-11,,326.0,326.0
1935-10-12,,317.2,317.2
1935-10-13,,287.0,287.0
1935-10-14,,245.0,245.0
1935-10-15,,230.6,230.6
1935-10-16,,225.4,225.4
1935-10-17,,219.0,219.0
1935-10-18,,206.2,206.2
1935-10-19,,203.0,203.0
1935-10-20,,186.4,186.4
1935-10-21,,241.4,241.4
1935-10-22,,220.6,220.6
1935-10-23,,279.0,279.0
1935-10-24,,299.6,299.6
1935-10-25,,269.4,269.4
1935-10-26,,285.0,285.0
1935-10-27,,287.0,287.0
1935-10-28,,271.2,271.2
1935-10-29,,279.0,279.0
1935-10-30,,273.0,273.0
1935-10-31,,254.0,254.0
1935-11-01,,229.7,229.7
1935-11-02,,209.4,209.4
1935-11-03,,189.4,189.4
1935-11-04,,170.2,170.2
1935-11-05,,155.8,155.8
1935-11-06,,141.6,141.6
1935-11-07,,131.0,131.0
1935-11-08,,123.0,123.0
1935-11-09,,116.0,116.0
1935-11-10,,110.5,110.5
1935-11-11,,105.5,105.5
1935-11-12,,100.0,100.0
1935-11-13,,86.37,86.37
1935-11-14,,70.94,70.94
1935-11-15,,61.9,61.9
1935-11-16,,56.4,56.4
1935-11-17,,52.16,52.16
1935-11-18,,53.21,53.21
1935-11-19,,50.07,50.07
1935-11-20,,47.98,47.98
1935-11-21,,76.74,76.74
1935-11-22,,70.94,70.94
1935-11-23,,67.46,67.46
1935-11-24,,70.94,70.94
1935-11-25,,54.25,54.25
1935-11-26,,50.07,50.07
1935-11-27,,44.84,44.84
1935-11-28,,43.83,43.83
1935-11-29,,41.82,41.82
1935-11-30,,58.6,58.6
1935-12-01,,59.7,59.7
1935-12-02,,59.7,59.7
1935-12-03,,58.6,58.6
1935-12-04,,57.5,57.5
1935-12-05,,53.21,53.21
1935-12-06,,59.7,59.7
1935-12-07,,59.7,59.7
1935-12-08,,53.21,53.21
1935-12-09,,65.2,65.2
1935-12-10,,82.74,82.74
1935-12-11,,76.74,76.74
1935-12-12,,72.1,72.1
1935-12-13,,66.3,66.3
1935-12-14,,61.9,61.9
1935-12-15,,58.6,58.6
1935-12-16,,55.3,55.3
1935-12-17,,53.21,53.21
1935-12-18,,46.93,46.93
1935-12-19,,43.83,43.83
1935-12-20,,38.8,38.8
1935-12-21,,36.79,36.79
1935-12-22,,33.03,33.03
1935-12-23,,32.15,32.15
1935-12-24,,30.4,30.4
1935-12-25,,29.52,29.52
1935-12-26,,42.83,42.83
1935-12-27,,57.5,57.5
1935-12-28,,95.0,95.0
1935-12-29,,83.95,83.95
1935-12-30,,111.0,111.0
1935-12-31,,117.0,117.0
1936-01-01,,142.2,142.2
1936-01-02,,190.8,190.8
1936-01-03,,207.8,207.8
1936-01-04,,211.0,211.0
1936-01-05,,217.4,217.4
1936-01-06,,204.6,204.6
1936-01-07,,214.2,214.2
1936-01-08,,204.6,204.6
1936-01-09,,211.0,211.0
1936-01-10,,237.8,237.8
1936-01-11,,265.8,265.8
1936-01-12,,236.0,236.0
1936-01-13,,203.0,203.0
1936-01-14,,160.6,160.6
1936-01-15,,141.0,141.0
1936-01-16,,128.0,128.0
1936-01-17,,118.0,118.0
1936-01-18,,113.5,113.5
1936-01-19,,108.0,108.0
1936-01-20,,103.0,103.0
1936-01-21,,101.0,101.0
1936-01-22,,93.0,93.0
1936-01-23,,87.58,87.58
1936-01-24,,100.5,100.5
1936-01-25,,70.94,70.94
1936-01-26,,61.9,61.9
1936-01-27,,66.3,66.3
1936-01-28,,59.7,59.7
1936-01-29,,53.21,53.21
1936-01-30,,49.02,49.02
1936-01-31,,46.93,46.93
1936-02-01,,44.84,44.84
1936-02-02,,42.83,42.83
1936-02-03,,44.84,44.84
1936-02-04,,44.84,44.84
1936-02-05,,42.83,42.83
1936-02-06,,46.93,46.93
1936-02-07,,59.7,59.7
1936-02-08,,61.9,61.9
1936-02-09,,58.6,58.6
1936-02-10,,59.7,59.7
1936-02-11,,50.07,50.07
1936-02-12,,44.84,44.84
1936-02-13,,39.81,39.81
1936-02-14,,36.79,36.79
1936-02-15,,34.78,34.78
1936-02-16,,34.78,34.78
1936-02-17,,33.03,33.03
1936-02-18,,40.82,40.82
1936-02-19,,49.02,49.02
1936-02-20,,51.12,51.12
1936-02-21,,46.93,46.93
1936-02-22,,46.93,46.93
1936-02-23,,42.83,42.83
1936-02-24,,43.83,43.83
1936-02-25,,51.12,51.12
1936-02-26,,56.4,56.4
1936-02-27,,57.5,57.5
1936-02-28,,52.16,52.16
1936-02-29,,49.02,49.02
1936-03-01,,45.89,45.89
1936-03-02,,40.82,40.82
1936-03-03,,36.79,36.79
1936-03-04,,38.8,38.8
1936-03-05,,43.83,43.83
1936-03-06,,45.89,45.89
1936-03-07,,44.84,44.84
1936-03-08,,47.98,47.98
1936-03-09,,49.02,49.02
1936-03-10,,64.1,64.1
1936-03-11,,79.11,79.11
1936-03-12,,67.46,67.46
1936-03-13,,59.7,59.7
1936-03-14,,49.02,49.02
1936-03-15,,41.82,41.82
1936-03-16,,37.8,37.8
1936-03-17,,33.03,33.03
1936-03-18,,32.15,32.15
1936-03-19,,31.28,31.28
1936-03-20,,29.52,29.52
1936-03-21,,27.77,27.77
1936-03-22,,27.77,27.77
1936-03-23,,26.02,26.02
1936-03-24,,26.02,26.02
1936-03-25,,27.77,27.77
1936-03-26,,27.77,27.77
1936-03-27,,28.65,28.65
1936-03-28,,29.52,29.52
1936-03-29,,27.77,27.77
1936-03-30,,26.9,26.9
1936-03-31,,26.02,26.02
1936-04-01,,26.02,26.02
1936-04-02,,26.02,26.02
1936-04-03,,25.27,25.27
1936-04-04,,24.53,24.53
1936-04-05,,24.53,24.53
1936-04-06,,23.04,23.04
1936-04-07,,22.29,22.29
1936-04-08,,23.04,23.04
1936-04-09,,23.04,23.04
1936-04-10,,21.54,21.54
1936-04-11,,21.54,21.54
1936-04-12,,26.02,26.02
1936-04-13,,27.77,27.77
1936-04-14,,27.77,27.77
1936-04-15,,27.77,27.77
1936-04-16,,26.02,26.02
1936-04-17,,26.02,26.02
1936-04-18,,26.02,26.02
1936-04-19,,24.53,24.53
1936-04-20,,23.78,23.78
1936-04-21,,23.04,23.04
1936-04-22,,23.78,23.78
1936-04-23,,23.04,23.04
1936-04-24,,23.78,23.78
1936-04-25,,23.78,23.78
1936-04-26,,24.53,24.53
1936-04-27,,24.53,24.53
1936-04-28,,26.02,26.02
1936-04-29,,24.53,24.53
1936-04-30,,23.78,23.78
1936-05-01,,25.27,25.27
1936-05-02,,29.52,29.52
1936-05-03,,29.52,29.52
1936-05-04,,33.03,33.03
1936-05-05,,33.03,33.03
1936-05-06,,31.28,31.28
1936-05-07,,30.4,30.4
1936-05-08,,29.52,29.52
1936-05-09,,26.02,26.02
1936-05-10,,24.53,24.53
1936-05-11,,23.04,23.04
1936-05-12,,21.54,21.54
1936-05-13,,20.05,20.05
1936-05-14,,20.05,20.05
1936-05-15,,20.05,20.05
1936-05-16,,19.3,19.3
1936-05-17,,18.56,18.56
1936-05-18,,18.56,18.56
1936-05-19,,20.05,20.05
1936-05-20,,21.54,21.54
1936-05-21,,22.29,22.29
1936-05-22,,22.29,22.29
1936-05-23,,23.04,23.04
1936-05-24,,21.54,21.54
1936-05-25,,20.05,20.05
1936-05-26,,19.3,19.3
1936-05-27,,18.56,18.56
1936-05-28,,17.94,17.94
1936-05-29,,17.33,17.33
1936-05-30,,17.33,17.33
1936-05-31,,17.33,17.33
1936-06-01,,17.33,17.33
1936-06-02,,16.71,16.71
1936-06-03,,20.05,20.05
1936-06-04,,26.9,26.9
1936-06-05,,34.78,34.78
1936-06-06,,36.79,36.79
1936-06-07,,34.78,34.78
1936-06-08,,31.28,31.28
1936-06-09,,27.77,27.77
1936-06-10,,24.53,24.53
1936-06-11,,21.54,21.54
1936-06-12,,20.05,20.05
1936-06-13,,20.05,20.05
1936-06-14,,19.3,19.3
1936-06-15,,18.56,18.56
1936-06-16,,17.94,17.94
1936-06-17,,17.33,17.33
1936-06-18,,17.33,17.33
1936-06-19,,17.33,17.33
1936-06-20,,17.33,17.33
1936-06-21,,16.71,16.71
1936-06-22,,16.71,16.71
1936-06-23,,16.09,16.09
1936-06-24,,16.09,16.09
1936-06-25,,16.09,16.09
1936-06-26,,16.71,16.71
1936-06-27,,20.05,20.05
1936-06-28,,22.29,22.29
1936-06-29,,21.54,21.54
1936-06-30,,20.8,20.8
1936-07-01,,20.05,20.05
1936-07-02,,18.56,18.56
1936-07-03,,18.56,18.56
1936-07-04,,17.94,17.94
1936-07-05,,17.33,17.33
1936-07-06,,16.09,16.09
1936-07-07,,16.09,16.09
1936-07-08,,16.09,16.09
1936-07-09,,16.71,16.71
1936-07-10,,16.71,16.71
1936-07-11,,16.71,16.71
1936-07-12,,16.71,16.71
1936-07-13,,17.33,17.33
1936-07-14,,17.94,17.94
1936-07-15,,22.29,22.29
1936-07-16,,22.29,22.29
1936-07-17,,20.8,20.8
1936-07-18,,20.8,20.8
1936-07-19,,19.3,19.3
1936-07-20,,18.56,18.56
1936-07-21,,17.33,17.33
1936-07-22,,16.71,16.71
1936-07-23,,16.71,16.71
1936-07-24,,16.09,16.09
1936-07-25,,16.09,16.09
1936-07-26,,15.47,15.47
1936-07-27,,14.86,14.86
1936-07-28,,14.86,14.86
1936-07-29,,14.24,14.24
1936-07-30,,14.24,14.24
1936-07-31,,13.62,13.62
1936-08-01,,13.62,13.62
1936-08-02,,13.62,13.62
1936-08-03,,14.24,14.24
1936-08-04,,13.62,13.62
1936-08-05,,29.52,29.52
1936-08-06,,46.93,46.93
1936-08-07,,53.21,53.21
1936-08-08,,49.02,49.02
1936-08-09,,43.83,43.83
1936-08-10,,36.79,36.79
1936-08-11,,31.28,31.28
1936-08-12,,26.02,26.02
1936-08-13,,25.27,25.27
1936-08-14,,136.2,136.2
1936-08-15,,115.0,115.0
1936-08-16,,108.0,108.0
1936-08-17,,102.0,102.0
1936-08-18,,100.0,100.0
1936-08-19,,92.0,92.0
1936-08-20,,90.0,90.0
1936-08-21,,101.0,101.0
1936-08-22,,98.0,98.0
1936-08-23,,98.0,98.0
1936-08-24,,96.0,96.0
1936-08-25,,94.0,94.0
1936-08-26,,105.5,105.5
1936-08-27,,92.0,92.0
1936-08-28,,94.0,94.0
1936-08-29,,92.0,92.0
1936-08-30,,90.0,90.0
1936-08-31,,80.32,80.32
1936-09-01,,64.1,64.1
1936-09-02,,59.7,59.7
1936-09-03,,55.3,55.3
1936-09-04,,53.21,53.21
1936-09-05,,51.12,51.12
1936-09-06,,51.12,51.12
1936-09-07,,59.7,59.7
1936-09-08,,120.0,120.0
1936-09-09,,107.0,107.0
1936-09-10,,104.0,104.0
1936-09-11,,127.0,127.0
1936-09-12,,117.0,117.0
1936-09-13,,111.5,111.5
1936-09-14,,112.0,112.0
1936-09-15,,111.0,111.0
1936-09-16,,111.0,111.0
1936-09-17,,112.0,112.0
1936-09-18,,117.0,117.0
1936-09-19,,124.0,124.0
1936-09-20,,125.0,125.0
1936-09-21,,117.0,117.0
1936-09-22,,108.0,108.0
1936-09-23,,245.0,245.0
1936-09-24,,195.0,195.0
1936-09-25,,155.8,155.8
1936-09-26,,143.4,143.4
1936-09-27,,130.0,130.0
1936-09-28,,120.0,120.0
1936-09-29,,115.0,115.0
1936-09-30,,124.0,124.0
1936-10-01,,119.0,119.0
1936-10-02,,115.0,115.0
1936-10-03,,112.0,112.0
1936-10-04,,109.0,109.0
1936-10-05,,103.0,103.0
1936-10-06,,90.0,90.0
1936-10-07,,82.74,82.74
1936-10-08,,59.7,59.7
1936-10-09,,80.32,80.32
1936-10-10,,141.0,141.0
1936-10-11,,135.0,135.0
1936-10-12,,125.0,125.0
1936-10-13,,114.0,114.0
1936-10-14,,105.0,105.0
1936-10-15,,100.0,100.0
1936-10-16,,87.58,87.58
1936-10-17,,85.16,85.16
1936-10-18,,75.58,75.58
1936-10-19,,70.94,70.94
1936-10-20,,77.9,77.9
1936-10-21,,70.94,70.94
1936-10-22,,61.9,61.9
1936-10-23,,57.5,57.5
1936-10-24,,55.3,55.3
1936-10-25,,53.21,53.21
1936-10-26,,44.84,44.84
1936-10-27,,42.83,42.83
1936-10-28,,40.82,40.82
1936-10-29,,38.8,38.8
1936-10-30,,38.8,38.8
1936-10-31,,38.8,38.8
1936-11-01,,36.79,36.79
1936-11-02,,34.78,34.78
1936-11-03,,34.78,34.78
1936-11-04,,198.2,198.2
1936-11-05,,192.2,192.2
1936-11-06,,157.2,157.2
1936-11-07,,129.0,129.0
1936-11-08,,121.0,121.0
1936-11-09,,119.0,119.0
1936-11-10,,117.0,117.0
1936-11-11,,114.0,114.0
1936-11-12,,111.0,111.0
1936-11-13,,105.0,105.0
1936-11-14,,102.0,102.0
1936-11-15,,100.0,100.0
1936-11-16,,94.0,94.0
1936-11-17,,90.0,90.0
1936-11-18,,80.32,80.32
1936-11-19,,57.5,57.5
1936-11-20,,49.02,49.02
1936-11-21,,44.84,44.84
1936-11-22,,42.83,42.83
1936-11-23,,38.8,38.8
1936-11-24,,44.84,44.84
1936-11-25,,49.02,49.02
1936-11-26,,46.93,46.93
1936-11-27,,46.93,46.93
1936-11-28,,44.84,44.84
1936-11-29,,43.83,43.83
1936-11-30,,40.82,40.82
1936-12-01,,38.8,38.8
1936-12-02,,115.0,115.0
1936-12-03,,112.0,112.0
1936-12-04,,105.0,105.0
1936-12-05,,101.0,101.0
1936-12-06,,98.0,98.0
1936-12-07,,94.0,94.0
1936-12-08,,102.0,102.0
1936-12-09,,100.0,100.0
1936-12-10,,90.0,90.0
1936-12-11,,82.74,82.74
1936-12-12,,77.9,77.9
1936-12-13,,69.78,69.78
1936-12-14,,66.3,66.3
1936-12-15,,66.3,66.3
1936-12-16,,53.21,53.21
1936-12-17,,50.07,50.07
1936-12-18,,44.84,44.84
1936-12-19,,42.83,42.83
1936-12-20,,39.81,39.81
1936-12-21,,36.79,36.79
1936-12-22,,42.83,42.83
1936-12-23,,40.82,40.82
1936-12-24,,42.83,42.83
1936-12-25,,40.82,40.82
1936-12-26,,38.8,38.8
1936-12-27,,34.78,34.78
1936-12-28,,34.78,34.78
1936-12-29,,31.28,31.28
1936-12-30,,29.52,29.52
1936-12-31,,29.52,29.52
1937-01-01,,44.84,44.84
1937-01-02,,42.83,42.83
1937-01-03,,110.0,110.0
1937-01-04,,105.0,105.0
1937-01-05,,103.0,103.0
1937-01-06,,90.0,90.0
1937-01-07,,80.32,80.32
1937-01-08,,66.3,66.3
1937-01-09,,61.9,61.9
1937-01-10,,53.21,53.21
1937-01-11,,55.3,55.3
1937-01-12,,64.1,64.1
1937-01-13,,59.7,59.7
1937-01-14,,56.4,56.4
1937-01-15,,53.21,53.21
1937-01-16,,50.07,50.07
1937-01-17,,45.89,45.89
1937-01-18,,44.84,44.84
1937-01-19,,41.82,41.82
1937-01-20,,38.8,38.8
1937-01-21,,45.89,45.89
1937-01-22,,60.8,60.8
1937-01-23,,65.2,65.2
1937-01-24,,72.1,72.1
1937-01-25,,79.11,79.11
1937-01-26,,97.0,97.0
1937-01-27,,90.0,90.0
1937-01-28,,81.53,81.53
1937-01-29,,79.11,79.11
1937-01-30,,67.46,67.46
1937-01-31,,65.2,65.2
1937-02-01,,87.58,87.58
1937-02-02,,70.94,70.94
1937-02-03,,98.0,98.0
1937-02-04,,77.9,77.9
1937-02-05,,73.26,73.26
1937-02-06,,72.1,72.1
1937-02-07,,76.74,76.74
1937-02-08,,70.94,70.94
1937-02-09,,63.0,63.0
1937-02-10,,60.8,60.8
1937-02-11,,54.25,54.25
1937-02-12,,51.12,51.12
1937-02-13,,45.89,45.89
1937-02-14,,45.89,45.89
1937-02-15,,40.82,40.82
1937-02-16,,36.79,36.79
1937-02-17,,30.4,30.4
1937-02-18,,35.79,35.79
1937-02-19,,32.15,32.15
1937-02-20,,31.28,31.28
1937-02-21,,44.84,44.84
1937-02-22,,41.82,41.82
1937-02-23,,39.81,39.81
1937-02-24,,36.79,36.79
1937-02-25,,39.81,39.81
1937-02-26,,49.02,49.02
1937-02-27,,60.8,60.8
1937-02-28,,60.8,60.8
1937-03-01,,51.12,51.12
1937-03-02,,45.89,45.89
1937-03-03,,38.8,38.8
1937-03-04,,36.79,36.79
1937-03-05,,44.84,44.84
1937-03-06,,79.11,79.11
1937-03-07,,115.5,115.5
1937-03-08,,123.0,123.0
1937-03-09,,125.5,125.5
1937-03-10,,129.5,129.5
1937-03-11,,138.6,138.6
1937-03-12,,147.0,147.0
1937-03-13,,135.0,135.0
1937-03-14,,129.0,129.0
1937-03-15,,122.5,122.5
1937-03-16,,119.5,119.5
1937-03-17,,116.0,116.0
1937-03-18,,111.5,111.5
1937-03-19,,107.5,107.5
1937-03-20,,99.0,99.0
1937-03-21,,92.0,92.0
1937-03-22,,90.0,90.0
1937-03-23,,74.42,74.42
1937-03-24,,59.7,59.7
1937-03-25,,46.93,46.93
1937-03-26,,43.83,43.83
1937-03-27,,41.82,41.82
1937-03-28,,38.8,38.8
1937-03-29,,35.79,35.79
1937-03-30,,33.9,33.9
1937-03-31,,33.03,33.03
1937-04-01,,33.03,33.03
1937-04-02,,31.28,31.28
1937-04-03,,38.8,38.8
1937-04-04,,40.82,40.82
1937-04-05,,101.0,101.0
1937-04-06,,90.0,90.0
1937-04-07,,75.58,75.58
1937-04-08,,66.3,66.3
1937-04-09,,57.5,57.5
1937-04-10,,53.21,53.21
1937-04-11,,46.93,46.93
1937-04-12,,44.84,44.84
1937-04-13,,39.81,39.81
1937-04-14,,36.79,36.79
1937-04-15,,105.0,105.0
1937-04-16,,107.0,107.0
1937-04-17,,103.0,103.0
1937-04-18,,82.74,82.74
1937-04-19,,80.32,80.32
1937-04-20,,66.3,66.3
1937-04-21,,64.1,64.1
1937-04-22,,59.7,59.7
1937-04-23,,55.3,55.3
1937-04-24,,49.02,49.02
1937-04-25,,44.84,44.84
1937-04-26,,40.82,40.82
1937-04-27,,37.8,37.8
1937-04-28,,36.79,36.79
1937-04-29,,36.79,36.79
1937-04-30,,35.79,35.79
1937-05-01,,34.78,34.78
1937-05-02,,38.8,38.8
1937-05-03,,38.8,38.8
1937-05-04,,38.8,38.8
1937-05-05,,40.82,40.82
1937-05-06,,42.83,42.83
1937-05-07,,44.84,44.84
1937-05-08,,44.84,44.84
1937-05-09,,44.84,44.84
1937-05-10,,45.89,45.89
1937-05-11,,45.89,45.89
1937-05-12,,46.93,46.93
1937-05-13,,51.12,51.12
1937-05-14,,53.21,53.21
1937-05-15,,46.93,46.93
1937-05-16,,44.84,44.84
1937-05-17,,42.83,42.83
1937-05-18,,44.84,44.84
1937-05-19,,53.21,53.21
1937-05-20,,49.02,49.02
1937-05-21,,46.93,46.93
1937-05-22,,57.5,57.5
1937-05-23,,66.3,66.3
1937-05-24,,66.3,66.3
1937-05-25,,64.1,64.1
1937-05-26,,61.9,61.9
1937-05-27,,57.5,57.5
1937-05-28,,55.3,55.3
1937-05-29,,49.02,49.02
1937-05-30,,46.93,46.93
1937-05-31,,44.84,44.84
1937-06-01,,42.83,42.83
1937-06-02,,42.83,42.83
1937-06-03,,44.84,44.84
1937-06-04,,43.83,43.83
1937-06-05,,41.82,41.82
1937-06-06,,44.84,44.84
1937-06-07,,44.84,44.84
1937-06-08,,42.83,42.83
1937-06-09,,42.83,42.83
1937-06-10,,40.82,40.82
1937-06-11,,42.83,42.83
1937-06-12,,38.8,38.8
1937-06-13,,40.82,40.82
1937-06-14,,34.78,34.78
1937-06-15,,33.03,33.03
1937-06-16,,31.28,31.28
1937-06-17,,27.77,27.77
1937-06-18,,29.52,29.52
1937-06-19,,27.77,27.77
1937-06-20,,27.77,27.77
1937-06-21,,27.77,27.77
1937-06-22,,28.65,28.65
1937-06-23,,27.77,27.77
1937-06-24,,29.52,29.52
1937-06-25,,29.52,29.52
1937-06-26,,28.65,28.65
1937-06-27,,27.77,27.77
1937-06-28,,26.9,26.9
1937-06-29,,27.77,27.77
1937-06-30,,29.52,29.52
1937-07-01,,27.77,27.77
1937-07-02,,26.02,26.02
1937-07-03,,24.53,24.53
1937-07-04,,24.53,24.53
1937-07-05,,23.04,23.04
1937-07-06,,21.54,21.54
1937-07-07,,24.53,24.53
1937-07-08,,26.02,26.02
1937-07-09,,23.78,23.78
1937-07-10,,23.04,23.04
1937-07-11,,26.02,26.02
1937-07-12,,33.03,33.03
1937-07-13,,29.52,29.52
1937-07-14,,30.4,30.4
1937-07-15,,29.52,29.52
1937-07-16,,29.52,29.52
1937-07-17,,26.9,26.9
1937-07-18,,26.02,26.02
1937-07-19,,30.4,30.4
1937-07-20,,34.78,34.78
1937-07-21,,33.03,33.03
1937-07-22,,29.52,29.52
1937-07-23,,26.02,26.02
1937-07-24,,24.53,24.53
1937-07-25,,23.04,23.04
1937-07-26,,23.78,23.78
1937-07-27,,23.04,23.04
1937-07-28,,22.29,22.29
1937-07-29,,21.54,21.54
1937-07-30,,21.54,21.54
1937-07-31,,20.8,20.8
1937-08-01,,22.29,22.29
1937-08-02,,21.54,21.54
1937-08-03,,21.54,21.54
1937-08-04,,20.8,20.8
1937-08-05,,20.05,20.05
1937-08-06,,20.05,20.05
1937-08-07,,19.3,19.3
1937-08-08,,19.3,19.3
1937-08-09,,18.56,18.56
1937-08-10,,20.05,20.05
1937-08-11,,20.8,20.8
1937-08-12,,29.52,29.52
