datahora,pme_0,pme_1,pme_2,pme_3,pme_4,pme_5,pme_6,pme_7,pme_8,pme_9,pme_10,pme_11,pme_12,pme_13,pme_14,pme_15,pme_16,pme_17,pme_18,pme_19,pme_20,pme_21,pme_22,pme_23,pme_24,pme_25,pme_26,pme_27,pme_28,pme_29,pme_30,pme_31,pme_32,pme_33,pme_34,pme_35,pme_36,pme_37,pme_38,pme_39,pme_40,pme_41,pme_42,pme_43,pme_44,pme_45,pme_46,pme_47,pme_48,pme_49,pme_50,etp
2021-07-26 18:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.979
2021-07-27 00:00:00+00:00,0.001,0.009,0.002,0.001,0.000,0.001,0.003,0.001,0.000,0.000,0.000,0.000,0.002,0.023,0.000,0.022,0.000,0.002,0.000,0.003,0.000,0.032,0.001,0.007,0.001,0.003,0.000,0.000,0.000,0.008,0.002,0.000,0.036,0.002,0.000,0.000,0.000,0.000,0.000,0.044,0.001,0.000,0.034,0.000,0.000,0.000,0.001,0.000,0.018,0.138,0.013,0.314
2021-07-27 06:00:00+00:00,0.036,0.555,0.076,0.120,0.117,0.136,0.080,0.001,0.017,0.343,0.007,0.337,0.000,0.121,0.001,0.016,0.068,0.017,0.504,0.030,0.133,1.199,0.156,0.059,0.012,0.002,0.075,0.006,0.135,0.031,0.004,0.005,0.582,0.168,0.013,0.616,0.000,0.371,0.071,1.353,0.358,0.672,1.835,0.443,0.037,0.060,0.034,0.040,0.717,2.334,0.505,0.167
2021-07-27 12:00:00+00:00,11.715,13.216,9.320,5.818,9.749,8.745,11.688,7.915,10.138,11.104,8.053,9.432,5.917,9.704,8.567,10.099,6.178,6.924,9.156,12.012,10.085,12.272,12.038,19.765,9.246,5.641,11.050,9.508,13.297,11.518,6.047,9.437,9.091,11.487,8.670,5.963,6.429,7.687,9.071,16.275,14.452,8.393,14.542,12.399,8.510,8.640,5.291,7.388,12.411,13.590,15.656,0.931
2021-07-27 18:00:00+00:00,8.852,1.212,3.822,5.885,6.526,6.310,9.892,12.771,8.615,8.046,14.628,7.176,9.025,4.840,9.392,2.370,15.850,11.447,13.265,10.921,10.141,5.204,7.090,9.243,4.756,13.838,10.487,8.294,9.492,7.152,10.738,7.371,3.117,4.158,9.474,6.477,12.065,12.917,12.394,2.865,6.039,6.592,1.892,5.536,8.950,11.647,10.684,10.427,6.245,2.783,11.875,1.606
2021-07-28 00:00:00+00:00,0.545,0.537,1.049,1.005,0.039,1.164,2.560,0.783,1.569,3.607,1.140,0.879,0.354,0.702,1.031,1.142,0.271,0.712,1.577,0.293,0.048,0.252,0.074,1.269,0.050,2.378,1.019,1.360,0.037,0.760,0.408,0.150,0.152,1.442,1.392,5.223,2.615,0.978,0.592,0.997,0.713,0.677,0.025,0.551,0.291,1.505,1.950,0.314,0.329,0.413,2.707,0.282
2021-07-28 06:00:00+00:00,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.006,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.174
2021-07-28 12:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.175
2021-07-28 18:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.060
2021-07-29 00:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.264
