datahora,pme_0,pme_1,pme_2,pme_3,pme_4,pme_5,pme_6,pme_7,pme_8,pme_9,pme_10,pme_11,pme_12,pme_13,pme_14,pme_15,pme_16,pme_17,pme_18,pme_19,pme_20,pme_21,pme_22,pme_23,pme_24,pme_25,pme_26,pme_27,pme_28,pme_29,pme_30,pme_31,pme_32,pme_33,pme_34,pme_35,pme_36,pme_37,pme_38,pme_39,pme_40,pme_41,pme_42,pme_43,pme_44,pme_45,pme_46,pme_47,pme_48,pme_49,pme_50,etp
2021-08-09 18:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.138
2021-08-10 00:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.329
2021-08-10 06:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.175
2021-08-10 12:00:00+00:00,0.012,0.009,0.011,0.000,0.000,0.043,0.001,0.016,0.000,0.035,0.000,0.001,0.000,0.050,0.001,0.000,0.011,0.000,0.034,0.013,0.015,0.001,0.001,0.059,0.035,0.000,0.003,0.002,0.000,0.000,0.039,0.000,0.004,0.012,0.035,0.009,0.000,0.070,0.023,0.000,0.044,0.002,0.031,0.030,0.001,0.011,0.004,0.005,0.030,0.087,0.002,1.303
2021-08-10 18:00:00+00:00,0.531,0.022,0.016,0.640,0.000,0.361,0.022,0.957,0.714,0.114,1.288,0.974,0.248,0.696,0.000,0.009,1.091,1.796,3.254,0.003,0.210,0.004,0.477,0.468,0.199,0.751,0.001,0.000,0.193,1.519,0.143,0.115,0.007,0.392,0.657,0.951,0.010,0.074,0.030,0.000,0.076,0.001,0.019,0.262,1.342,1.518,0.790,0.253,0.159,1.157,0.036,2.057
2021-08-11 00:00:00+00:00,2.778,0.211,0.070,1.590,2.023,4.981,0.545,5.887,1.298,3.895,5.343,2.642,5.179,3.372,0.562,1.781,1.947,3.723,0.667,2.783,0.933,2.963,4.660,3.362,0.824,5.494,1.749,0.432,3.920,3.256,1.405,6.231,1.658,4.297,2.312,3.431,0.660,1.205,0.473,1.143,4.410,0.132,5.841,5.494,5.138,5.937,2.523,1.773,2.059,5.138,0.584,0.319
2021-08-11 06:00:00+00:00,3.601,2.568,0.497,3.647,2.530,0.831,3.339,7.020,0.865,2.989,0.956,3.616,3.093,4.507,7.856,3.011,2.526,4.788,0.101,3.341,0.016,0.404,1.280,0.857,4.219,3.774,2.210,2.100,5.326,0.029,0.177,1.151,2.713,4.075,0.043,0.117,4.756,4.081,1.899,0.266,4.365,1.707,3.407,2.442,0.580,1.931,2.604,2.365,3.095,1.524,4.455,0.206
2021-08-11 12:00:00+00:00,0.665,0.822,0.527,3.476,1.283,0.047,3.695,0.247,1.122,0.604,0.085,1.914,0.104,1.491,0.707,1.039,1.557,1.372,0.001,1.989,0.001,0.285,0.001,0.007,0.477,0.440,3.016,0.085,0.984,0.000,0.238,0.430,0.035,1.383,0.723,0.012,2.143,2.328,1.433,0.004,0.712,0.931,2.699,0.197,0.001,0.102,3.930,0.138,2.112,1.099,3.862,1.541
2021-08-11 18:00:00+00:00,0.000,0.006,0.519,0.038,0.085,0.000,0.006,0.000,0.000,0.001,0.000,0.003,0.000,0.121,0.009,0.001,0.000,0.007,0.003,0.013,0.006,0.001,0.000,0.000,0.022,0.051,0.027,0.000,0.001,0.000,0.053,0.029,0.013,0.061,0.023,0.002,0.003,0.024,0.025,0.000,0.076,0.000,0.741,0.004,0.000,0.000,2.362,0.000,0.057,0.023,5.368,2.730
2021-08-12 00:00:00+00:00,0.000,0.000,0.044,0.489,0.002,0.000,0.000,0.000,0.000,0.026,0.000,0.000,0.002,0.069,0.003,0.000,0.000,0.000,0.000,0.000,0.014,0.000,0.000,0.000,0.000,0.078,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.100,0.186,0.000,0.019,0.034,0.000,0.001,0.486,0.000,0.000,0.000,0.000,0.000,0.747,0.000,0.000,0.017,2.118,0.450
2021-08-12 06:00:00+00:00,0.012,0.011,0.020,0.583,0.000,0.000,0.002,0.016,0.000,0.170,0.000,0.000,0.000,0.399,0.005,0.000,0.000,0.002,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.634,0.020,0.011,0.130,0.000,0.090,0.000,0.000,0.618,0.714,0.000,0.322,0.144,1.110,0.000,0.258,0.002,0.000,0.000,0.000,0.000,1.413,0.000,0.000,0.006,0.162,0.305
2021-08-12 12:00:00+00:00,0.000,0.000,0.073,0.000,0.000,0.000,0.000,0.143,0.000,0.057,0.000,0.000,0.000,0.021,0.000,0.000,0.000,0.000,0.001,0.000,0.007,0.000,0.000,0.000,0.008,0.107,0.232,0.000,0.069,0.000,0.017,0.000,0.000,0.006,0.199,0.000,0.323,0.003,1.775,0.000,0.001,0.001,0.000,0.000,0.000,0.000,1.606,0.000,0.000,0.000,7.588,1.626
2021-08-12 18:00:00+00:00,1.623,0.000,3.977,0.344,2.139,0.130,0.541,5.372,2.531,10.544,0.094,0.026,0.102,5.668,0.001,0.002,1.878,0.017,0.786,0.619,4.121,0.000,0.000,0.000,2.746,0.662,5.323,0.169,2.745,0.000,2.559,0.003,0.063,0.999,8.104,0.061,0.278,2.527,6.445,0.000,0.577,0.407,0.032,0.327,0.000,0.000,8.046,0.000,0.456,0.009,19.690,2.436
2021-08-13 00:00:00+00:00,7.234,1.234,6.844,7.802,10.089,7.099,3.618,8.125,6.257,14.038,0.034,0.586,3.029,7.884,1.026,1.120,11.288,0.204,8.169,8.487,12.664,1.054,0.318,8.060,12.747,1.983,5.732,3.287,8.768,1.669,5.539,4.400,5.061,6.802,10.677,3.091,7.271,13.720,6.239,0.707,2.963,5.753,0.005,4.941,2.115,0.449,8.851,2.364,11.457,3.957,13.814,0.445
2021-08-13 06:00:00+00:00,7.356,1.412,1.906,3.679,5.323,5.102,2.233,9.402,1.521,6.813,0.014,0.492,2.132,2.550,0.932,3.084,5.109,0.115,2.856,3.986,4.156,5.297,0.128,8.844,4.041,0.772,1.651,4.334,0.992,1.463,1.021,6.469,10.861,4.711,8.015,4.960,5.272,6.557,5.331,0.372,0.677,2.930,0.002,2.182,5.930,5.753,0.870,3.993,3.964,2.002,1.498,0.319
