fid,estcodigo,estnome,orgsigla,esttipo,estlongitude,estlatitude,estaltitude,estiniciooperacao
"87","25594916",Grammer Sanepar,Águas Paraná,P,-49.1677,-25.58524,906,2016-01-25
"88","25865037",SÃO MATEUS DO SUL- Pinheirinho,CEMADEN,P,-50.37159,-25.86249,,2016-02-19
"89","25484915",SÃO JOSÉ DOS PINHAIS- Guatupé,CEMADEN,P,-49.148,-25.484,906,2014-07-27
"90","25385201",Cavernoso em Vau dos Ribeiros,PCH Cavernoso II,H,-52.02561,-25.3803,0,2012-05-23
"91","25784977",Lapa,Iapar,M,-49.76035,-25.78212,903,2015-08-01
"92","25334904",Chácara Guajubi,Suderhsa,P,-49.0716,-25.5455,906,2008-01-01
"93","25495223",PCH Cavernoso II - Barragem Nível Aux,PCH Cavernoso II,H,-52.21747,-25.49008,567,2014-03-13
"94","25364916",Ponte do Umbarazinho,Suderhsa,Q,-49.2611,-25.5989,906,2008-01-01
"95","25314909",Fazendinha,Suderhsa,Q,-49.1469,-25.5189,906,2008-01-01
"96","25414911",Campo Largo da Roseira,Suderhsa,P,-49.1777,-25.6752,906,2008-01-01
"97","25345435",Porto Capanema,Simepar,H,-53.7923,-25.6154,234,1997-06-01
"98","25354910",Grammer,Suderhsa,P,-49.1717,-25.5837,906,2008-01-01
"99","25514914",Fazendinha,Águas Paraná,H,-49.14685,-25.5192,906,2013-07-14
"100","25584963",Balsa Nova,Águas Paraná,H,-49.63189,-25.58722,865,2014-02-04
"101","25354938",Balsa Nova,Suderhsa,Q,-49.632,-25.587,865,2002-07-04
"102","25484909",Iraí Iguaçu- Barragem Piraquara II,SANEPAR,H,-49.09388,-25.48855,,2015-01-01
"103","25385158",Santa Clara,Copel,H,-51.9666,-25.6333,,1997-06-01
"104","25434918",PINHAIS- Pineville,CEMADEN,P,-49.176,-25.431,,2014-07-25
"105","25464919",PINHAIS- Weiss¢polis,CEMADEN,P,-49.187,-25.462,,2014-07-25
"106","98888881",02 - Teste Offset,Testes Laboratório,H,-49.2666,-25.4333,,2015-02-13
"107","26084978",RIO NEGRO - Bom Jesus,CEMADEN,P,-49.781,-26.085,,2014-07-25
"108","25495221",PCH Cavernoso II - Barragem,PCH Cavernoso II,H,-52.21747,-25.49008,567,2012-10-03
"109","26065150",Bituruna,Simepar,H,-51.5083,-26.0639,720,2011-04-15
"110","25235306",Porto Santo Antônio,Simepar,H,-53.1,-25.3833,386,1997-06-01
"111","25534939",Passaúna- Barragem Passaúna,SANEPAR,H,-49.39117,-25.53133,,2015-01-01
"112","25315021",Boa Vista da Aparecida,Simepar,H,-53.3558,-25.5225,367,2010-09-02
"113","25564947",São Bento,Simepar,H,-49.7833,-25.9333,799,1997-09-17
"114","25504902",Iraí Iguaçu- Barragem Piraquara I,SANEPAR,H,-49.02783,-25.50607,,2015-01-01
"115","26055155",Solais Novo,Simepar,H,-51.91311,-26.06659,809,1997-05-01
"116","25454912",Ponte PR 415,Águas Paraná,H,-49.12135,-25.45058,,2014-01-01
"117","25724970",Praça da Lapa,Caminhos do Paraná,P,-49.70617,-25.72683,978,2013-03-01
"118","26214960",Rio Preto Do Sul,Águas Paraná,H,-49.60361,-26.21556,,2014-02-20
"119","26085307",Eta Francisco Beltrão,Águas Paraná,H,-53.07481,-26.08142,,2013-07-15
"120","25564936",REPAR,Simepar CampoE,M,-49.3636,-25.5627,897,2014-01-01
"121","25554916",SÃO JOSÉ DOS PINHAIS - Quississana,CEMADEN,P,-49.156,-25.548,906,2014-07-25
"122","26235271",PATO BRANCO - São João,CEMADEN,P,-52.713,-26.234,,2014-07-25
"123","26435132",GENERAL CARNEIRO - Centro,CEMADEN,P,-51.317,-26.428,,2014-07-25
"124","26585152",Palmas - Horizonte,Simepar,M,-51.52019,-26.5829,1344,2019-11-20
"125","26575233",ABELARDO LUZ - Centro,CEMADEN,P,-52.326,-26.565,,2015-02-05
"126","25315301",Salto Osorio,Simepar,M,-53.03087,-25.52213,514,1999-07-22
"127","26245108",PORTO UNIÃO - Centro,CEMADEN,P,-51.084,-26.236,,2014-07-25
"128","25435458",Foz do Iguaçu - Itaipu,Simepar,M,-54.58286,-25.4361,168,2017-05-09
"129","26304991",ITAIÓPOLIS- Escola Rural Belmont,CEMADEN,P,-49.9066,-26.3014,,2015-02-24
"130","26455024",MONTE CASTELO - Bairro Novo,CEMADEN,P,-50.23787,-26.45387,,2015-03-05
"131","25334953",Porto Amazonas,Simepar,H,-49.8833,-25.55,0,1997-06-01
"132","25345422",SÃO MIGUEL DO IGUAÇU - Barro Branco,CEMADEN,P,-54.222,-25.344,,2014-08-11
"133","26055139",Foz do Areia,Simepar,M,-51.6679,-26.0037,780,1997-06-01
"134","26155302",Eta Marmeleiro,Águas Paraná,H,-53.02388,-26.15827,625,2013-07-15
"135","25484919",Ponte BR 277,Águas Paraná,H,-49.19011,-25.48353,,2016-05-18
"136","25524921",Cidade Jardim,Águas Paraná,H,-49.21472,-25.52456,906,2013-08-29
"137","25405259",PCH Arturo Andreoli Flor da Serra,PCH Arturo Andreoli,H,-52.5901,-25.4055,382,2015-09-01
"138","25525251",PCH Arturo Andreoli Rio Santana,PCH Arturo Andreoli,H,-52.5146,-25.5256,438,2015-09-01
"139","25325149",Salto Curucaca,ELEJOR,H,-51.81917,-25.53636,762,2006-07-27
"140","25495222",PCH Cavernoso II - Jusante,PCH Cavernoso II,H,-52.22731,-25.495,0,2012-05-30
"141","25835036",São Mateus do Sul,Inmet,M,-50.36899,-25.8356,780.21,2011-04-16
"142","26264952",RIO NEGRINHO- Rio Negrinho,CEMADEN,H,-49.511,-26.2607,,2014-08-26
"143","26145103",União da Vitória,Simepar,M,-51.06827,-26.22825,756.53,1997-06-01
"144","23365141",Guarapuavinha Novo,ELEJOR,H,-51.65317,-25.61192,866,2014-05-22
"145","25275357",LINDOESTE- Paço Municipal,CEMADEN,P,-53.5725,-25.2686,,2015-02-27
"146","26415014",PAPANDUVA- Lagoa Seca,CEMADEN,P,-50.14322,-26.41128,,2014-12-25
"147","26615068",TIMBÓ GRANDE - Boa Vista,CEMADEN,P,-50.67652,-26.61264,,2015-03-06
"148","25314929",ALMIRANTE TAMANDARÉ - Centro,CEMADEN,P,-49.298,-25.31,,2015-02-05
"149","26595210",ABELARDO LUZ- EBM José Maria,CEMADEN,P,-52.14494,-26.6605,,2015-03-02
"150","26224941",SÃO BENTO DO SUL - ,CEMADEN,P,-49.4103,-26.2297,,2014-12-08
"151","26075306",Bombeiros Francisco Beltrão,Águas Paraná,H,-53.06369,-26.07353,,2016-09-21
"152","26565232",ABELARDO LUZ - ,CEMADEN,P,-52.3265,-26.5656,,2014-12-19
"153","26245080",IRINEÓPOLIS- Hospital Municipal Bom Jesus,CEMADEN,P,-50.80416,-26.23987,,2015-03-06
"154","25514921",ETE- Sanepar,Águas Paraná,H,-49.21279,-25.51781,877,2016-06-27
"155","25315119",Serra da Esperança,Caminhos do Paraná,P,-51.19687,-25.31566,964,2013-03-01
"156","26665214",ABELARDO LUZ- Assentamento 25 maio,CEMADEN,P,-52.144,-26.66,,2014-12-21
"157","25415426",Salto Cataratas,Simepar,H,-54.4333,-25.6833,234,1997-06-01
"158","25475066",IRATI - Centro,CEMADEN,P,-50.65887,-25.47186,,2015-02-24
"159","25385157",Pinhão,Simepar,M,-51.9625,-25.64944,910,2003-04-08
"160","26105114",Porto Vitória,Simepar,H,-51.2333,-26.1666,0,1997-06-01
"161","25604939",Araucária,Águas Paraná,H,-49.39793,-25.60161,869,2016-07-04
"162","26234941",SÃO BENTO DO SUL - Colonial,CEMADEN,P,-49.41,-26.229,,2015-02-05
"163","25424938",Ponte BR 277 Campo Largo,Águas Paraná,H,-49.38794,-25.42697,,2016-06-13
"164","25484904",Entremar,Águas Paraná,P,-49.04107,-25.48915,,2016-06-23
"165","25264913",Curitiba,Inmet,M,-49.2306,-25.44869,922.91,2003-01-28
"166","26405285",Novo Horizonte,Inmet,M,-52.85037,-26.4065,943.57,2008-09-20
"167","25335105",Inácio Martins,Inmet,M,-51.07795,-25.56788,1208.85,2006-10-16
"168","25415305",Dois Vizinhos,Inmet,M,-53.09527,-25.69906,545.95,2007-03-29
"169","23605449",Foz do Iguaçu,Inmet,M,-54.48307,-25.60183,235.09,2008-06-15
"170","26285363",Dionísio Cerqueira,Inmet,M,-53.63311,-26.28656,807.54,2008-06-02
"171","25364907",Quatro Barras,Águas Paraná,P,-49.074,-25.36761,,2016-06-14
"172","23435346",Planalto,Inmet,M,-53.74792,-25.72186,399.1,2007-11-07
"173","26445084",Caçador,Inmet,M,-50.98552,-26.81916,944.26,2008-03-19
"174","26434959",Rio Negrinho,Inmet,M,-49.58062,-26.24841,856.89,2008-03-22
"175","26395036",Major Vieira,Inmet,M,-50.36321,-26.39366,799.58,2009-02-10
"176","26445135",General Carneiro,Inmet,M,-51.35367,-26.39847,1009.01,2008-04-10
"177","25494990",Praça de Porto Amazonas,Caminhos do Paraná,P,-49.90362,-25.49067,935,2013-04-01
"178","25525023",São Mateus do Sul,Simepar,H,-50.38755,-25.87702,0,1997-06-01
"179","26145104",União da Vitória,Simepar,H,-51.08059,-26.22772,749,1997-06-01
"180","25485173",Fazenda Aurora,ELEJOR,H,-51.73786,-25.4879,,2015-04-10
"181","25215130",Guarapuava,Simepar,M,-51.4935,-25.3845,1070,1997-06-01
"182","25245437",Foz do Iguaçu,Simepar,M,-54.6167,-25.4059,232,1997-07-19
"183","25335129",Entre Rios,Simepar,M,-51.4884,-25.5459,1095,2001-01-17
"184","25474946",Lapa,Simepar,M,-49.7598,-25.7817,909.8,1997-06-01
"185","26075241",Pato Branco,Simepar,M,-52.6514,-26.1229,721.8,1997-06-01
"186","25494905",Vossoroca,Simepar,H,-49.0833,-25.8166,851,1997-06-01
"187","26445235",Clevelândia,Inmet,M,-52.34874,-26.4172,966.06,2008-05-15
"188","26064948",Rio Negro,Simepar,H,-49.80194,-26.1097,0,1997-10-24
"189","25485254",Bela Vista Jusante,Simepar,H,-52.90672,-25.80612,430,2015-09-01
"190","26055305",Francisco Beltrão,Simepar,M,-53.06548,-26.0593,652,2010-09-02
"191","26285158",Palmas,Simepar,M,-51.9762,-26.4682,1100,1998-04-28
"192","25654927",Fazenda Gralha Azul-PUC,Simepar CampoE,M,-49.27852,-25.65457,911.73,2009-09-03
"193","25115408",São Miguel do Iguaçu,Simepar,M,-54.2546,-25.3528,298,1997-06-01
"194","25465256",Águas do Verê,Simepar,H,-52.9329,-25.7737,466,1997-06-01
"195","25374946",CAMPO MAGRO- Centro,CEMADEN,P,-49.45687,-25.3689,,2016-02-19
"196","25145354",Cascavel Parque Industrial,SimeparTorres,M,-53.54666,-24.99914,,2015-12-08
"197","25115382",Céu Azul / Boa Vista,SimeparTorres,M,-53.82139,-25.1188,,2015-12-08
"198","25254905",Pinhais,Simepar,M,-49.1299,-25.3907,930,1998-07-10
"199","25315329",Salto Caxias,Simepar,M,-53.49412,-25.52092,440,1998-10-24
"200","25755210",Derivação do Rio Jordão,Simepar,H,-52.10889,-25.75922,689,2013-01-24
"201","25685442",Hotel Cataratas - Copel,Simepar,H,-54.42925,-25.68317,215,2015-03-12
"202","25484918",Comp.  C. Água Limpa,Águas Paraná,H,-49.18133,-25.48581,906,2013-09-08
"203","25594926",Ponte Do Umbarazinho,Águas Paraná,H,-49.26004,-25.59859,906,2013-09-08
"204","99999995",IDP2,Testes Laboratório,H,-49.2666,-25.4333,935,2007-10-04
"205","25444625",Curitiba,Epagri/Ciram,P,-49.25667,-25.44028,921,2009-07-08
"206","25455163",Foz Do Rio Coutinho,Águas Paraná,H,-51.63583,-25.45278,,2014-02-03
"207","25445144",Foz Do Rio Bananas,Águas Paraná,H,-51.44681,-25.44458,,2014-02-03
"208","25324916",Embrapa,Águas Paraná,H,-49.16233,-25.3225,,2016-02-25
"209","25584916",Mandirituba Copel,Águas Paraná,P,-49.32475,-25.77708,,2016-01-25
"210","25454904",São Cristovão,Águas Paraná,P,-49.0496,-25.45196,,2016-02-18
"211","25444947",Bom Jesus da Aldeia,Águas Paraná,P,-49.47309,-25.44211,,2016-01-26
"212","25474924",Arauco / PUC,Águas Paraná,H,-49.24675,-25.47068,,2013-09-08
"213","25444919",Autódromo,Águas Paraná,H,-49.19791,-25.44682,,2015-09-18
"214","25684954",Contenda Copel,Águas Paraná,P,-49.54176,-25.681,,2016-01-25
"215","25284923",Colombo Copel,Águas Paraná,P,-49.23149,-25.28776,,2016-01-25
"216","25454917",Pinhais,Águas Paraná,H,-49.17154,-25.454,,2015-10-06
"217","25544907",Chacara Guajubi,Águas Paraná,P,-49.07237,-25.54619,906,2016-01-25
"218","25505222",Sitio Laranjal,PCH Cavernoso II,H,-52.22975,-25.50973,,2016-10-04
"219","25494933",Tecpar,Epagri/Ciram,P,-49.3389,-25.4947,882,2011-02-27
"220","25324933",Formigas,Suderhsa,H,-49.5445,-25.5376,897,2009-02-16
"221","88888888",Pato Branco velha,Copel,M,-52.6833,-26.1166,721.8,2001-04-18
"222","25274912",Autódromo,Suderhsa,Q,-49.198,-25.4466,,2002-07-04
"223","25274910",Pinhais,Suderhsa,Q,-49.1716,-25.4537,,2002-07-04
"224","25374921",Ponte da Caximba,Suderhsa,Q,-49.357,-25.6136,,2002-07-04
"225","25324924",Olaria Pioli,Suderhsa,H,-49.3936,-25.5327,897,2008-01-01
"226","25414932",Contenda,Suderhsa,P,-49.5411,-25.6794,,2008-01-01
"227","25474919",Mandirituba,Suderhsa,P,-49.3246,-25.7668,,2008-01-01
"228","25294902",Entremar,Suderhsa,P,-49.0409,-25.4889,,2008-01-01
"229","25224904",Quatro Barras,Suderhsa,P,-49.0739,-25.3667,,2008-01-01
"230","25254923",BR_277 Campo Largo,Suderhsa,P,-49.3868,-25.4086,,2008-01-01
"231","25264928",Bom Jesus da Aldeia,Suderhsa,P,-49.473,-25.4415,,2008-01-01
"232","25284934",Santa Cecília,Suderhsa,P,-49.5702,-25.462,,2008-01-01
"233","25294911",Ponte BR_277,Suderhsa,Q,-49.1898,-25.4828,,2008-01-02
"234","25274907",Olaria do Estado,Suderhsa,Q,-49.1198,-25.4429,,2008-01-02
"235","25174914",Colombo,Suderhsa,P,-49.2308,-25.2873,,2008-02-19
"236","25274915",Prado Velho,Suderhsa,Q,-49.249,-25.4499,,2002-09-25
"237","25274903",São Cristóvão,Suderhsa,P,-49.0495,-25.4514,,2008-01-01
"238","26625023",PL - Monte Castelo,Epagri/Ciram,H,-50.23917,-26.62583,800,2008-01-01
"239","25314913",ETE-SANEPAR,Suderhsa,Q,-49.2124,-25.5172,,2008-01-01
"240","25925285",Balsa Do Santana,Águas Paraná,H,-52.85222,-25.92056,,2014-02-03
"241","25465053",Eta Irati,Águas Paraná,H,-50.53306,-25.46417,,2014-02-04
"242","25395143",Eta Guarapuava,Águas Paraná,H,-51.43653,-25.39914,,2014-02-04
"243","25614935",Ponte Da Caximba,Águas Paraná,H,-49.35667,-25.61028,,2014-02-04
"244","25275035",Fernandes Pinheiro,Simepar,M,-50.5839,-25.4532,893,1998-11-28
"245","25604951",Guajuvira,Águas Paraná,H,-49.5134,-25.60021,897,2013-07-10
"246","25534954",Formigas,Águas Paraná,H,-49.54439,-25.53778,897,2014-02-20
"247","25594922",Cachoeira,Águas Paraná,H,-49.22866,-25.59018,906,2013-08-29
"248","25444920",PINHAIS - Estância Pinhais,CEMADEN,P,-49.199,-25.438,,2014-07-25
"249","25344925",ALMIRANTE TAMANDARÉ- Jardim Graziela,CEMADEN,P,-49.246,-25.343,,2014-07-25
"250","26225049",MB-Canoinhas - KURPIEL,Epagri/Ciram,H,-50.49222,-26.22139,779,2014-01-01
"251","25664910",Malhada,Águas Paraná,P,-49.10322,-25.66264,906,2016-06-15
"252","25674917",Campo Largo da Roseira,Águas Paraná,P,-49.17972,-25.67494,906,2016-06-15
"253","25365239",Laranjeiras do Sul,Inmet,M,-52.39194,-25.36894,835,2016-08-07
"254","25324915",Colombo,Inmet,M,-49.15773,-25.32246,950,2016-05-28
"255","25355425",SÃO MIGUEL DO IGUAÇU- Tributario do Paraná Lago Itaipu,CEMADEN,H,-54.2505,-25.3461,,2017-01-01
"256","25674918",SÃO JOSÉ DOS PINHAIS - Campo Largo da Roseira,CEMADEN,P,-49.182,-25.674,906,2014-07-25
"257","25674931",FAZENDA RIO GRANDE - Gralha Azul,CEMADEN,P,-49.30737,-25.67292,,2016-02-21
"258","25384930",CURITIBA - Pilarzinho,CEMADEN,P,-49.295,-25.38,,2014-12-12
"259","25334927",ALMIRANTE TAMANDARÉ - Jardim Roma,CEMADEN,P,-49.273,-25.327,,2014-07-25
"260","25594939",ARAUCÁRIA - Centro,CEMADEN,P,-49.388,-25.595,897,2015-02-23
"261","25374931",ALMIRANTE TAMANDARÉ - Jardim Tanguá,CEMADEN,P,-49.308,-25.371,,2014-07-25
"262","25324927",ALMIRANTE TAMANDARÉ - Jardim Rosana,CEMADEN,P,-49.267,-25.316,,2015-02-05
"263","25264930",ALMIRANTE TAMANDARÉ - Tranqueira,CEMADEN,P,-49.301,-25.259,,2014-07-25
"264","25314930",ALMIRANTE TAMANDARÉ - Centro,CEMADEN,P,-49.298,-25.31,,2014-07-25
"265","25344928",ALMIRANTE TAMANDARÉ - Jardim Bonfim,CEMADEN,P,-49.28,-25.344,,2014-07-25
"266","25314931",ALMIRANTE TAMANDARÉ - Jardim Planalto,CEMADEN,P,-49.308,-25.312,,2014-07-25
"267","26195360",BOM JESUS DO SUL - Centro,CEMADEN,P,-53.60245,-26.19174,,2015-02-20
"268","26785101",CAÇADOR - Defesa Civil,CEMADEN,P,-51.0094,-26.7769,,2016-10-06
"269","26795102",CAÇADOR - Rio do peixe,CEMADEN,H,-51.00976,-26.77092,,2016-09-28
"270","25364911",CAMPINA GRANDE DO SUL - Jardim Graciosa,CEMADEN,P,-49.109,-25.356,,2014-07-25
"271","25984968",CAMPO DO TENENTE - Centro,CEMADEN,P,-49.684,-25.9797,,2015-02-05
"272","26405309",CAMPO ERÊ - Prefeitura Municipal,CEMADEN,P,-53.0854,-26.3985,,2015-02-24
"273","25474953",CAMPO LARGO - Vila Bancaria,CEMADEN,P,-49.52551,-25.46856,,2016-02-19
"274","25444946",CAMPO LARGO - Ferraria,CEMADEN,P,-49.45527,-25.43937,,2016-02-19
"275","25464952",CAMPO LARGO - Rio Cambui,CEMADEN,H,-49.5204,-25.4556,,2017-01-01
