idPosto,inicio_serie
 25695262_simepar,2015-02-19 22:00:00+00:00
 25724970_simepar,2013-02-22 18:00:00+00:00
 25725375_simepar,2015-11-15 09:00:00+00:00
 25755210_simepar,2013-01-24 11:00:00+00:00
 25755305_simepar,2015-02-23 22:00:00+00:00
 25784977_simepar,2016-10-20 04:00:00+00:00
 25815290_simepar,2021-04-06 21:00:00+00:00
 25825217_simepar,2010-11-12 20:00:00+00:00
 25885042_simepar,2016-02-19 00:00:00+00:00
 25984968_simepar,2015-02-05 22:00:00+00:00
 25985256_simepar,2015-02-19 23:00:00+00:00
 26005139_simepar,1998-03-06 12:00:00+00:00
 26015237_simepar,2002-08-30 20:00:00+00:00
 26025035_simepar,1997-06-01 03:00:00+00:00
 26025109_simepar,1997-06-01 03:00:00+00:00
 26045306_simepar,2015-02-24 17:00:00+00:00
 26055019_simepar,1997-09-17 04:00:00+00:00
 26055155_simepar,1997-06-01 03:00:00+00:00
 26055305_simepar,2010-09-03 00:00:00+00:00
 26064948_simepar,1997-10-24 04:00:00+00:00
 26065150_simepar,2011-04-15 08:00:00+00:00
 26075241_simepar,1997-06-01 03:00:00+00:00
 26075306_simepar,2016-09-21 14:00:00+00:00
 26075307_simepar,2015-02-24 16:00:00+00:00
 26085306_simepar,2015-11-17 16:00:00+00:00
 26085307_simepar,2013-09-08 13:00:00+00:00
 26094978_simepar,2015-02-05 22:00:00+00:00
 26094980_simepar,2014-07-25 12:00:00+00:00
 26105047_simepar,1997-06-01 03:00:00+00:00
 26105114_simepar,1997-06-01 03:00:00+00:00
 26114981_simepar,2014-07-25 12:00:00+00:00
 26124978_simepar,2014-07-25 12:00:00+00:00
 26125265_simepar,2015-11-19 15:00:00+00:00
 26134980_simepar,2015-03-03 15:00:00+00:00
 26145103_simepar,1997-06-01 03:00:00+00:00
 26145104_simepar,1997-06-01 03:00:00+00:00
 26155302_simepar,2013-09-08 13:00:00+00:00
 26175039_simepar,2015-02-24 14:00:00+00:00
 26205269_simepar,2014-07-25 12:00:00+00:00
 26234941_simepar,2015-02-05 22:00:00+00:00
 26234950_simepar,2014-07-25 12:00:00+00:00
 26235107_simepar,2014-07-25 12:00:00+00:00
 26235108_simepar,2017-09-03 11:00:00+00:00
 26235267_simepar,2014-07-25 12:00:00+00:00
 26235271_simepar,2014-07-25 12:00:00+00:00
 26255110_simepar,2014-07-25 12:00:00+00:00
 26265364_simepar,2015-02-28 21:00:00+00:00
 26275268_simepar,2014-07-25 12:00:00+00:00
 26285158_simepar,1998-04-28 21:00:00+00:00
 26285363_simepar,2008-06-02 15:00:00+00:00
 26304991_simepar,2015-02-24 13:00:00+00:00
 26355045_simepar,1997-06-01 03:00:00+00:00
 26395036_simepar,2009-02-10 12:00:00+00:00
 26405309_simepar,2015-02-24 21:00:00+00:00
 26434959_simepar,2008-03-21 18:00:00+00:00
 26435132_simepar,2014-07-25 12:00:00+00:00
 26445084_simepar,2008-03-18 18:00:00+00:00
 26445135_simepar,2008-04-10 16:00:00+00:00
 26445235_simepar,2008-05-15 15:00:00+00:00
 26445269_simepar,2015-03-02 16:00:00+00:00
 26455024_simepar,2015-03-05 17:00:00+00:00
 26455269_simepar,2015-02-28 17:00:00+00:00
 26475197_simepar,2015-08-27 19:00:00+00:00
 26575233_simepar,2015-02-05 22:00:00+00:00
 26585152_simepar,2019-11-21 00:00:00+00:00
 26785101_simepar,2016-10-06 09:00:00+00:00
 2551015_ana,2016-02-02 02:00:00+00:00
 2551063_ana,2015-02-24 20:00:00+00:00
 2551069_ana,2016-02-02 02:00:00+00:00
 2552009_ana,2015-02-24 20:00:00+00:00
 2552030_ana,2016-02-12 13:00:00+00:00
 2552055_ana,2015-02-24 20:00:00+00:00
 65136550_ana,2014-02-06 03:00:00+00:00
 65140000_ana,2018-10-04 15:00:00+00:00
 65141000_ana,2018-10-03 19:00:00+00:00
 65258000_ana,2013-02-04 17:00:00+00:00
 65259000_ana,2013-02-03 19:00:00+00:00
 65270000_ana,2013-02-14 01:00:00+00:00
 65271000_ana,2013-01-28 13:00:00+00:00
 65293000_ana,2013-01-01 03:00:00+00:00
 65815040_ana,2016-10-19 03:00:00+00:00
 65815050_ana,2016-07-01 15:00:00+00:00
 65815060_ana,2021-03-30 22:00:00+00:00
 65824991_ana,2015-02-24 19:00:00+00:00
 65831000_ana,2017-01-01 00:00:00+00:00
 65831020_ana,2017-01-01 00:00:00+00:00
 65831900_ana,2019-08-07 14:00:00+00:00
 65832000_ana,2019-08-07 14:00:00+00:00
 65875500_ana,2016-02-02 00:00:00+00:00
