,estcodigo,estnome,orgsigla,esttipo,estlongitude,estlatitude,estaltitude,estiniciooperacao
21,23484635,ITAQUAQUECETUBA - Parque Ecologico,CEMADEN,P,-46.3467,-23.4808,,2015-08-18
22,23574641,SÃO PAULO - COHAB Inácio Monteiro,CEMADEN,P,-46.411,-23.569,,2015-08-19
23,2454604,CENTRO DO GUILHERME - CrecheProinfanciaPequenoPrincipe,CEMADEN,P,-46.04064,-2.44894,,2015-08-19
24,4044524,SATUBINHA - Centro,CEMADEN,P,-45.23619,-4.0404,,2015-08-19
25,19504086,UHE Mascarenhas - Jusante,Mascarenhas,H,-40.86364,-19.50785,,2009-10-29
26,25464925,Horto Municipal,Águas Paraná,H,-49.2506,-25.463,,2017-05-15
27,9366993,Parque Estadual Chandless,Inmet,M,-69.92626,-9.35835,184.51,2008-09-05
28,25474932,Santa Quitéria,Águas Paraná,H,-49.32372,-25.47175,,2017-05-15
29,8283597,CARUARU - Centro,CEMADEN,P,-35.976,-8.285,,2014-08-26
30,25284900,Roça Nova,Epagri/Ciram,P,-49.0,-25.4728,,2010-02-25
31,22234996,Marília,Inmet,M,-49.96511,-22.23522,660.0,2017-03-17
32,23995074,Mococa,Maua,H,-50.74372,-23.9972,660.0,2017-06-09
33,23855385,Altônia,Simepar,M,-53.85237,-23.85808,368.0,2017-08-03
34,98888886,Laboratório Met300,Testes Laboratório,M,-49.16,-25.26,,2010-02-08
35,19875336,PCH Verde 4A Jusante,PCH Verde 4A,H,-53.36439,-19.87786,,2014-06-05
36,29455181,TEUTÔNIA- E. M.E.F. Prof. Alfredo Schneider,CEMADEN,P,-51.8097,-29.4524,,2015-02-25
37,565082,Itaubal,Inmet,M,-50.8235,0.56783,21.0,2017-08-24
38,29515077,TRÊS COROAS - Três Coroas,CEMADEN,H,-50.774,-29.5154,,2017-02-01
39,24555296,Ubiratã,Simepar,M,-52.96648,-24.5545,529.0,2017-08-16
