id,Nr_Bacia,x,y
"471","19",-52.200,-25.700
"472","19",-52.100,-25.700
"473","19",-52.000,-25.700
"474","19",-51.900,-25.700
"475","18",-51.800,-25.700
"476","18",-51.700,-25.700
"477","18",-51.600,-25.700
"478","18",-51.500,-25.700
"479","18",-51.400,-25.700
"480","12",-51.300,-25.700
"481","10",-51.200,-25.700
"482","10",-51.100,-25.700
"483","10",-51.000,-25.700
"484","4",-50.900,-25.700
"485","4",-50.800,-25.700
"486","4",-50.700,-25.700
"487","4",-50.600,-25.700
"488","4",-50.500,-25.700
"489","6",-50.400,-25.700
"490","6",-50.300,-25.700
"491","6",-50.200,-25.700
"492","6",-50.100,-25.700
"493","6",-50.000,-25.700
"494","6",-49.900,-25.700
"495","2",-49.800,-25.700
"496","2",-49.700,-25.700
"497","2",-49.600,-25.700
"498","2",-49.500,-25.700
"499","2",-49.400,-25.700
"500","2",-49.300,-25.700
"501","2",-49.200,-25.700
"502","2",-49.100,-25.700
"509","21",-54.000,-25.800
"510","21",-53.900,-25.800
"511","21",-53.800,-25.800
"512","21",-53.700,-25.800
"513","20",-53.600,-25.800
"514","20",-53.500,-25.800
"515","20",-53.400,-25.800
"516","19",-53.300,-25.800
"517","19",-53.200,-25.800
"518","17",-53.100,-25.800
"519","17",-53.000,-25.800
"520","15",-52.900,-25.800
"521","15",-52.800,-25.800
"522","19",-52.700,-25.800
"523","19",-52.600,-25.800
"524","19",-52.500,-25.800
"525","19",-52.400,-25.800
"526","19",-52.300,-25.800
"527","19",-52.200,-25.800
"528","16",-52.100,-25.800
"529","19",-52.000,-25.800
"530","19",-51.900,-25.800
"531","19",-51.800,-25.800
"532","16",-51.700,-25.800
"533","16",-51.600,-25.800
"534","12",-51.500,-25.800
"535","12",-51.400,-25.800
"536","10",-51.300,-25.800
"537","10",-51.200,-25.800
"538","10",-51.100,-25.800
"539","9",-51.000,-25.800
"540","4",-50.900,-25.800
"541","4",-50.800,-25.800
"542","4",-50.700,-25.800
"543","4",-50.600,-25.800
"544","4",-50.500,-25.800
"545","6",-50.400,-25.800
"546","6",-50.300,-25.800
"547","6",-50.200,-25.800
"548","6",-50.100,-25.800
"549","6",-50.000,-25.800
"550","6",-49.900,-25.800
"551","6",-49.800,-25.800
"552","3",-49.700,-25.800
"553","3",-49.600,-25.800
"554","3",-49.500,-25.800
"555","3",-49.400,-25.800
"556","3",-49.300,-25.800
"557","3",-49.200,-25.800
"566","21",-53.900,-25.900
"567","21",-53.800,-25.900
"568","21",-53.700,-25.900
"569","20",-53.600,-25.900
"570","20",-53.500,-25.900
"571","20",-53.400,-25.900
"572","19",-53.300,-25.900
"573","19",-53.200,-25.900
"574","17",-53.100,-25.900
"575","15",-53.000,-25.900
"576","15",-52.900,-25.900
"577","15",-52.800,-25.900
"578","15",-52.700,-25.900
"579","15",-52.600,-25.900
"580","19",-52.500,-25.900
"581","19",-52.400,-25.900
"582","19",-52.300,-25.900
"583","16",-52.200,-25.900
"584","16",-52.100,-25.900
"585","16",-52.000,-25.900
"586","19",-51.900,-25.900
"587","16",-51.800,-25.900
