,estaltitude,estiniciooperacao,estlatitude,estlongitude,estnome,esttipo,field_1,orgsigla
26414923,,2015/02/06,-26.411,-49.235,CORUPÁ - Rua Ano Bom,P,4904.0,CEMADEN
26434926,,2014/07/25,-26.43,-49.259,CORUPÁ - Horto Florestal,P,4905.0,CEMADEN
26444923,,2015/02/11,-26.43862,-49.22865,CORUPÁ - João Tozini,P,4906.0,CEMADEN
25424934,,2014/12/12,-25.417,-49.342,CURITIBA - São Braz,P,4917.0,CEMADEN
25444935,,2015/02/05,-25.435,-49.35,CURITIBA - Santa Felicidade,P,4919.0,CEMADEN
25414936,,2015/03/10,-25.41118,-49.36184,CURITIBA - Butiatuvinha,P,4920.0,CEMADEN
25414930,,2014/12/12,-25.413,-49.301,CURITIBA - Vista Alegre,P,4921.0,CEMADEN
25384924,,2014/12/14,-25.379,-49.245,CURITIBA - Boa Vista,P,4923.0,CEMADEN
25384920,,2015/02/05,-25.384,-49.197,CURITIBA - Atuba,P,4924.0,CEMADEN
25564928,,2015/02/05,-25.555,-49.284,CURITIBA - Umbará,P,4925.0,CEMADEN
25654931,,2016/02/21,-25.64902,-49.30742,FAZENDA RIO GRANDE - Naçཞs,P,4940.0,CEMADEN
26114900,,2015/02/23,-26.11388,-49.00358,GARUVA - Estrada Geral Quiriri,P,4961.0,CEMADEN
26894901,,2014/07/25,-26.892,-49.009,GASPAR - Belchior Baixo,P,4963.0,CEMADEN
26804901,,2015/03/11,-26.80265,-49.01268,GASPAR - SAMAE ETA-V,P,4965.0,CEMADEN
26484902,,2015/02/11,-26.475,-49.0159,GUARAMIRIM - Nova Esperança,P,4978.0,CEMADEN
26474896,,2015/02/24,-26.47323,-48.95957,GUARAMIRIM - Bananal,P,4979.0,CEMADEN
26544902,,2015/02/11,-26.5405,-49.0169,GUARAMIRIM - Jacu-açu,P,4980.0,CEMADEN
26524913,,2015/02/10,-26.51601,-49.12951,JARAGUÁ DO SUL - Barra do Rio Cerro,P,5005.0,CEMADEN
26454917,,2015/07/09,-26.4548,-49.1663,JARAGUÁ DO SUL - Bombeiro de Nereu Ramos,P,5006.0,CEMADEN
26334888,,2015/02/23,-26.3309,-48.875,JOINVILLE - Estação de Cidadania Abilio Bello,P,5010.0,CEMADEN
27224966,,2014/07/25,-27.221,-49.659,RIO DO SUL - Canoas,P,5013.0,CEMADEN
26234950,,2014/07/25,-26.229,-49.496,RIO NEGRINHO - Industrial Norte,P,5016.0,CEMADEN
26094978,,2015/02/05,-26.085,-49.781,RIO NEGRO - Bom Jesus,P,5017.0,CEMADEN
26924937,,2014/07/25,-26.924,-49.369,RODEIO - Centro,P,5018.0,CEMADEN
26954935,,2014/07/25,-26.952,-49.353,RODEIO - BR 470,P,5019.0,CEMADEN
26854933,,2014/07/25,-26.846,-49.326,RODEIO - Rodeio 12,P,5020.0,CEMADEN
26975000,,2015/03/04,-26.97143,-50.00102,SALETE - CEI Primeiros Passos,P,5021.0,CEMADEN
26254880,,2014/07/25,-26.249,-48.797,JOINVILLE - Aventureiro,P,5027.0,CEMADEN
26274883,,2014/07/25,-26.273,-48.828,JOINVILLE - Iririu,P,5029.0,CEMADEN
