estcodigo,@diffgr:id,@msdata:rowOrder,Altitude,Bacia,CodEstacao,CodRio,Latitude,Longitude,Municipio-UF,NomeEstacao,NomeRio,Operadora,Origem,Responsavel,StatusEstacao,SubBacia,fid,field_1
66,Table3471,3470.0,661.0,6.0,65832000.0,65140710.0,-25.9722,-52.1514,MANGUEIRINHA-PR,PCH COVÓ BARAMENTO,RIO MARRECAS,00525 - COVÓ - Covó Geração de Energia Elétrica Ltda.,Setor Elétrico,00525 - COVÓ - Covó Geração de Energia Elétrica Ltda.,Ativo,65.0,67.0,3470.0
67,Table3472,3471.0,607.0,6.0,65854500.0,65160000.0,-25.3811,-52.0261,VIRMOND-PR,PCH CAVERNOSO II VAU DOS RIBEIROS,RIO CAVERNOSO,00028 - COPEL - Copel Geração e Transmissão S.A,Setor Elétrico,00028 - COPEL - Copel Geração e Transmissão S.A,Ativo,65.0,68.0,3471.0
68,Table3473,3472.0,560.0,6.0,65855080.0,65160000.0,-25.4878,-52.2156,VIRMOND-PR,PCH CAVERNOSO II BARRAMENTO,RIO CAVERNOSO,00028 - COPEL - Copel Geração e Transmissão S.A,Setor Elétrico,00028 - COPEL - Copel Geração e Transmissão S.A,Ativo,65.0,69.0,3472.0
69,Table3474,3473.0,514.0,6.0,65855110.0,65160000.0,-25.5089,-52.2292,VIRMOND-PR,PCH CAVERNOSO II JUSANTE,RIO CAVERNOSO,00028 - COPEL - Copel Geração e Transmissão S.A,Setor Elétrico,00028 - COPEL - Copel Geração e Transmissão S.A,Ativo,65.0,70.0,3473.0
70,Table3475,3474.0,540.0,6.0,65875500.0,65160100.0,-25.7808,-52.4917,CHOPINZINHO-PR,UHE SALTO SANTIAGO RIO CHOPINZINHO,RIO CHOPINZINHO,00112 - ENGIE - Engie Brasil Energia S.A.,Setor Elétrico,00112 - ENGIE - Engie Brasil Energia S.A.,Ativo,65.0,71.0,3474.0
71,Table3476,3475.0,491.0,6.0,65883045.0,65100000.0,-25.6406,-52.595,SAUDADE DO IGUAÇU-PR,UHE SALTO SANTIAGO RESERVATÓRIO 2,RIO IGUAÇU,00112 - ENGIE - Engie Brasil Energia S.A.,Setor Elétrico,00112 - ENGIE - Engie Brasil Energia S.A.,Ativo,65.0,72.0,3475.0
72,Table3477,3476.0,490.0,6.0,65883048.0,65100000.0,-25.605,-52.6053,SAUDADE DO IGUAÇU-PR,UHE SALTO SANTIAGO RESERVATÓRIO 1,RIO IGUAÇU,00112 - ENGIE - Engie Brasil Energia S.A.,Setor Elétrico,00112 - ENGIE - Engie Brasil Energia S.A.,Ativo,65.0,73.0,3476.0
73,Table3478,3477.0,491.0,6.0,65883051.0,65100000.0,-25.6103,-52.6164,SAUDADE DO IGUAÇU-PR,UHE SALTO SANTIAGO BARRAMENTO,RIO IGUAÇU,00112 - ENGIE - Engie Brasil Energia S.A.,Setor Elétrico,00112 - ENGIE - Engie Brasil Energia S.A.,Ativo,65.0,74.0,3477.0
74,Table3479,3478.0,495.0,6.0,65889700.0,65160900.0,-25.4103,-52.7406,ESPIGÃO ALTO DO IGUAÇU-PR,UHE SALTO OSÓRIO RIO DAS COBRAS,RIO DAS COBRAS,00112 - ENGIE - Engie Brasil Energia S.A.,Setor Elétrico,00112 - ENGIE - Engie Brasil Energia S.A.,Ativo,65.0,75.0,3478.0
75,Table3480,3479.0,405.0,6.0,65889800.0,65100000.0,-25.6125,-52.8633,SÃO JORGE D''OESTE-PR,UHE SALTO OSÓRIO RESERVATÓRIO 2,RIO IGUAÇU,00112 - ENGIE - Engie Brasil Energia S.A.,Setor Elétrico,00112 - ENGIE - Engie Brasil Energia S.A.,Ativo,65.0,76.0,3479.0
76,Table3481,3480.0,402.0,6.0,65894900.0,65100000.0,-25.5594,-52.9939,SÃO JORGE D''OESTE-PR,UHE SALTO OSÓRIO RESERVATÓRIO 1,RIO IGUAÇU,00112 - ENGIE - Engie Brasil Energia S.A.,Setor Elétrico,00112 - ENGIE - Engie Brasil Energia S.A.,Ativo,65.0,77.0,3480.0
77,Table3482,3481.0,400.0,6.0,65894991.0,65100000.0,-25.5331,-53.0106,QUEDAS DO IGUAÇU-PR,UHE SALTO OSÓRIO BARRAMENTO,RIO IGUAÇU,00112 - ENGIE - Engie Brasil Energia S.A.,Setor Elétrico,00112 - ENGIE - Engie Brasil Energia S.A.,Ativo,65.0,78.0,3481.0
