idGrade,x,y,bacia
228,-51.2,-25.6,10
229,-51.1,-25.6,10
230,-51.4,-26.7,11
231,-51.3,-26.7,11
232,-51.4,-26.6,11
233,-51.3,-26.6,11
234,-51.2,-26.6,11
235,-51.1,-26.6,11
236,-51.3,-26.5,11
237,-51.2,-26.5,11
238,-51.3,-26.4,11
239,-51.4,-26.4,12
240,-51.2,-26.4,12
241,-51.4,-26.3,12
242,-51.3,-26.3,12
243,-51.2,-26.3,12
244,-51.1,-26.3,12
245,-51.6,-26.2,12
246,-51.5,-26.2,12
247,-51.4,-26.2,12
248,-51.3,-26.2,12
249,-51.2,-26.2,12
250,-51.1,-26.2,12
251,-51.6,-26.1,12
252,-51.5,-26.1,12
253,-51.4,-26.1,12
254,-51.3,-26.1,12
255,-51.2,-26.1,12
256,-51.1,-26.1,12
257,-51.0,-26.1,12
258,-51.6,-26.0,12
259,-51.5,-26.0,12
260,-51.4,-26.0,12
261,-51.3,-26.0,12
262,-51.2,-26.0,12
263,-51.1,-26.0,12
264,-51.0,-26.0,12
265,-51.5,-25.9,12
266,-51.4,-25.9,12
267,-51.3,-25.9,12
268,-51.2,-25.9,12
269,-51.1,-25.9,12
270,-51.5,-25.8,12
271,-51.4,-25.8,12
272,-51.3,-25.7,12
273,-51.5,-26.5,13
274,-51.4,-26.5,13
275,-51.7,-26.4,13
276,-51.6,-26.4,13
277,-51.5,-26.4,13
278,-52.0,-26.3,13
279,-51.9,-26.3,13
280,-51.8,-26.3,13
281,-51.7,-26.3,13
282,-51.6,-26.3,13
283,-51.5,-26.3,13
284,-51.9,-26.2,13
285,-51.8,-26.2,13
286,-51.7,-26.2,13
287,-51.9,-26.1,13
288,-53.1,-25.3,14
289,-53.0,-25.3,14
290,-52.9,-25.3,14
291,-52.8,-25.3,14
292,-53.0,-25.2,14
293,-52.9,-25.2,14
294,-52.8,-25.2,14
295,-52.7,-25.2,14
296,-52.9,-25.1,14
297,-52.0,-26.5,15
298,-51.9,-26.5,15
299,-51.8,-26.5,15
300,-51.7,-26.5,15
301,-51.6,-26.5,15
302,-52.6,-26.4,15
303,-52.5,-26.4,15
304,-52.4,-26.4,15
305,-52.3,-26.4,15
306,-52.2,-26.4,15
307,-52.1,-26.4,15
308,-52.0,-26.4,15
309,-51.9,-26.4,15
310,-51.8,-26.4,15
311,-53.2,-26.3,15
312,-53.1,-26.3,15
313,-53.0,-26.3,15
314,-52.9,-26.3,15
315,-52.8,-26.3,15
316,-52.7,-26.3,15
317,-52.6,-26.3,15
318,-52.5,-26.3,15
319,-52.4,-26.3,15
320,-52.3,-26.3,15
321,-52.2,-26.3,15
322,-52.1,-26.3,15
323,-53.2,-26.2,15
324,-53.1,-26.2,15
325,-53.0,-26.2,15
326,-52.9,-26.2,15
327,-52.8,-26.2,15
328,-52.7,-26.2,15
329,-52.6,-26.2,15
330,-52.5,-26.2,15
331,-52.4,-26.2,15
332,-52.3,-26.2,15
333,-53.2,-26.1,15
334,-53.1,-26.1,15
335,-53.0,-26.1,15
336,-52.9,-26.1,15
337,-52.8,-26.1,15
338,-52.7,-26.1,15
339,-52.6,-26.1,15
340,-52.5,-26.1,15
341,-52.4,-26.1,15
342,-53.2,-26.0,15
343,-53.1,-26.0,15
344,-53.0,-26.0,15
345,-52.9,-26.0,15
346,-52.8,-26.0,15
347,-52.7,-26.0,15
348,-52.6,-26.0,15
349,-52.5,-26.0,15
350,-52.4,-26.0,15
351,-53.0,-25.9,15
352,-52.9,-25.9,15
353,-52.8,-25.9,15
354,-52.7,-25.9,15
355,-52.6,-25.9,15
356,-52.9,-25.8,15
357,-52.8,-25.8,15
358,-52.2,-26.2,16
359,-52.1,-26.2,16
360,-52.0,-26.2,16
361,-52.3,-26.1,16
362,-52.2,-26.1,16
363,-52.1,-26.1,16
364,-52.0,-26.1,16
365,-51.8,-26.1,16
366,-51.7,-26.1,16
367,-52.3,-26.0,16
368,-52.2,-26.0,16
369,-52.1,-26.0,16
370,-52.0,-26.0,16
371,-51.9,-26.0,16
372,-51.8,-26.0,16
373,-51.7,-26.0,16
374,-52.2,-25.9,16
375,-52.1,-25.9,16
376,-52.0,-25.9,16
377,-51.8,-25.9,16
378,-51.7,-25.9,16
379,-51.6,-25.9,16
380,-52.1,-25.8,16
381,-51.7,-25.8,16
382,-51.6,-25.8,16
383,-53.1,-25.9,17
384,-53.1,-25.8,17
385,-53.0,-25.8,17
386,-53.1,-25.7,17
387,-53.0,-25.7,17
388,-52.9,-25.7,17
389,-53.1,-25.6,17
390,-51.8,-25.7,18
391,-51.7,-25.7,18
392,-51.6,-25.7,18
393,-51.5,-25.7,18
394,-51.4,-25.7,18
395,-51.9,-25.6,18
396,-51.8,-25.6,18
397,-51.7,-25.6,18
398,-51.6,-25.6,18
399,-51.5,-25.6,18
400,-51.4,-25.6,18
401,-51.3,-25.6,18
402,-51.9,-25.5,18
403,-51.8,-25.5,18
404,-51.7,-25.5,18
405,-51.6,-25.5,18
406,-51.5,-25.5,18
407,-51.4,-25.5,18
408,-51.3,-25.5,18
409,-51.2,-25.5,18
410,-51.8,-25.4,18
411,-51.7,-25.4,18
412,-51.6,-25.4,18
413,-51.5,-25.4,18
414,-51.4,-25.4,18
415,-51.3,-25.4,18
416,-51.2,-25.4,18
