fid,field_1,@diffgr:id,@msdata:rowOrder,NomeEstacao,CodEstacao,Bacia,SubBacia,Operadora,Responsavel,Municipio-UF,Latitude,Longitude,Altitude,CodRio,NomeRio,Origem,StatusEstacao
"21","3424",Table3425,"3424",SANTA QUITÉRIA,"65019675","6","65",00052 - IAT-PR - Instituto Água e Terra do Paraná,00052 - IAT-PR - Instituto Água e Terra do Paraná,CURITIBA-PR,-25.4633,-49.3197,889.09,"65113000",RIO BARIGUI,RHN,Ativo
"22","3425",Table3426,"3425",GUAJUVIRA,"65025000","6","65",00052 - IAT-PR - Instituto Água e Terra do Paraná,00001 - ANA - Agência Nacional de Águas,ARAUCÁRIA-PR,-25.6003,-49.5133,857.72,"65100000",RIO IGUAÇU,RHN,Ativo
"23","3426",Table3427,"3426",FORMIGAS,"65026950","6","65",00052 - IAT-PR - Instituto Água e Terra do Paraná,00052 - IAT-PR - Instituto Água e Terra do Paraná,ARAUCÁRIA-PR,-25.5378,-49.5444,869.22,"65115000",RIO VERDE,RHN,Ativo
"24","3427",Table3428,"3427",BALSA NOVA,"65028000","6","65",00052 - IAT-PR - Instituto Água e Terra do Paraná,00052 - IAT-PR - Instituto Água e Terra do Paraná,BALSA NOVA-PR,-25.5886,-49.6319,854.36,"65100000",RIO IGUAÇU,RHN,Ativo
"25","3428",Table3429,"3428",UHE GOV. NEY AMINTHAS PORTO AMAZONAS,"65035001","6","65",00028 - COPEL - Copel Geração e Transmissão S.A,00028 - COPEL - Copel Geração e Transmissão S.A,PORTO AMAZONAS-PR,-25.5481,-49.8894,780,"65100000",RIO IGUAÇU,Setor Elétrico,Ativo
"26","3429",Table3430,"3429",UHE GOV. NEY AMINTHAS SÃO MATEUS DO SUL,"65060001","6","65",00028 - COPEL - Copel Geração e Transmissão S.A,00028 - COPEL - Copel Geração e Transmissão S.A,SÃO MATEUS DO SUL-PR,-25.8756,-50.3894,760,"65100000",RIO IGUAÇU,Setor Elétrico,Ativo
"27","3430",Table3431,"3430",PCH DERIVAÇÃO DO RIO JORDÃO RIO NEGRO,"65100001","6","65",00028 - COPEL - Copel Geração e Transmissão S.A,00028 - COPEL - Copel Geração e Transmissão S.A,RIO NEGRO-PR,-26.1097,-49.8011,766,"65120000",RIO NEGRO,Setor Elétrico,Ativo
"28","3431",Table3432,"3431",QUITANDINHA,"65136550","6","65",00052 - IAT-PR - Instituto Água e Terra do Paraná,00001 - ANA - Agência Nacional de Águas,QUITANDINHA-PR,-25.855,-49.5258,800,"65120400",RIO DA VÁRZEA,RHN,Ativo
"29","3432",Table3433,"3432",PCH CANHADÃO BARRAMENTO,"65140000","6","65",00363 - CANHADÃO - Canhadão Produção de Energia Elétrica LTDA.,00363 - CANHADÃO - Canhadão Produção de Energia Elétrica LTDA.,MANGUEIRINHA-PR,-25.9783,-52.2133,890,"65140700",RIO COVO,Setor Elétrico,Ativo
"30","3433",Table3434,"3433",PCH CANHADÃO JUSANTE,"65141000","6","65",00363 - CANHADÃO - Canhadão Produção de Energia Elétrica LTDA.,00363 - CANHADÃO - Canhadão Produção de Energia Elétrica LTDA.,MANGUEIRINHA-PR,-25.9736,-52.1683,657,"65140700",RIO COVO,Setor Elétrico,Ativo
