fid,field_1,@diffgr:id,@msdata:rowOrder,NomeEstacao,CodEstacao,Bacia,SubBacia,Operadora,Responsavel,Municipio-UF,Latitude,Longitude,Altitude,CodRio,NomeRio,Origem,StatusEstacao
"75","3478",Table3479,"3478",UHE SALTO OSÓRIO RIO DAS COBRAS,"65889700","6","65",00112 - ENGIE - Engie Brasil Energia S.A.,00112 - ENGIE - Engie Brasil Energia S.A.,ESPIGÃO ALTO DO IGUAÇU-PR,-25.4103,-52.7406,495,"65160900",RIO DAS COBRAS,Setor Elétrico,Ativo
"76","3479",Table3480,"3479",UHE SALTO OSÓRIO RESERVATÓRIO 2,"65889800","6","65",00112 - ENGIE - Engie Brasil Energia S.A.,00112 - ENGIE - Engie Brasil Energia S.A.,SÃO JORGE D''OESTE-PR,-25.6125,-52.8633,405,"65100000",RIO IGUAÇU,Setor Elétrico,Ativo
"77","3480",Table3481,"3480",UHE SALTO OSÓRIO RESERVATÓRIO 1,"65894900","6","65",00112 - ENGIE - Engie Brasil Energia S.A.,00112 - ENGIE - Engie Brasil Energia S.A.,SÃO JORGE D''OESTE-PR,-25.5594,-52.9939,402,"65100000",RIO IGUAÇU,Setor Elétrico,Ativo
"78","3481",Table3482,"3481",UHE SALTO OSÓRIO BARRAMENTO,"65894991","6","65",00112 - ENGIE - Engie Brasil Energia S.A.,00112 - ENGIE - Engie Brasil Energia S.A.,QUEDAS DO IGUAÇU-PR,-25.5331,-53.0106,400,"65100000",RIO IGUAÇU,Setor Elétrico,Ativo
"79","3482",Table3483,"3482",PCH ARTURO ANDREOLI PORTO PALMEIRINHA,"65927001","6","65",00312 - FOZ DO CHOPIM - Foz do Chopim Energética Ltda.,00312 - FOZ DO CHOPIM - Foz do Chopim Energética Ltda.,CORONEL VIVIDA-PR,-26.0289,-52.6281,450,"65170000",RIO CHOPIM,Setor Elétrico,Ativo
"80","3483",Table3484,"3483",PCH VITORINO MONTANTE,"65945200","6","65",00373 - RIO VITORINO - Hidrelétrica Rio Vitorino LTDA.,00373 - RIO VITORINO - Hidrelétrica Rio Vitorino LTDA.,ITAPEJARA D''OESTE-PR,-26.01,-52.7939,522,"65170300",RIO VITORINO,Setor Elétrico,Ativo
"81","3484",Table3485,"3484",PCH VITORINO BARRAMENTO,"65945400","6","65",00373 - RIO VITORINO - Hidrelétrica Rio Vitorino LTDA.,00373 - RIO VITORINO - Hidrelétrica Rio Vitorino LTDA.,ITAPEJARA D''OESTE-PR,-25.9972,-52.7856,520,"65170300",RIO VITORINO,Setor Elétrico,Ativo
"82","3485",Table3486,"3485",PCH VITORINO JUSANTE 1,"65945500","6","65",00373 - RIO VITORINO - Hidrelétrica Rio Vitorino LTDA.,00373 - RIO VITORINO - Hidrelétrica Rio Vitorino LTDA.,ITAPEJARA D''OESTE-PR,-25.9972,-52.785,518,"65170300",RIO VITORINO,Setor Elétrico,Ativo
"83","3486",Table3487,"3486",PCH VITORINO JUSANTE 2,"65945600","6","65",00373 - RIO VITORINO - Hidrelétrica Rio Vitorino LTDA.,00373 - RIO VITORINO - Hidrelétrica Rio Vitorino LTDA.,ITAPEJARA D''OESTE-PR,-25.9922,-52.7858,492,"65170300",RIO VITORINO,Setor Elétrico,Ativo
"84","3487",Table3488,"3487",PONTE MARMELEIRO MTE. ETA,"65948000","6","65",00052 - IAT-PR - Instituto Água e Terra do Paraná,00001 - ANA - Agência Nacional de Águas,MARMELEIRO-PR,-26.1525,-53.02,500,"65170660",RIO MARMELEIRO,RHN,Ativo
"85","3488",Table3489,"3488",FRANCISCO BELTRÃO MTE. ETA,"65950200","6","65",00052 - IAT-PR - Instituto Água e Terra do Paraná,00001 - ANA - Agência Nacional de Águas,FRANCISCO BELTRÃO-PR,-26.0817,-53.0739,450,"65170680",RIO MARRECAS,RHN,Ativo
"86","3489",Table3490,"3489",PCH VILA GALUPO MONTANTE,"65954200","6","65",01114 - SUDOESTE - Sudoeste Energia Ltda.,01114 - SUDOESTE - Sudoeste Energia Ltda.,BOM SUCESSO DO SUL-PR,-26.0864,-52.9394,550,"65170600",RIO SANTANA,Setor Elétrico,Ativo
"87","3490",Table3491,"3490",PCH BEDIM MONTANTE,"65954250","6","65",01159 - SANTANA - Santana Energética Ltda,01159 - SANTANA - Santana Energética Ltda,RENASCENÇA-PR,-26.0956,-52.9481,560,"65170600",RIO SANTANA,Setor Elétrico,Ativo
"88","3491",Table3492,"3491",PCH BEDIM BARRAMENTO,"65954300","6","65",01159 - SANTANA - Santana Energética Ltda,01159 - SANTANA - Santana Energética Ltda,RENASCENÇA-PR,-26.0911,-52.9558,565,"65170600",RIO SANTANA,Setor Elétrico,Ativo
"89","3492",Table3493,"3492",PCH VILA GALUPO BARRAMENTO,"65954400","6","65",01114 - SUDOESTE - Sudoeste Energia Ltda.,01114 - SUDOESTE - Sudoeste Energia Ltda.,BOM SUCESSO DO SUL-PR,-26.0617,-52.9222,536,"65170600",RIO SANTANA,Setor Elétrico,Ativo
"90","3493",Table3494,"3493",PCH JACARÉ BARRAMENTO,"65954900","6","65",01050 - VORTEX - Vortex Energia Ltda.,01050 - VORTEX - Vortex Energia Ltda.,FRANCISCO BELTRÃO-PR,-26.0389,-52.9331,509,"65170600",RIO SANTANA,Setor Elétrico,Ativo
"91","3494",Table3495,"3494",PCH JACARÉ JUSANTE,"65954950","6","65",01050 - VORTEX - Vortex Energia Ltda.,01050 - VORTEX - Vortex Energia Ltda.,FRANCISCO BELTRÃO-PR,-26.0347,-52.9236,496,"65170600",RIO SANTANA,Setor Elétrico,Ativo
"92","3495",Table3496,"3495",BALSA DO SANTANA,"65955000","6","65",00052 - IAT-PR - Instituto Água e Terra do Paraná,00001 - ANA - Agência Nacional de Águas,ITAPEJARA D''OESTE-PR,-25.915,-52.8494,450,"65170600",RIO SANTANA,RHN,Ativo
"93","3496",Table3497,"3496",PCH ARTURO ANDREOLI RIO SANTANA,"65956000","6","65",00312 - FOZ DO CHOPIM - Foz do Chopim Energética Ltda.,00312 - FOZ DO CHOPIM - Foz do Chopim Energética Ltda.,VERÊ-PR,-25.8831,-52.8631,0,"65170600",RIO SANTANA,Setor Elétrico,Ativo
"94","3497",Table3498,"3497",PCH BELA VISTA RESERVATÓRIO,"65957000","6","65",00214 - VISTA - Bela Vista Geração de Energia S.A.,00214 - VISTA - Bela Vista Geração de Energia S.A.,VERÊ-PR,-25.8181,-52.9014,430,"65170000",RIO CHOPIM,Setor Elétrico,Ativo
"95","3498",Table3499,"3498",PCH BELA VISTA JUSANTE,"65958000","6","65",00214 - VISTA - Bela Vista Geração de Energia S.A.,00214 - VISTA - Bela Vista Geração de Energia S.A.,VERÊ-PR,-25.8058,-52.9067,421,"65170000",RIO CHOPIM,Setor Elétrico,Ativo
"96","3499",Table3500,"3499",UHE GOV. JOSÉ RICHA ÁGUAS DO VERE,"65960001","6","65",00028 - COPEL - Copel Geração e Transmissão S.A,00028 - COPEL - Copel Geração e Transmissão S.A,VERÊ-PR,-25.7739,-52.9244,390,"65170000",RIO CHOPIM,Setor Elétrico,Ativo
"97","3500",Table3501,"3500",PCH ARTURO ANDREOLI FLOR DA SERRA,"65962000","6","65",00312 - FOZ DO CHOPIM - Foz do Chopim Energética Ltda.,00312 - FOZ DO CHOPIM - Foz do Chopim Energética Ltda.,DOIS VIZINHOS-PR,-25.6822,-52.9844,550,"65170000",RIO CHOPIM,Setor Elétrico,Ativo
"98","3501",Table3502,"3501",PCH ARTURO ANDREOLI BARRAMENTO,"65963071","6","65",00312 - FOZ DO CHOPIM - Foz do Chopim Energética Ltda.,00312 - FOZ DO CHOPIM - Foz do Chopim Energética Ltda.,CRUZEIRO DO IGUAÇU-PR,-25.5711,-53.1133,356,"65170000",RIO CHOPIM,Setor Elétrico,Ativo
"99","3502",Table3503,"3502",UHE GOV. JOSÉ RICHA PORTO SANTO ANTÔNIO,"65970001","6","65",00028 - COPEL - Copel Geração e Transmissão S.A,00028 - COPEL - Copel Geração e Transmissão S.A,TRÊS BARRAS DO PARANÁ-PR,-25.3939,-53.1039,430,"65180100",RIO GUARANI,Setor Elétrico,Ativo
"100","3503",Table3504,"3503",UHE GOV. JOSÉ RICHA BARRAMENTO,"65973501","6","65",00028 - COPEL - Copel Geração e Transmissão S.A,00028 - COPEL - Copel Geração e Transmissão S.A,NOVA PRATA DO IGUAÇU-PR,-25.5419,-53.4844,3286,"65100000",RIO IGUAÇU,Setor Elétrico,Ativo
"101","3504",Table3505,"3504",UHE BAIXO IGUAÇU RIO ANDRADA,"65975300","6","65",00369 - CÉU AZUL - Geração Céu Azul S.A.,00369 - CÉU AZUL - Geração Céu Azul S.A.,CAPITÃO LEÔNIDAS MARQUES-PR,-25.4217,-53.5003,329,"65180700",RIO ANDRADA,Setor Elétrico,Ativo
"102","3505",Table3506,"3505",UHE BAIXO IGUAÇU RIO CAPANEMA,"65980500","6","65",00369 - CÉU AZUL - Geração Céu Azul S.A.,00369 - CÉU AZUL - Geração Céu Azul S.A.,CAPANEMA-PR,-25.7692,-53.6111,329,"65180800",RIO CAPANEMA,Setor Elétrico,Ativo
"103","3506",Table3507,"3506",UHE ITAIPU PONTE DO CAPANEMA,"65981500","6","65",00090 - ITAIPU - Itaipu  Binacional,00090 - ITAIPU - Itaipu  Binacional,PLANALTO-PR,-25.77,-53.6114,320,"65180800",RIO CAPANEMA,Setor Elétrico,Ativo
"104","3507",Table3508,"3507",UHE BAIXO IGUAÇU RESERVATÓRIO,"65983000","6","65",00369 - CÉU AZUL - Geração Céu Azul S.A.,00369 - CÉU AZUL - Geração Céu Azul S.A.,CAPITÃO LEÔNIDAS MARQUES-PR,-25.5083,-53.6669,263,"65100000",RIO IGUAÇU,Setor Elétrico,Ativo
"105","3508",Table3509,"3508",UHE BAIXO IGUAÇU BARRAMENTO,"65983100","6","65",00369 - CÉU AZUL - Geração Céu Azul S.A.,00369 - CÉU AZUL - Geração Céu Azul S.A.,CAPITÃO LEÔNIDAS MARQUES-PR,-25.5042,-53.6722,263,"65100000",RIO IGUAÇU,Setor Elétrico,Ativo
"106","3509",Table3510,"3509",UHE BAIXO IGUAÇU JUSANTE,"65984000","6","65",00369 - CÉU AZUL - Geração Céu Azul S.A.,00369 - CÉU AZUL - Geração Céu Azul S.A.,CAPANEMA-PR,-25.5853,-53.7278,231,"65100000",RIO IGUAÇU,Setor Elétrico,Ativo
"107","3510",Table3511,"3510",UHE ITAIPU PORTO CAPANEMA,"65987000","6","65",00090 - ITAIPU - Itaipu  Binacional,00090 - ITAIPU - Itaipu  Binacional,SERRANÓPOLIS DO IGUAÇU-PR,-25.5667,-53.9331,180,"65100000",RIO IGUAÇU,Setor Elétrico,Ativo
"108","3511",Table3512,"3511",UHE GOV. JOSÉ RICHA PORTO CAPANEMA,"65987001","6","65",00028 - COPEL - Copel Geração e Transmissão S.A,00028 - COPEL - Copel Geração e Transmissão S.A,CAPANEMA-PR,-25.5667,-53.9333,180,"65100000",RIO IGUAÇU,Setor Elétrico,Ativo
"109","3512",Table3513,"3512",UHE ITAIPU HOTEL CATARATAS,"65992500","6","65",00090 - ITAIPU - Itaipu  Binacional,00090 - ITAIPU - Itaipu  Binacional,FOZ DO IGUAÇU-PR,-25.6831,-54.4406,180.1,"65100000",RIO IGUAÇU,Setor Elétrico,Ativo
"110","3513",Table3514,"3513",HOTEL CATARATAS - COPEL,"65992502","6","65",00028 - COPEL - Copel Geração e Transmissão S.A,00028 - COPEL - Copel Geração e Transmissão S.A,FOZ DO IGUAÇU-PR,-25.6833,-54.4289,180.1,"65100000",RIO IGUAÇU,Setor Elétrico,Ativo
"111","4329",Table4330,"4329",ESTACAO TESTE RESOLUCAO 99999999,"99999999","9","90",05001 - EMP.TESTES - Empresa de Teste da Resolução 03/2010,05001 - EMP.TESTES - Empresa de Teste da Resolução 03/2010,UNIÃO DA VITÓRIA-PR,-26.3936,-51.3936,670,"65100000",RIO IGUAÇU,Setor Elétrico,Ativo
