,@diffgr:id,@msdata:rowOrder,Altitude,Bacia,CodEstacao,CodRio,Latitude,Longitude,Municipio-UF,NomeEstacao,NomeRio,Operadora,Origem,Responsavel,StatusEstacao,SubBacia,estcodigo,fid,field_1
30,Table3464,3463.0,811.0,6.0,65824991.0,65150000.0,-25.6558,-51.9522,PINHÃO-PR,UHE SANTA CLARA BARRAMENTO,RIO JORDÃO,00289 - ELEJOR - Centrais Elétricas do Rio Jordão S.A-ELEJOR,Setor Elétrico,00289 - ELEJOR - Centrais Elétricas do Rio Jordão S.A-ELEJOR,Ativo,65.0,59.0,60.0,3463.0
32,Table3468,3467.0,901.0,6.0,65831000.0,65140710.0,-26.0528,-52.1783,MANGUEIRINHA-PR,PCH TIGRE BARRAMENTO,RIO MARRECAS,00661 - TIGRE - Tigre Produção de Energia Elétrica Ltda.,Setor Elétrico,00661 - TIGRE - Tigre Produção de Energia Elétrica Ltda.,Ativo,65.0,63.0,64.0,3467.0
33,Table3469,3468.0,828.0,6.0,65831020.0,65140710.0,-26.0411,-52.175,MANGUEIRINHA-PR,PCH TIGRE JUSANTE,RIO MARRECAS,00661 - TIGRE - Tigre Produção de Energia Elétrica Ltda.,Setor Elétrico,00661 - TIGRE - Tigre Produção de Energia Elétrica Ltda.,Ativo,65.0,64.0,65.0,3468.0
34,Table3470,3469.0,661.0,6.0,65831900.0,65140710.0,-25.9797,-52.1614,MANGUEIRINHA-PR,PCH COVÓ MONTANTE,RIO MARRECAS,00525 - COVÓ - Covó Geração de Energia Elétrica Ltda.,Setor Elétrico,00525 - COVÓ - Covó Geração de Energia Elétrica Ltda.,Ativo,65.0,65.0,66.0,3469.0
35,Table3471,3470.0,661.0,6.0,65832000.0,65140710.0,-25.9722,-52.1514,MANGUEIRINHA-PR,PCH COVÓ BARAMENTO,RIO MARRECAS,00525 - COVÓ - Covó Geração de Energia Elétrica Ltda.,Setor Elétrico,00525 - COVÓ - Covó Geração de Energia Elétrica Ltda.,Ativo,65.0,66.0,67.0,3470.0
36,Table3475,3474.0,540.0,6.0,65875500.0,65160100.0,-25.7808,-52.4917,CHOPINZINHO-PR,UHE SALTO SANTIAGO RIO CHOPINZINHO,RIO CHOPINZINHO,00112 - ENGIE - Engie Brasil Energia S.A.,Setor Elétrico,00112 - ENGIE - Engie Brasil Energia S.A.,Ativo,65.0,70.0,71.0,3474.0
39,Table3478,3477.0,491.0,6.0,65883051.0,65100000.0,-25.6103,-52.6164,SAUDADE DO IGUAÇU-PR,UHE SALTO SANTIAGO BARRAMENTO,RIO IGUAÇU,00112 - ENGIE - Engie Brasil Energia S.A.,Setor Elétrico,00112 - ENGIE - Engie Brasil Energia S.A.,Ativo,65.0,73.0,74.0,3477.0
40,Table3479,3478.0,495.0,6.0,65889700.0,65160900.0,-25.4103,-52.7406,ESPIGÃO ALTO DO IGUAÇU-PR,UHE SALTO OSÓRIO RIO DAS COBRAS,RIO DAS COBRAS,00112 - ENGIE - Engie Brasil Energia S.A.,Setor Elétrico,00112 - ENGIE - Engie Brasil Energia S.A.,Ativo,65.0,74.0,75.0,3478.0
43,Table3482,3481.0,400.0,6.0,65894991.0,65100000.0,-25.5331,-53.0106,QUEDAS DO IGUAÇU-PR,UHE SALTO OSÓRIO BARRAMENTO,RIO IGUAÇU,00112 - ENGIE - Engie Brasil Energia S.A.,Setor Elétrico,00112 - ENGIE - Engie Brasil Energia S.A.,Ativo,65.0,77.0,78.0,3481.0
44,Table3484,3483.0,522.0,6.0,65945200.0,65170300.0,-26.01,-52.7939,ITAPEJARA D''OESTE-PR,PCH VITORINO MONTANTE,RIO VITORINO,00373 - RIO VITORINO - Hidrelétrica Rio Vitorino LTDA.,Setor Elétrico,00373 - RIO VITORINO - Hidrelétrica Rio Vitorino LTDA.,Ativo,65.0,79.0,80.0,3483.0
45,Table3485,3484.0,520.0,6.0,65945400.0,65170300.0,-25.9972,-52.7856,ITAPEJARA D''OESTE-PR,PCH VITORINO BARRAMENTO,RIO VITORINO,00373 - RIO VITORINO - Hidrelétrica Rio Vitorino LTDA.,Setor Elétrico,00373 - RIO VITORINO - Hidrelétrica Rio Vitorino LTDA.,Ativo,65.0,80.0,81.0,3484.0
46,Table3486,3485.0,518.0,6.0,65945500.0,65170300.0,-25.9972,-52.785,ITAPEJARA D''OESTE-PR,PCH VITORINO JUSANTE 1,RIO VITORINO,00373 - RIO VITORINO - Hidrelétrica Rio Vitorino LTDA.,Setor Elétrico,00373 - RIO VITORINO - Hidrelétrica Rio Vitorino LTDA.,Ativo,65.0,81.0,82.0,3485.0
47,Table3487,3486.0,492.0,6.0,65945600.0,65170300.0,-25.9922,-52.7858,ITAPEJARA D''OESTE-PR,PCH VITORINO JUSANTE 2,RIO VITORINO,00373 - RIO VITORINO - Hidrelétrica Rio Vitorino LTDA.,Setor Elétrico,00373 - RIO VITORINO - Hidrelétrica Rio Vitorino LTDA.,Ativo,65.0,82.0,83.0,3486.0
48,Table3490,3489.0,550.0,6.0,65954200.0,65170600.0,-26.0864,-52.9394,BOM SUCESSO DO SUL-PR,PCH VILA GALUPO MONTANTE,RIO SANTANA,01114 - SUDOESTE - Sudoeste Energia Ltda.,Setor Elétrico,01114 - SUDOESTE - Sudoeste Energia Ltda.,Ativo,65.0,85.0,86.0,3489.0
49,Table3491,3490.0,560.0,6.0,65954250.0,65170600.0,-26.0956,-52.9481,RENASCENÇA-PR,PCH BEDIM MONTANTE,RIO SANTANA,01159 - SANTANA - Santana Energética Ltda,Setor Elétrico,01159 - SANTANA - Santana Energética Ltda,Ativo,65.0,86.0,87.0,3490.0
50,Table3492,3491.0,565.0,6.0,65954300.0,65170600.0,-26.0911,-52.9558,RENASCENÇA-PR,PCH BEDIM BARRAMENTO,RIO SANTANA,01159 - SANTANA - Santana Energética Ltda,Setor Elétrico,01159 - SANTANA - Santana Energética Ltda,Ativo,65.0,87.0,88.0,3491.0
51,Table3493,3492.0,536.0,6.0,65954400.0,65170600.0,-26.0617,-52.9222,BOM SUCESSO DO SUL-PR,PCH VILA GALUPO BARRAMENTO,RIO SANTANA,01114 - SUDOESTE - Sudoeste Energia Ltda.,Setor Elétrico,01114 - SUDOESTE - Sudoeste Energia Ltda.,Ativo,65.0,88.0,89.0,3492.0
52,Table3494,3493.0,509.0,6.0,65954900.0,65170600.0,-26.0389,-52.9331,FRANCISCO BELTRÃO-PR,PCH JACARÉ BARRAMENTO,RIO SANTANA,01050 - VORTEX - Vortex Energia Ltda.,Setor Elétrico,01050 - VORTEX - Vortex Energia Ltda.,Ativo,65.0,89.0,90.0,3493.0
53,Table3495,3494.0,496.0,6.0,65954950.0,65170600.0,-26.0347,-52.9236,FRANCISCO BELTRÃO-PR,PCH JACARÉ JUSANTE,RIO SANTANA,01050 - VORTEX - Vortex Energia Ltda.,Setor Elétrico,01050 - VORTEX - Vortex Energia Ltda.,Ativo,65.0,90.0,91.0,3494.0
57,Table3505,3504.0,329.0,6.0,65975300.0,65180700.0,-25.4217,-53.5003,CAPITÃO LEÔNIDAS MARQUES-PR,UHE BAIXO IGUAÇU RIO ANDRADA,RIO ANDRADA,00369 - CÉU AZUL - Geração Céu Azul S.A.,Setor Elétrico,00369 - CÉU AZUL - Geração Céu Azul S.A.,Ativo,65.0,100.0,101.0,3504.0
58,Table3506,3505.0,329.0,6.0,65980500.0,65180800.0,-25.7692,-53.6111,CAPANEMA-PR,UHE BAIXO IGUAÇU RIO CAPANEMA,RIO CAPANEMA,00369 - CÉU AZUL - Geração Céu Azul S.A.,Setor Elétrico,00369 - CÉU AZUL - Geração Céu Azul S.A.,Ativo,65.0,101.0,102.0,3505.0
59,Table3507,3506.0,320.0,6.0,65981500.0,65180800.0,-25.77,-53.6114,PLANALTO-PR,UHE ITAIPU PONTE DO CAPANEMA,RIO CAPANEMA,00090 - ITAIPU - Itaipu  Binacional,Setor Elétrico,00090 - ITAIPU - Itaipu  Binacional,Ativo,65.0,102.0,103.0,3506.0
61,Table3509,3508.0,263.0,6.0,65983100.0,65100000.0,-25.5042,-53.6722,CAPITÃO LEÔNIDAS MARQUES-PR,UHE BAIXO IGUAÇU BARRAMENTO,RIO IGUAÇU,00369 - CÉU AZUL - Geração Céu Azul S.A.,Setor Elétrico,00369 - CÉU AZUL - Geração Céu Azul S.A.,Ativo,65.0,104.0,105.0,3508.0
62,Table3510,3509.0,231.0,6.0,65984000.0,65100000.0,-25.5853,-53.7278,CAPANEMA-PR,UHE BAIXO IGUAÇU JUSANTE,RIO IGUAÇU,00369 - CÉU AZUL - Geração Céu Azul S.A.,Setor Elétrico,00369 - CÉU AZUL - Geração Céu Azul S.A.,Ativo,65.0,105.0,106.0,3509.0
63,Table3511,3510.0,180.0,6.0,65987000.0,65100000.0,-25.5667,-53.9331,SERRANÓPOLIS DO IGUAÇU-PR,UHE ITAIPU PORTO CAPANEMA,RIO IGUAÇU,00090 - ITAIPU - Itaipu  Binacional,Setor Elétrico,00090 - ITAIPU - Itaipu  Binacional,Ativo,65.0,106.0,107.0,3510.0
64,Table3513,3512.0,180.1,6.0,65992500.0,65100000.0,-25.6831,-54.4406,FOZ DO IGUAÇU-PR,UHE ITAIPU HOTEL CATARATAS,RIO IGUAÇU,00090 - ITAIPU - Itaipu  Binacional,Setor Elétrico,00090 - ITAIPU - Itaipu  Binacional,Ativo,65.0,108.0,109.0,3512.0
65,Table3514,3513.0,180.1,6.0,65992502.0,65100000.0,-25.6833,-54.4289,FOZ DO IGUAÇU-PR,HOTEL CATARATAS - COPEL,RIO IGUAÇU,00028 - COPEL - Copel Geração e Transmissão S.A,Setor Elétrico,00028 - COPEL - Copel Geração e Transmissão S.A,Ativo,65.0,109.0,110.0,3513.0
