#AAA MM DD HH    Qaflu   Qdeflu
2015 08 28 11  1893.22  2378.43
2015 08 28 12  1816.02  2405.88
2015 08 28 13  2015.78  2405.85
2015 08 28 14  1874.15  2406.93
2015 08 28 15  1817.71  2407.57
2015 08 28 16  1931.61  2407.30
2015 08 28 17  1990.05  2408.66
2015 08 28 18  1989.70  2408.31
2015 08 28 19  1856.31  2408.11
2015 08 28 20  2009.19  2408.78
2015 08 28 21  1961.36  2408.51
2015 08 28 22  1876.41  2409.19
2015 08 28 23  1949.83  2406.50
2015 08 29 00  1969.14  2359.21
2015 08 29 01  1879.99  2279.58
2015 08 29 02  1732.10  2103.14
2015 08 29 03  1723.80  1676.23
2015 08 29 04  1425.68  1225.89
2015 08 29 05  1171.35   809.82
2015 08 29 06  1168.69   502.72
2015 08 29 07  1082.83   454.92
2015 08 29 08  1104.69   571.91
2015 08 29 09  1221.62   812.52
2015 08 29 10  1510.69  1082.56
2015 08 29 11  1505.40  1391.23
2015 08 29 12  1606.33  1739.52
2015 08 29 13  1824.26  1909.88
2015 08 29 14  1643.30  2061.91
2015 08 29 15  1701.90  2206.14
2015 08 29 16  1785.95  2204.56
2015 08 29 17  1853.57  2234.13
2015 08 29 18  1780.03  2113.02
2015 08 29 19  1677.91  2029.92
2015 08 29 20  1658.73  2010.75
2015 08 29 21  1686.20  2066.75
2015 08 29 22  1803.29  2098.22
2015 08 29 23  1796.38  1891.52
2015 08 30 00  1866.86  1552.90
2015 08 30 01  1646.54  1056.67
2015 08 30 02  1495.45   705.80
2015 08 30 03  1239.40   535.37
2015 08 30 04   663.84   445.02
2015 08 30 05   658.24   439.41
2015 08 30 06   395.97   453.05
2015 08 30 07   336.39   441.05
2015 08 30 08   456.68   437.65
2015 08 30 09   193.44   459.82
2015 08 30 10   586.06   481.40
2015 08 30 11  1035.89   512.62
2015 08 30 12  1444.11   644.95
2015 08 30 13  1676.08   800.80
2015 08 30 14  1685.86   943.78
2015 08 30 15  1752.70  1086.73
2015 08 30 16  1644.03  1082.71
2015 08 30 17  1832.39  1090.30
2015 08 30 18  1625.61  1207.00
2015 08 30 19  1642.26  1442.47
2015 08 30 20  1757.76  1748.24
2015 08 30 21  1574.95  1974.54
2015 08 30 22  1734.21  2152.82
2015 08 30 23  1640.76  2116.46
2015 08 31 00  1792.57  1868.68
2015 08 31 01  1743.52  1467.62
2015 08 31 02  1569.41   998.57
2015 08 31 03  1300.05   624.56
2015 08 31 04   750.35   426.88
2015 08 31 05   523.99   428.85
2015 08 31 06   355.04   440.66
2015 08 31 07   782.05   525.17
2015 08 31 08  1153.31   877.41
2015 08 31 09  1409.69  1352.61
2015 08 31 10  1845.75  1836.23
2015 08 31 11  1781.21  2247.40
2015 08 31 12  1828.79  2390.11
2015 08 31 13  1906.51  2401.23
2015 08 31 14  1832.22  2393.54
2015 08 31 15  1816.46  2387.29
2015 08 31 16  1818.02  2388.85
2015 08 31 17  1896.53  2391.26
2015 08 31 18  1915.04  2400.25
2015 08 31 19  1922.64  2407.84
2015 08 31 20  1893.91  2407.66
2015 08 31 21  1856.58  2408.39
2015 08 31 22  1876.36  2409.14
2015 08 31 23  1858.09  2409.90
2015 09 01 00  1869.35  2411.64
2015 09 01 01  1876.65  2219.15
2015 09 01 02  1754.21  1896.92
2015 09 01 03  1577.91  1425.68
2015 09 01 04  1521.76   931.90
2015 09 01 05  1468.56   650.36
2015 09 01 06  1545.34   489.31
2015 09 01 07  1565.01   575.56
2015 09 01 08  1419.59   905.84
2015 09 01 09  1584.53  1375.23
2015 09 01 10  1658.49  1858.28
2015 09 01 11  1672.53  2243.37
2015 09 01 12  1900.97  2405.21
2015 09 01 13  1800.15  2409.04
2015 09 01 14  1743.34  2409.31
2015 09 01 15  1802.14  2411.03
2015 09 01 16  1850.53  2411.84
2015 09 01 17  2041.45  2412.49
2015 09 01 18  1870.70  2412.99
2015 09 01 19  1964.56  2411.72
2015 09 01 20  1945.91  2412.09
2015 09 01 21  1718.12  2412.63
2015 09 01 22  1842.54  2413.38
2015 09 01 23  1833.00  2413.35
2015 09 02 00  1814.79  2414.17
2015 09 02 01  1779.82  2398.22
2015 09 02 02  1793.11  2354.43
2015 09 02 03  1844.95  2215.99
2015 09 02 04  1728.82  1995.21
2015 09 02 05  1661.49  1794.68
2015 09 02 06  1710.33  1624.71
2015 09 02 07  1652.92  1548.27
2015 09 02 08  1661.85  1585.74
2015 09 02 09  1570.47  1741.73
2015 09 02 10  1707.57  1954.93
2015 09 02 11  1742.01  2170.13
2015 09 02 12  1707.75  2353.03
2015 09 02 13  1914.59  2414.04
2015 09 02 14  1794.64  2415.06
2015 09 02 15  1732.96  2416.01
2015 09 02 16  1774.92  2417.01
2015 09 02 17  1840.19  2417.14
2015 09 02 18  1885.98  2416.40
2015 09 02 19  1875.13  2414.85
2015 09 02 20  1883.66  2414.08
2015 09 02 21  1845.71  2413.35
2015 09 02 22  1790.01  2413.48
2015 09 02 23  1799.50  2413.67
2015 09 03 00  1854.69  2413.03
2015 09 03 01  1913.60  2136.93
2015 09 03 02  1758.28  1655.92
2015 09 03 03  1580.69  1152.63
2015 09 03 04  1570.27   649.02
2015 09 03 05  1603.11   421.31
2015 09 03 06  1561.43   398.23
2015 09 03 07  1616.85   602.55
2015 09 03 08  1740.59   865.87
2015 09 03 09  1585.92  1250.92
2015 09 03 10  1539.63  1753.66
2015 09 03 11  1809.34  2051.29
2015 09 03 12  1794.17  2259.45
2015 09 03 13  1740.64  2308.27
2015 09 03 14  1803.90  2287.78
2015 09 03 15  1813.60  2288.18
2015 09 03 16  1799.64  2320.76
2015 09 03 17  1776.32  2390.48
2015 09 03 18  1992.64  2411.39
2015 09 03 19  2076.98  2411.98
2015 09 03 20  2048.01  2410.93
2015 09 03 21  2093.48  2409.87
2015 09 03 22  2223.36  2409.47
2015 09 03 23  2158.14  2409.39
2015 09 04 00  2109.38  2388.55
2015 09 04 01  2196.23  2159.01
2015 09 04 02  2008.13  1952.30
2015 09 04 03  1896.51  1682.48
2015 09 04 04  1705.20  1295.75
2015 09 04 05  1664.61  1050.44
2015 09 04 06  1643.15   842.87
2015 09 04 07  1649.47   867.80
2015 09 04 08  1847.36  1186.66
2015 09 04 09  1914.13  1662.88
2015 09 04 10  2078.61  2078.62
2015 09 04 11  1979.68  2323.98
2015 09 04 12  2115.45  2413.23
2015 09 04 13  2096.65  2413.03
2015 09 04 14  2039.75  2411.97
2015 09 04 15  2151.11  2411.67
2015 09 04 16  2076.34  2411.33
2015 09 04 17  2187.64  2410.97
2015 09 04 18  2112.03  2409.80
2015 09 04 19  2176.01  2408.65
2015 09 04 20  2167.07  2409.02
2015 09 04 21  2101.58  2408.66
2015 09 04 22  2195.20  2409.23
2015 09 04 23  2112.93  2410.71
2015 09 05 00  2187.30  2410.63
2015 09 05 01  2125.25  2385.80
2015 09 05 02  2098.89  2154.73
2015 09 05 03  2024.37  1828.95
2015 09 05 04  1739.52  1441.74
2015 09 05 05  1785.57  1069.04
2015 09 05 06  1693.96   902.98
2015 09 05 07  1660.95   832.75
2015 09 05 08  1680.33   898.67
2015 09 05 09  1643.18  1215.12
2015 09 05 10  1809.89  1502.81
2015 09 05 11  1835.63  1742.58
2015 09 05 12  1898.40  2047.29
2015 09 05 13  1962.98  2000.20
2015 09 05 14  1870.97  1945.41
2015 09 05 15  1558.49  1902.79
2015 09 05 16  1571.43  1720.32
2015 09 05 17  1575.45  1649.90
2015 09 05 18  1383.42  1616.06
2015 09 05 19  1518.56  1639.53
2015 09 05 20  1601.19  1833.83
2015 09 05 21  1599.44  2027.50
2015 09 05 22  1587.79  2220.57
2015 09 05 23  1754.25  2173.00
2015 09 06 00  1685.94  1779.00
2015 09 06 01  1393.04  1402.34
2015 09 06 02  1399.33  1036.41
2015 09 06 03  1312.28   865.61
2015 09 06 04   986.76   865.79
2015 09 06 05   728.36   849.33
2015 09 06 06   684.27   842.47
2015 09 06 07   654.07   784.34
2015 09 06 08   361.70   706.00
2015 09 06 09   351.05   630.22
2015 09 06 10   273.41   533.97
2015 09 06 11    56.13   502.80
2015 09 06 12   131.90   494.82
2015 09 06 13   344.78   484.36
2015 09 06 14   686.41   463.07
2015 09 06 15   757.63   450.54
2015 09 06 16   993.63   453.90
2015 09 06 17  1251.89   451.62
2015 09 06 18  1297.88   451.07
2015 09 06 19  1497.98   511.59
2015 09 06 20  1727.01   601.04
2015 09 06 21  1889.15   691.79
2015 09 06 22  1751.57   790.94
2015 09 06 23  1702.10   775.78
2015 09 07 00  1675.75   670.20
2015 09 07 01  1455.30   570.51
2015 09 07 02  1284.81   476.13
2015 09 07 03  1033.12   424.23
2015 09 07 04   657.55   419.70
2015 09 07 05   272.33   424.55
2015 09 07 06   166.82   433.21
2015 09 07 07    92.95   435.45
2015 09 07 08    86.07   457.11
2015 09 07 09   316.70   478.43
2015 09 07 10   721.33   531.06
2015 09 07 11  1293.21   693.83
2015 09 07 12  1680.17   833.43
2015 09 07 13  1839.05   906.69
2015 09 07 14  1795.19   938.94
2015 09 07 15  1676.24   839.02
2015 09 07 16  1754.42   679.35
2015 09 07 17  1797.57   608.33
2015 09 07 18  1726.17   632.07
2015 09 07 19  1760.98   885.70
2015 09 07 20  1755.38  1279.68
2015 09 07 21  1985.45  1700.04
2015 09 07 22  1893.87  1893.87
2015 09 07 23  1997.50  1892.85
2015 09 08 00  2077.29  1582.56
2015 09 08 01  1773.94  1136.51
2015 09 08 02  1719.69   815.87
2015 09 08 03  1375.04   499.76
2015 09 08 04  1016.75   417.37
2015 09 08 05   801.04   439.51
2015 09 08 06   813.15   613.36
2015 09 08 07  1216.81   731.61
2015 09 08 08  1732.07   828.25
2015 09 08 09  1598.55   894.53
2015 09 08 10  1800.94   849.55
2015 09 08 11  2023.43   929.33
2015 09 08 12  1781.05  1029.45
2015 09 08 13  2007.18  1131.90
2015 09 08 14  1930.07  1378.26
2015 09 08 15  1891.61  1663.28
2015 09 08 16  1929.15  1948.17
2015 09 08 17  2005.26  2233.59
2015 09 08 18  2294.54  2342.11
2015 09 08 19  1974.58  2288.53
2015 09 08 20  1955.89  2260.34
2015 09 08 21  2096.18  2238.89
2015 09 08 22  2006.14  2224.96
2015 09 08 23  2111.84  2264.06
2015 09 09 00  1980.55  2237.43
2015 09 09 01  2175.59  2080.45
2015 09 09 02  2031.12  1793.27
2015 09 09 03  1697.62  1374.15
2015 09 09 04  1834.76   969.00
2015 09 09 05  1432.85   671.74
2015 09 09 06  1173.35   659.61
