#AAA MM DD HH    Qaflu   Qdeflu
2015 08 28 15  1685.00  1717.99
2015 08 28 16  1749.53  1722.04
2015 08 28 17  1632.17  1725.64
2015 08 28 18  1603.97  1724.93
2015 08 28 19  1682.59  1726.58
2015 08 28 20  1673.19  1722.68
2015 08 28 21  1640.16  1717.14
2015 08 28 22  1642.70  1714.19
2015 08 28 23  1681.84  1692.83
2015 08 29 00  1535.76  1612.74
2015 08 29 01  1389.90  1538.36
2015 08 29 02  1156.50  1458.93
2015 08 29 03   900.44  1285.35
2015 08 29 04   756.46  1135.86
2015 08 29 05   335.08   956.42
2015 08 29 06   324.22   841.09
2015 08 29 07   317.72   840.09
2015 08 29 08   162.98   877.80
2015 08 29 09   375.25   941.61
2015 08 29 10   620.23   944.65
2015 08 29 11   779.20   944.16
2015 08 29 12  1108.23   943.28
2015 08 29 13  1538.94   939.59
2015 08 29 14  1394.55   938.17
2015 08 29 15  1394.55   938.17
2015 08 29 16  1531.95   938.10
2015 08 29 17  1438.87   938.50
2015 08 29 18  1450.12   938.76
2015 08 29 19  1444.81   938.94
2015 08 29 20  1350.57   938.17
2015 08 29 21  1416.63   938.25
2015 08 29 22  1576.44   938.60
2015 08 29 23  1599.86   940.02
2015 08 30 00  1562.77   941.20
2015 08 30 01  1241.97   945.05
2015 08 30 02   877.31   943.29
2015 08 30 03   588.73   940.65
2015 08 30 04   228.84   938.39
2015 08 30 05   245.86   933.19
2015 08 30 06   166.92   936.73
2015 08 30 07   138.05   858.37
2015 08 30 08   249.35   722.22
2015 08 30 09   170.51   703.87
2015 08 30 10   217.62   701.50
2015 08 30 11   359.36   782.75
2015 08 30 12   729.19   921.64
2015 08 30 13  1161.91   941.97
2015 08 30 14  1381.88   941.99
2015 08 30 15  1538.47   939.12
2015 08 30 16  1567.85   941.01
2015 08 30 17  1367.38   943.98
2015 08 30 18  1429.55   945.67
2015 08 30 19  1434.85   945.47
2015 08 30 20  1327.56   942.66
2015 08 30 21  1403.65   991.25
2015 08 30 22  1476.28  1047.38
2015 08 30 23  1445.87  1137.95
2015 08 31 00  1486.25  1227.81
2015 08 31 01  1368.41  1269.43
2015 08 31 02   936.66  1305.07
2015 08 31 03   575.61  1240.94
2015 08 31 04   337.14  1150.93
2015 08 31 05   143.75  1056.52
2015 08 31 06   120.77   962.06
2015 08 31 07   232.79   936.61
2015 08 31 08   287.72   936.56
2015 08 31 09   691.68   939.11
2015 08 31 10  1295.11   943.20
2015 08 31 11  1438.10   948.72
2015 08 31 12  1543.09  1031.72
2015 08 31 13  1516.92  1110.03
2015 08 31 14  1422.59  1191.65
2015 08 31 15  1531.98  1268.05
2015 08 31 16  1611.42  1265.01
2015 08 31 17  1613.28  1266.87
2015 08 31 18  1554.90  1263.47
2015 08 31 19  1623.07  1265.65
2015 08 31 20  1652.71  1267.81
2015 08 31 21  1601.55  1271.63
2015 08 31 22  1612.94  1272.02
2015 08 31 23  1616.75  1270.33
2015 09 01 00  1600.93  1270.72
2015 09 01 01  1601.17  1270.28
2015 09 01 02  1434.35  1269.33
2015 09 01 03  1081.97  1268.92
2015 09 01 04   757.45  1269.10
2015 09 01 05   582.33  1259.62
2015 09 01 06   395.68  1259.02
2015 09 01 07   677.89  1260.74
2015 09 01 08  1159.58  1258.55
2015 09 01 09  1188.96  1265.94
2015 09 01 10  1508.25  1266.31
2015 09 01 11  1678.75  1266.36
2015 09 01 12  1420.78  1266.81
2015 09 01 13  1550.97  1265.04
2015 09 01 14  1641.90  1267.99
2015 09 01 15  1513.61  1266.18
2015 09 01 16  1541.65  1266.72
2015 09 01 17  1607.60  1266.69
2015 09 01 18  1567.95  1320.45
2015 09 01 19  1568.19  1397.73
2015 09 01 20  1634.52  1475.01
2015 09 01 21  1618.22  1557.45
2015 09 01 22  1593.97  1582.86
2015 09 01 23  1613.08  1585.36
2015 09 02 00  1620.69  1587.35
2015 09 02 01  1598.97  1582.31
2015 09 02 02  1597.95  1575.73
2015 09 02 03  1551.70  1562.82
2015 09 02 04  1496.85  1563.23
2015 09 02 05  1384.22  1566.13
2015 09 02 06  1391.33  1573.18
2015 09 02 07  1398.94  1586.00
2015 09 02 08  1483.37  1587.84
2015 09 02 09  1501.42  1589.40
2015 09 02 10  1501.98  1584.46
2015 09 02 11  1525.38  1585.87
2015 09 02 12  1504.79  1581.77
2015 09 02 13  1588.19  1577.19
2015 09 02 14  1639.25  1578.77
2015 09 02 15  1591.32  1574.83
2015 09 02 16  1599.21  1577.21
2015 09 02 17  1618.57  1580.08
2015 09 02 18  1612.75  1579.76
2015 09 02 19  1638.93  1578.45
2015 09 02 20  1604.47  1576.98
2015 09 02 21  1577.85  1577.86
2015 09 02 22  1583.39  1577.90
2015 09 02 23  1622.15  1578.16
2015 09 03 00  1638.22  1577.74
2015 09 03 01  1623.14  1573.65
2015 09 03 02  1522.72  1572.20
2015 09 03 03  1414.11  1573.57
2015 09 03 04  1304.58  1574.02
2015 09 03 05  1055.36  1577.73
2015 09 03 06   991.92  1580.27
2015 09 03 07  1155.55  1578.94
2015 09 03 08  1213.62  1543.54
2015 09 03 09  1477.24  1543.23
2015 09 03 10  1694.83  1546.37
2015 09 03 11  1578.80  1551.31
2015 09 03 12  1625.23  1586.74
2015 09 03 13  1614.43  1586.93
2015 09 03 14  1549.14  1582.13
2015 09 03 15  1531.82  1581.30
2015 09 03 16  1579.10  1584.60
2015 09 03 17  1644.32  1583.83
2015 09 03 18  1593.29  1587.79
2015 09 03 19  1655.17  1589.19
2015 09 03 20  1646.47  1585.99
2015 09 03 21  1621.06  1588.07
2015 09 03 22  1597.54  1586.54
2015 09 03 23  1622.52  1584.03
2015 09 04 00  1622.10  1583.61
2015 09 04 01  1665.95  1583.48
2015 09 04 02  1655.35  1534.38
2015 09 04 03  1529.21  1452.23
2015 09 04 04  1385.48  1451.46
2015 09 04 05  1430.36  1452.35
2015 09 04 06  1438.77  1499.26
2015 09 04 07  1414.83  1579.79
2015 09 04 08  1505.95  1582.93
2015 09 04 09  1526.28  1581.27
2015 09 04 10  1529.02  1584.01
2015 09 04 11  1651.23  1585.24
2015 09 04 12  1666.29  1583.81
2015 09 04 13  1594.16  1583.16
2015 09 04 14  1603.63  1581.64
2015 09 04 15  1648.68  1582.69
2015 09 04 16  1643.72  1583.24
2015 09 04 17  1566.67  1583.17
2015 09 04 18  1605.09  1583.09
2015 09 04 19  1602.86  1580.87
2015 09 04 20  1613.54  1580.54
2015 09 04 21  1620.37  1581.88
2015 09 04 22  1614.64  1587.15
2015 09 04 23  1600.29  1589.29
2015 09 05 00  1579.77  1590.77
2015 09 05 01  1601.42  1590.42
2015 09 05 02  1579.50  1585.00
2015 09 05 03  1472.47  1582.45
2015 09 05 04  1257.39  1581.81
2015 09 05 05  1025.10  1580.46
