#AAA MM DD HH    Qaflu   Qdeflu
2015 08 28 10  1196.00  1501.00
2015 08 28 11  1197.00  1503.00
2015 08 28 12  1197.00  1502.00
2015 08 28 13  1494.00  1494.00
2015 08 28 14  1349.00  1502.00
2015 08 28 15  1345.00  1498.00
2015 08 28 16  1502.00  1502.00
2015 08 28 17  1503.00  1503.00
2015 08 28 18  1497.00  1497.00
2015 08 28 19  1500.00  1500.00
2015 08 28 20  1491.00  1491.00
2015 08 28 21  1483.00  1483.00
2015 08 28 22  1502.00  1502.00
2015 08 28 23  1481.00  1481.00
2015 08 29 00  1410.00  1410.00
2015 08 29 01  1391.00  1391.00
2015 08 29 02  1427.00  1274.00
2015 08 29 03  1502.00  1044.00
2015 08 29 04  1475.00   863.00
2015 08 29 05  1407.00   795.00
2015 08 29 06  1482.00   870.00
2015 08 29 07  1412.00  1105.00
2015 08 29 08  1355.00  1355.00
2015 08 29 09  1441.00  1441.00
2015 08 29 10  1442.00  1442.00
2015 08 29 11  1588.00  1435.00
2015 08 29 12  1431.00  1431.00
2015 08 29 13  1371.00  1371.00
2015 08 29 14  1409.00  1409.00
2015 08 29 15  1443.00  1443.00
2015 08 29 16  1434.00  1434.00
2015 08 29 17  1406.00  1406.00
2015 08 29 18  1404.00  1250.00
2015 08 29 19  1520.00  1366.00
2015 08 29 20  1587.00  1434.00
2015 08 29 21  1498.00  1498.00
2015 08 29 22  1487.00  1487.00
2015 08 29 23  1492.00  1492.00
2015 08 30 00  1117.00  1424.00
2015 08 30 01  1049.00  1202.00
2015 08 30 02  1070.00   303.00
2015 08 30 03  1000.00   232.00
2015 08 30 04   734.00   273.00
2015 08 30 05   577.00   269.00
2015 08 30 06   579.00   271.00
2015 08 30 07   660.00    44.00
2015 08 30 08    65.00   219.00
2015 08 30 09   258.00   874.00
2015 08 30 10   654.00  1423.00
2015 08 30 11  1000.00  1461.00
2015 08 30 12  1150.00  1457.00
2015 08 30 13  1142.00  1449.00
2015 08 30 14  1146.00  1453.00
2015 08 30 15  1135.00  1442.00
2015 08 30 16  1054.00  1361.00
2015 08 30 17  1194.00  1347.00
2015 08 30 18  1119.00  1273.00
2015 08 30 19  1231.00  1384.00
2015 08 30 20  1270.00  1423.00
2015 08 30 21  1219.00  1372.00
2015 08 30 22  1166.00  1472.00
2015 08 30 23  1171.00  1477.00
2015 08 31 00  1159.00  1465.00
2015 08 31 01  1163.00  1163.00
2015 08 31 02   903.00   444.00
2015 08 31 03  1020.00   408.00
2015 08 31 04  1035.00   116.00
2015 08 31 05   855.00   395.00
2015 08 31 06  1070.00  1070.00
2015 08 31 07  1161.00  1468.00
2015 08 31 08  1353.00  1506.00
2015 08 31 09  1493.00  1493.00
2015 08 31 10  1349.00  1502.00
2015 08 31 11  1505.00  1505.00
2015 08 31 12  1498.00  1498.00
2015 08 31 13  1333.00  1486.00
2015 08 31 14  1495.00  1495.00
2015 08 31 15  1345.00  1498.00
2015 08 31 16  1490.00  1490.00
2015 08 31 17  1492.00  1492.00
2015 08 31 18  1494.00  1494.00
2015 08 31 19  1498.00  1498.00
2015 08 31 20  1492.00  1492.00
2015 08 31 21  1493.00  1493.00
2015 08 31 22  1488.00  1488.00
2015 08 31 23  1487.00  1487.00
2015 09 01 00  1489.00  1489.00
2015 09 01 01  1408.00  1408.00
2015 09 01 02  1453.00  1300.00
2015 09 01 03  1438.00  1285.00
2015 09 01 04  1458.00  1304.00
2015 09 01 05  1415.00  1415.00
2015 09 01 06  1367.00  1367.00
2015 09 01 07  1394.00  1394.00
2015 09 01 08  1427.00  1427.00
2015 09 01 09  1467.00  1467.00
2015 09 01 10  1340.00  1493.00
2015 09 01 11  1487.00  1487.00
2015 09 01 12  1326.00  1480.00
2015 09 01 13  1327.00  1480.00
2015 09 01 14  1490.00  1490.00
2015 09 01 15  1486.00  1486.00
2015 09 01 16  1330.00  1483.00
2015 09 01 17  1480.00  1480.00
2015 09 01 18  1481.00  1481.00
2015 09 01 19  1555.00  1555.00
2015 09 01 20  1386.00  1539.00
2015 09 01 21  1485.00  1485.00
2015 09 01 22  1486.00  1486.00
2015 09 01 23  1331.00  1485.00
2015 09 02 00  1486.00  1486.00
2015 09 02 01  1484.00  1484.00
2015 09 02 02  1485.00  1485.00
2015 09 02 03  1487.00  1487.00
2015 09 02 04  1482.00  1482.00
2015 09 02 05  1333.00  1486.00
2015 09 02 06  1492.00  1492.00
2015 09 02 07  1489.00  1489.00
2015 09 02 08  1490.00  1490.00
2015 09 02 09  1488.00  1488.00
2015 09 02 10  1474.00  1474.00
2015 09 02 11  1339.00  1492.00
2015 09 02 12  1481.00  1481.00
2015 09 02 13  1325.00  1478.00
2015 09 02 14  1490.00  1490.00
