#AAA MM DD HH    Qaflu   Qdeflu
2015 08 29 04   127.07   145.30
2015 08 29 05   125.98   145.28
2015 08 29 06   122.76   145.28
2015 08 29 07   119.59   145.32
2015 08 29 08   118.59   145.40
2015 08 29 09   119.10   138.40
2015 08 29 10   121.45   128.96
2015 08 29 11   115.18   119.47
2015 08 29 12   112.10   109.95
2015 08 29 13   107.46   107.46
2015 08 29 14   104.19   107.41
2015 08 29 15   110.64   107.43
2015 08 29 16   106.48   107.56
2015 08 29 17   107.66   107.66
2015 08 29 18   103.42   107.70
2015 08 29 19    96.65   109.51
2015 08 29 20   103.60   119.68
2015 08 29 21    99.88   129.91
2015 08 29 22    93.01   140.19
2015 08 29 23   101.50   148.68
2015 08 30 00    94.02   148.70
2015 08 30 01    95.12   148.73
2015 08 30 02    98.30   148.70
2015 08 30 03    91.90   139.08
2015 08 30 04    97.25   126.20
2015 08 30 05    89.64   113.23
2015 08 30 06    91.80   100.38
2015 08 30 07    90.62    97.05
2015 08 30 08    86.32    97.04
2015 08 30 09    91.77    97.14
2015 08 30 10    91.83    97.19
2015 08 30 11    87.72    97.37
2015 08 30 12    86.68    97.41
2015 08 30 13    81.29    97.38
2015 08 30 14    81.27    97.36
2015 08 30 15    82.25    97.26
2015 08 30 16    83.28    97.22
2015 08 30 17    83.13    97.07
2015 08 30 18    84.05    96.92
2015 08 30 19    81.00   107.80
2015 08 30 20    83.20   120.73
2015 08 30 21    78.95   133.63
2015 08 30 22    79.01   146.56
2015 08 30 23    77.68   148.45
2015 08 31 00    77.52   148.29
2015 08 31 01    78.63   148.32
2015 08 31 02    74.74   141.22
2015 08 31 03    80.07   128.32
2015 08 31 04    73.76   109.15
2015 08 31 05    63.57    85.01
2015 08 31 06    72.42    72.42
2015 08 31 07    74.96    67.45
2015 08 31 08    70.95    68.80
2015 08 31 09    89.82    90.90
2015 08 31 10    77.37   110.61
2015 08 31 11    72.79   128.55
2015 08 31 12    74.60   146.45
2015 08 31 13    69.18   148.52
2015 08 31 14    72.69   148.82
2015 08 31 15    72.71   148.84
2015 08 31 16    72.79   148.92
2015 08 31 17    79.37   149.06
2015 08 31 18    72.82   148.95
2015 08 31 19    71.94   149.14
2015 08 31 20    72.05   149.25
2015 08 31 21    65.77   149.41
2015 08 31 22    70.14   149.48
2015 08 31 23    72.32   149.52
2015 09 01 00    71.35   149.62
2015 09 01 01    72.16   149.36
2015 09 01 02    69.66   147.94
2015 09 01 03    70.35   146.48
2015 09 01 04    69.97   145.02
2015 09 01 05    69.86   143.85
2015 09 01 06    69.98   143.96
2015 09 01 07    68.98   144.03
2015 09 01 08    74.47   144.16
2015 09 01 09    72.35   144.19
2015 09 01 10    74.52   144.21
2015 09 01 11    70.21   144.19
2015 09 01 12    64.78   144.13
2015 09 01 13    65.85   144.12
2015 09 01 14    62.66   144.15
2015 09 01 15    70.21   144.19
2015 09 01 16    64.92   144.26
2015 09 01 17    68.20   144.33
2015 09 01 18    69.29   144.34
2015 09 01 19    66.29   144.55
2015 09 01 20    70.67   144.65
2015 09 01 21    63.40   144.89
2015 09 01 22    66.29   145.64
2015 09 01 23    64.90   146.39
2015 09 02 00    67.92   147.26
2015 09 02 01    67.66   148.08
2015 09 02 02    68.88   148.22
2015 09 02 03    65.67   148.23
2015 09 02 04    63.46   148.17
2015 09 02 05    67.65   148.07
2015 09 02 06    59.17   148.16
2015 09 02 07    67.83   148.25
2015 09 02 08    60.48   148.40
2015 09 02 09    63.83   148.54
2015 09 02 10    69.12   148.47
2015 09 02 11    62.75   148.53
2015 09 02 12    69.15   148.49
2015 09 02 13    59.44   148.44
2015 09 02 14    59.57   148.56
2015 09 02 15    54.10   148.46
2015 09 02 16    60.50   148.43
2015 09 02 17    60.44   148.37
2015 09 02 18    60.30   148.22
2015 09 02 19    61.28   148.13
2015 09 02 20    58.06   148.13
2015 09 02 21    59.18   148.17
2015 09 02 22    57.26   148.40
2015 09 02 23    62.67   148.45
2015 09 03 00    57.31   148.44
2015 09 03 01    62.59   148.37
2015 09 03 02    61.32   148.17
2015 09 03 03    62.46   148.24
2015 09 03 04    62.49   148.27
2015 09 03 05    58.31   148.38
2015 09 03 06    63.98   148.68
2015 09 03 07    60.25   149.25
2015 09 03 08    65.82   149.45
2015 09 03 09    63.43   149.21
2015 09 03 10    56.51   148.72
2015 09 03 11    59.91   147.83
2015 09 03 12    56.09   147.23
2015 09 03 13    63.33   146.96
2015 09 03 14    64.16   146.73
2015 09 03 15    59.58   146.43
2015 09 03 16    57.21   146.20
2015 09 03 17    52.77   146.06
2015 09 03 18    56.97   145.97
2015 09 03 19    55.96   146.02
2015 09 03 20    62.44   146.08
2015 09 03 21    58.25   146.18
2015 09 03 22    59.38   146.23
2015 09 03 23    57.32   146.31
2015 09 04 00    58.43   146.36
2015 09 04 01    58.45   146.37
2015 09 04 02    55.25   146.39
2015 09 04 03    62.69   146.32
2015 09 04 04    56.27   146.34
2015 09 04 05    61.61   146.32
2015 09 04 06    59.53   146.38
2015 09 04 07    57.49   146.49
2015 09 04 08    58.68   146.60
2015 09 04 09    57.77   146.77
2015 09 04 10    62.09   146.80
2015 09 04 11    58.81   146.74
2015 09 04 12    59.85   146.70
2015 09 04 13    57.61   146.60
2015 09 04 14    54.37   146.58
2015 09 04 15    56.59   146.66
2015 09 04 16    54.49   146.70
2015 09 04 17    55.64   146.78
2015 09 04 18    58.93   146.86
2015 09 04 19    56.81   146.88
2015 09 04 20    61.17   146.95
2015 09 04 21    57.03   147.10
2015 09 04 22    59.48   147.40
2015 09 04 23    60.63   147.48
2015 09 05 00    57.48   147.54
2015 09 05 01    62.76   147.46
2015 09 05 02    58.22   147.22
2015 09 05 03    58.24   147.23
2015 09 05 04    59.28   147.21
2015 09 05 05    58.23   147.23
2015 09 05 06    60.38   147.23
2015 09 05 07    59.33   147.25
2015 09 05 08    61.59   147.37
2015 09 05 09    63.75   147.39
2015 09 05 10    62.76   147.46
2015 09 05 11    60.65   147.51
2015 09 05 12    57.38   147.45
2015 09 05 13    53.15   147.51
2015 09 05 14    54.25   147.53
2015 09 05 15    55.36   147.57
2015 09 05 16    57.57   147.64
2015 09 05 17    58.68   147.68
2015 09 05 18    58.84   147.83
2015 09 05 19    58.97   147.96
2015 09 05 20    55.81   148.03
2015 09 05 21    56.99   148.13
2015 09 05 22    55.90   148.11
2015 09 05 23    52.68   148.11
2015 09 06 00    55.94   148.15
2015 09 06 01    51.69   148.19
2015 09 06 02    52.79   148.22
2015 09 06 03    57.09   148.23
2015 09 06 04    52.86   148.29
2015 09 06 05    57.21   148.35
2015 09 06 06    51.93   148.44
2015 09 06 07    52.05   148.55
2015 09 06 08    54.28   148.63
2015 09 06 09    53.27   148.70
2015 09 06 10    57.61   148.75
2015 09 06 11    54.45   148.81
2015 09 06 12    57.65   148.79
2015 09 06 13    52.29   148.79
2015 09 06 14    49.07   148.79
2015 09 06 15    53.36   148.79
2015 09 06 16    44.91   148.92
2015 09 06 17    49.29   149.01
2015 09 06 18    50.47   149.11
2015 09 06 19    47.35   149.21
2015 09 06 20    51.62   149.19
2015 09 06 21    48.41   149.20
2015 09 06 22    48.40   149.19
2015 09 06 23    48.38   149.17
2015 09 07 00    49.53   149.24
2015 09 07 01    49.57   149.29
2015 09 07 02    49.61   149.33
2015 09 07 03    51.80   149.37
2015 09 07 04    45.38   149.38
2015 09 07 05    47.64   149.50
2015 09 07 06    48.76   149.55
2015 09 07 07    46.64   149.58
2015 09 07 08    53.21   149.72
2015 09 07 09    51.11   149.76
2015 09 07 10    52.29   149.86
2015 09 07 11    51.26   149.91
2015 09 07 12    49.03   149.83
2015 09 07 13    45.74   149.75
2015 09 07 14    43.62   149.77
2015 09 07 15    43.69   149.84
2015 09 07 16    40.61   149.98
2015 09 07 17    43.97   150.12
2015 09 07 18    46.24   150.25
2015 09 07 19    38.83   150.35
2015 09 07 20    51.47   150.12
2015 09 07 21    58.80   149.94
2015 09 07 22    45.96   149.97
2015 09 07 23    43.87   150.02
2015 09 08 00    67.79   150.35
2015 09 08 01    48.80   150.66
2015 09 08 02    62.78   150.71
2015 09 08 03    74.60   150.72
2015 09 08 04    30.69   150.78
2015 09 08 05    54.46   150.96
2015 09 08 06    43.94   151.16
2015 09 08 07    52.60   151.25
2015 09 08 08    77.32   151.30
2015 09 08 09    67.57   151.21
2015 09 08 10    78.19   151.11
2015 09 08 11    65.44   151.22
2015 09 08 12    65.48   151.26
2015 09 08 13    72.13   149.34
2015 09 08 14    75.96   145.66
2015 09 08 15    81.21   142.33
2015 09 08 16    74.72   139.06
2015 09 08 17    77.70   137.74
2015 09 08 18    74.93   138.19
2015 09 08 19    77.08   138.20
2015 09 08 20    79.25   138.22
2015 09 08 21    79.26   138.23
2015 09 08 22    83.56   138.25
2015 09 08 23    86.80   138.27
2015 09 09 00    90.04   138.29
2015 09 09 01    88.98   138.30
2015 09 09 02    87.92   138.32
2015 09 09 03    93.35   140.53
2015 09 09 04    91.26   142.73
2015 09 09 05    94.54   144.93
2015 09 09 06    99.97   147.15
2015 09 09 07    99.46   147.18
2015 09 09 08   105.38   147.21
2015 09 09 09   111.03   135.70
2015 09 09 10   112.90   124.17
2015 09 09 11   114.37   112.58
2015 09 09 12   114.39   100.97
2015 09 09 13   110.73   100.89
2015 09 09 14   113.17   100.83
2015 09 09 15   118.86   100.81
2015 09 09 16   115.27   100.79
2015 09 09 17   101.68   100.79
2015 09 09 18   117.94   100.78
2015 09 09 19   114.71   100.78
2015 09 09 20   116.87   100.79
2015 09 09 21   133.54   108.88
2015 09 09 22   115.40   117.54
2015 09 09 23   114.41   126.20
2015 09 10 00   119.08   136.23
2015 09 10 01   114.42   139.98
2015 09 10 02   117.61   143.17
2015 09 10 03   120.80   146.36
2015 09 10 04   119.58   148.20
2015 09 10 05   126.74   148.21
2015 09 10 06   126.75   148.21
2015 09 10 07   125.87   148.23
2015 09 10 08   128.67   144.77
2015 09 10 09   123.98   132.93
2015 09 10 10   117.50   121.08
2015 09 10 11   116.38   109.22
2015 09 10 12   109.78   100.83
2015 09 10 13   103.51   100.83
2015 09 10 14   106.20   100.83
2015 09 10 15   107.09   100.83
2015 09 10 16   102.61   100.83
2015 09 10 17   116.03   100.82
2015 09 10 18   107.13   100.87
2015 09 10 19    97.43   101.01
2015 09 10 20    94.02   108.33
2015 09 10 21    95.86   120.90
2015 09 10 22    93.85   133.21
2015 09 10 23    96.90   145.20
2015 09 11 00   106.07   149.90
2015 09 11 01    95.78   149.44
2015 09 11 02    93.90   149.36
2015 09 11 03    96.87   149.64
2015 09 11 04    97.41   150.18
2015 09 11 05    88.99   150.71
2015 09 11 06    99.21   151.09
2015 09 11 07   101.24   151.33
2015 09 11 08    89.71   151.43
2015 09 11 09    90.66   151.48
2015 09 11 10    92.52   151.56
2015 09 11 11    85.53   151.72
2015 09 11 12    84.84   151.92
2015 09 11 13    86.82   152.12
2015 09 11 14    91.46   152.29
2015 09 11 15    82.60   152.37
2015 09 11 16    85.33   152.42
2015 09 11 17   101.47   152.46
2015 09 11 18    80.04   152.50
2015 09 11 19    84.54   152.52
2015 09 11 20    83.64   152.52
2015 09 11 21    71.11   152.50
2015 09 11 22    80.92   152.48
2015 09 11 23    80.02   152.47
2015 09 12 00    85.37   152.46
2015 09 12 01    82.70   152.47
2015 09 12 02    79.15   152.50
2015 09 12 03    82.77   152.54
2015 09 12 04    81.93   152.60
2015 09 12 05    78.41   152.65
2015 09 12 06    82.92   152.69
2015 09 12 07    83.84   152.72
2015 09 12 08    87.45   152.75
2015 09 12 09    89.27   152.78
2015 09 12 10    87.53   152.83
2015 09 12 11    82.21   152.88
2015 09 12 12    73.32   152.93
2015 09 12 13    74.27   152.98
2015 09 12 14    73.43   153.04
2015 09 12 15    76.18   153.10
2015 09 12 16    82.50   153.16
2015 09 12 17    75.40   153.22
2015 09 12 18    72.78   153.28
2015 09 12 19    74.63   153.35
2015 09 12 20    73.79   153.40
2015 09 12 21    77.43   153.46
2015 09 12 22    77.49   153.52
2015 09 12 23    77.55   153.58
2015 09 13 00    75.82   153.64
2015 09 13 01    77.66   153.69
2015 09 13 02    79.51   153.76
2015 09 13 03    77.77   153.80
2015 09 13 04    76.05   153.87
2015 09 13 05    72.94   146.29
2015 09 13 06    71.83   133.55
2015 09 13 07    74.39   107.49
2015 09 13 08    76.20    70.83
2015 09 13 09    79.38    41.81
2015 09 13 10    78.76    17.93
2015 09 13 11    68.19     7.37
2015 09 13 12    59.36    24.47
2015 09 13 13    53.45    44.50
2015 09 13 14    52.91    64.54
2015 09 13 15    57.77    84.60
2015 09 13 16    58.98    87.60
2015 09 13 17    56.09    90.97
2015 09 13 18    59.48   107.78
2015 09 13 19    58.38   124.58
2015 09 13 20    57.24   141.33
2015 09 13 21    60.84   154.76
2015 09 13 22    58.94   154.65
2015 09 13 23    63.21   154.45
2015 09 14 00    66.53   154.19
2015 09 14 01    68.71   152.79
2015 09 14 02    69.99   151.39
2015 09 14 03    69.49   150.00
2015 09 14 04    64.99   118.66
2015 09 14 05    63.56    83.23
2015 09 14 06    62.22    47.91
2015 09 14 07    58.89    26.69
2015 09 14 08    72.01    40.70
