#AAA MM DD HH    Qaflu   Qdeflu
2015 08 29 04   170.85   171.55
2015 08 29 05   170.75   171.69
2015 08 29 06   170.63   171.80
2015 08 29 07   170.10   171.74
2015 08 29 08   169.77   171.64
2015 08 29 09   162.85   170.57
2015 08 29 10   151.59   167.27
2015 08 29 11   140.20   161.96
2015 08 29 12   129.09   155.29
2015 08 29 13   124.44   148.54
2015 08 29 14   124.98   143.47
2015 08 29 15   124.86   140.06
2015 08 29 16   124.77   137.62
2015 08 29 17   124.76   135.92
2015 08 29 18   123.76   134.65
2015 08 29 19   125.18   133.71
2015 08 29 20   136.25   133.23
2015 08 29 21   148.32   133.65
2015 08 29 22   160.63   135.47
2015 08 29 23   171.05   138.89
2015 08 30 00   171.78   143.70
2015 08 30 01   172.11   149.18
2015 08 30 02   170.96   154.35
2015 08 30 03   161.96   157.51
2015 08 30 04   147.20   157.26
2015 08 30 05   132.13   153.65
2015 08 30 06   118.24   147.96
2015 08 30 07   112.68   142.15
2015 08 30 08   112.17   138.04
2015 08 30 09   111.77   135.90
2015 08 30 10   111.59   134.93
2015 08 30 11   111.56   134.58
2015 08 30 12   111.59   134.37
2015 08 30 13   116.69   133.95
2015 08 30 14   121.86   133.37
2015 08 30 15   126.94   132.70
2015 08 30 16   132.30   132.07
2015 08 30 17   132.50   131.58
2015 08 30 18   132.55   131.17
2015 08 30 19   139.37   130.85
2015 08 30 20   147.53   130.73
2015 08 30 21   155.67   130.82
2015 08 30 22   164.19   131.20
2015 08 30 23   165.37   132.50
2015 08 31 00   165.61   134.93
2015 08 31 01   165.67   138.59
2015 08 31 02   161.53   142.81
2015 08 31 03   153.46   145.97
2015 08 31 04   137.18   146.53
2015 08 31 05   113.41   143.94
2015 08 31 06   100.02   140.22
2015 08 31 07    94.93   136.68
2015 08 31 08    97.75   134.49
2015 08 31 09   118.16   134.04
2015 08 31 10   134.03   133.80
2015 08 31 11   146.22   133.56
2015 08 31 12   158.36   133.51
2015 08 31 13   160.76   133.77
2015 08 31 14   161.44   134.80
2015 08 31 15   161.83   136.72
2015 08 31 16   162.15   139.50
2015 08 31 17   162.30   142.88
2015 08 31 18   162.26   146.35
2015 08 31 19   161.95   149.55
2015 08 31 20   162.01   152.18
2015 08 31 21   161.83   154.35
2015 08 31 22   161.90   156.05
2015 08 31 23   161.73   157.29
2015 09 01 00   161.69   158.18
2015 09 01 01   161.65   158.85
2015 09 01 02   163.65   159.68
2015 09 01 03   165.75   161.08
2015 09 01 04   167.61   162.93
2015 09 01 05   169.72   165.04
2015 09 01 06   169.54   166.97
2015 09 01 07   169.72   168.32
2015 09 01 08   169.69   168.99
2015 09 01 09   169.47   169.24
2015 09 01 10   169.21   169.21
2015 09 01 11   169.20   168.97
2015 09 01 12   169.87   168.93
2015 09 01 13   170.30   169.13
2015 09 01 14   170.71   169.31
2015 09 01 15   171.23   169.59
2015 09 01 16   171.04   169.87
2015 09 01 17   170.93   169.99
2015 09 01 18   171.29   170.12
2015 09 01 19   170.98   170.28
2015 09 01 20   170.82   170.35
2015 09 01 21   170.89   170.42
2015 09 01 22   169.65   170.35
2015 09 01 23   167.44   169.78
2015 09 02 00   165.19   168.69
2015 09 02 01   162.79   167.23
2015 09 02 02   161.16   165.61
2015 09 02 03   160.65   164.16
2015 09 02 04   160.26   163.07
2015 09 02 05   160.25   162.36
2015 09 02 06   159.75   161.85
2015 09 02 07   160.63   161.57
2015 09 02 08   160.77   161.47
2015 09 02 09   160.64   161.34
2015 09 02 10   161.29   161.29
2015 09 02 11   160.77   161.23
2015 09 02 12   160.91   161.14
2015 09 02 13   161.12   161.12
2015 09 02 14   161.11   161.11
2015 09 02 15   161.12   161.12
2015 09 02 16   161.42   161.18
2015 09 02 17   161.74   161.28
2015 09 02 18   161.85   161.39
2015 09 02 19   161.95   161.49
2015 09 02 20   161.52   161.52
2015 09 02 21   160.97   161.44
2015 09 02 22   161.37   161.37
2015 09 02 23   162.15   161.45
2015 09 03 00   162.86   161.69
2015 09 03 01   163.72   162.08
2015 09 03 02   163.98   162.57
2015 09 03 03   164.00   163.06
2015 09 03 04   164.25   163.55
2015 09 03 05   164.84   164.14
2015 09 03 06   165.03   164.79
2015 09 03 07   164.99   165.23
2015 09 03 08   164.68   165.38
2015 09 03 09   163.51   165.15
2015 09 03 10   164.55   164.79
2015 09 03 11   162.23   164.33
2015 09 03 12   164.25   164.01
2015 09 03 13   165.67   164.26
2015 09 03 14   164.51   164.51
2015 09 03 15   167.21   164.87
2015 09 03 16   165.78   165.32
2015 09 03 17   165.33   165.33
