datahora,chuva_mm,etp_mm,q_m3s
2019-07-30 18:00:00+00:00,0.492,1.039,
2019-07-31 00:00:00+00:00,0.000,0.101,
2019-07-31 06:00:00+00:00,0.000,0.060,
2019-07-31 12:00:00+00:00,0.000,0.849,
2019-07-31 18:00:00+00:00,0.372,1.554,
2019-08-01 00:00:00+00:00,0.000,0.095,
2019-08-01 06:00:00+00:00,0.000,0.049,
2019-08-01 12:00:00+00:00,0.000,0.762,
2019-08-01 18:00:00+00:00,0.000,1.499,
2019-08-02 00:00:00+00:00,0.000,0.055,
2019-08-02 06:00:00+00:00,0.000,0.029,
2019-08-02 12:00:00+00:00,0.120,0.743,
2019-08-02 18:00:00+00:00,0.436,1.623,
2019-08-03 00:00:00+00:00,0.008,0.089,
2019-08-03 06:00:00+00:00,0.000,0.051,
2019-08-03 12:00:00+00:00,0.000,0.890,
2019-08-03 18:00:00+00:00,0.000,1.713,
2019-08-04 00:00:00+00:00,0.000,0.099,
2019-08-04 06:00:00+00:00,0.000,0.051,
2019-08-04 12:00:00+00:00,0.008,0.966,
2019-08-04 18:00:00+00:00,0.000,1.868,
2019-08-05 00:00:00+00:00,0.000,0.123,
2019-08-05 06:00:00+00:00,0.000,0.106,
2019-08-05 12:00:00+00:00,0.000,1.035,
2019-08-05 18:00:00+00:00,0.000,1.761,
2019-08-06 00:00:00+00:00,0.000,0.097,
2019-08-06 06:00:00+00:00,0.000,0.037,
2019-08-06 12:00:00+00:00,0.000,0.885,
2019-08-06 18:00:00+00:00,0.000,1.922,
2019-08-07 00:00:00+00:00,0.000,0.078,
2019-08-07 06:00:00+00:00,0.000,0.043,
2019-08-07 12:00:00+00:00,0.000,0.854,
2019-08-07 18:00:00+00:00,0.000,1.948,
2019-08-08 00:00:00+00:00,0.000,0.099,
2019-08-08 06:00:00+00:00,0.000,0.055,
2019-08-08 12:00:00+00:00,0.000,1.063,
2019-08-08 18:00:00+00:00,0.172,1.913,
2019-08-09 00:00:00+00:00,0.000,0.143,
2019-08-09 06:00:00+00:00,0.000,0.095,
2019-08-09 12:00:00+00:00,0.000,0.969,
2019-08-09 18:00:00+00:00,0.000,1.779,
2019-08-10 00:00:00+00:00,0.000,0.123,
2019-08-10 06:00:00+00:00,0.000,0.045,
