parNome,parLOG,parMACS,parNSE
UZTWM,19.0003,12.1675,29.5493
UZFWM,25.3790,31.2171,69.1786
LZTWM,128.109,94.2696,75.7529
LZFPM,392.808,600.087,650.650
LZFSM,116.188,168.343,32.8164
ADIMP,0.0484125,0.106744,0.174673
UZK,0.205932,0.330931,0.277790
LZPK,0.0117677,0.00913745,0.00286482
LZSK,0.214145,0.124144,0.0972360
ZPERC,42.1198,22.3557,63.5039
REXP,2.54901,2.81491,3.57202
PCTIM,0.0964368,0.098193,0.0789027
PFREE,0.490434,0.249810,0.198555
K,1.75712,2.50396,2.86973
N,4.01648,3.00822,4.78636
