parNome,parLOG,parMACS,parNSE
UZTWM,73.2146,63.0015,136.634
UZFWM,19.8161,50.0563,65.1371
LZTWM,225.315,180.794,217.086
LZFPM,383.218,413.581,154.960
LZFSM,222.105,232.380,21.5010
ADIMP,0.198605,0.125978,0.0904904
UZK,0.364011,0.230632,0.310543
LZPK,0.0188710,0.00680693,0.0162886
LZSK,0.0942998,0.0979698,0.160180
ZPERC,192.654,6.24082,230.031
REXP,3.99912,3.86324,3.82671
PCTIM,0.0701812,0.0739507,0.0852406
PFREE,0.536562,0.448656,0.551517
K,1.21961,1.62150,1.09853
N,4.71797,2.75961,3.35950
