parNome,parLOG,parMACS,parNSE
UZTWM,47.2529,60.8986,16.2004
UZFWM,47.4184,57.4032,72.1797
LZTWM,213.270,252.654,107.820
LZFPM,315.539,336.091,63.3034
LZFSM,23.2873,173.863,93.2591
ADIMP,0.0236507,0.0527285,0.190748
UZK,0.228599,0.294648,0.315922
LZPK,0.0172158,0.00506864,0.00381559
LZSK,0.0938249,0.0606253,0.0436853
ZPERC,10.8646,8.33885,88.3124
REXP,3.37617,3.04998,2.71238
PCTIM,0.0730966,0.0716671,0.00697340
PFREE,0.584466,0.542941,0.313305
K,2.19411,2.33415,2.83209
N,4.62186,4.49586,4.66136
