,valor
parLZTWM,76.77380271605239
parLZFPM,254.73513427931857
parLZFSM,219.51689149331887
parLZPK,0.009151031157730964
parLZSK,0.1390907913334105
parPCTIM,0.08830468857729137
parPFREE,0.45299859659644
parK,2.9195622564904298
parN,2.6401192927438464
