parNome,parLOG,parMACS,parNSE
UZTWM,40.3965,36.0375,22.2261
UZFWM,40.1999,69.3297,43.2497
LZTWM,130.583,95.0269,129.143
LZFPM,557.548,811.319,298.282
LZFSM,77.9651,116.431,270.271
ADIMP,0.167524,0.199443,0.106176
UZK,0.250844,0.295680,0.343130
LZPK,0.00928834,0.0101840,0.00911126
LZSK,0.169773,0.240958,0.102595
ZPERC,28.9667,5.19260,163.075
REXP,2.11059,1.27398,3.03069
PCTIM,0.080228,0.0761150,0.0782707
PFREE,0.465406,0.499005,0.452308
K,2.85049,2.58982,2.38960
N,3.55675,4.03782,4.18670
