#AAA MM DD HH    Qaflu   Qdeflu
2015 01 21 19   170.85   171.55
2015 01 21 20   170.75   171.69
2015 01 21 21   170.63   171.80
2015 01 21 22   170.10   171.74
2015 01 21 23   169.77   171.64
2015 01 22 00   162.85   170.57
2015 01 22 01   151.59   167.27
2015 01 22 02   140.20   161.96
2015 01 22 03   129.09   155.29
2015 01 22 04   124.44   148.54
2015 01 22 05   124.98   143.47
2015 01 22 06   124.86   140.06
2015 01 22 07   124.77   137.62
2015 01 22 08   124.76   135.92
2015 01 22 09   123.76   134.65
2015 01 22 10   125.18   133.71
2015 01 22 11   136.25   133.23
2015 01 22 12   148.32   133.65
2015 01 22 13   160.63   135.47
2015 01 22 14   171.05   138.89
2015 01 22 15   171.78   143.70
2015 01 22 16   172.11   149.18
2015 01 22 17   170.96   154.35
2015 01 22 18   161.96   157.51
2015 01 22 19   147.20   157.26
2015 01 22 20   132.13   153.65
2015 01 22 21   118.24   147.96
2015 01 22 22   112.68   142.15
2015 01 22 23   112.17   138.04
2015 01 23 00   111.77   135.90
2015 01 23 01   111.59   134.93
2015 01 23 02   111.56   134.58
2015 01 23 03   111.59   134.37
2015 01 23 04   116.69   133.95
2015 01 23 05   121.86   133.37
2015 01 23 06   126.94   132.70
2015 01 23 07   132.30   132.07
2015 01 23 08   132.50   131.58
2015 01 23 09   132.55   131.17
2015 01 23 10   139.37   130.85
2015 01 23 11   147.53   130.73
2015 01 23 12   155.67   130.82
2015 01 23 13   164.19   131.20
2015 01 23 14   165.37   132.50
2015 01 23 15   165.61   134.93
2015 01 23 16   165.67   138.59
2015 01 23 17   161.53   142.81
2015 01 23 18   153.46   145.97
2015 01 23 19   137.18   146.53
2015 01 23 20   113.41   143.94
2015 01 23 21   100.02   140.22
2015 01 23 22    94.93   136.68
2015 01 23 23    97.75   134.49
2015 01 24 00   118.16   134.04
2015 01 24 01   134.03   133.80
2015 01 24 02   146.22   133.56
2015 01 24 03   158.36   133.51
2015 01 24 04   160.76   133.77
2015 01 24 05   161.44   134.80
2015 01 24 06   161.83   136.72
2015 01 24 07   162.15   139.50
2015 01 24 08   162.30   142.88
2015 01 24 09   162.26   146.35
2015 01 24 10   161.95   149.55
2015 01 24 11   162.01   152.18
2015 01 24 12   161.83   154.35
2015 01 24 13   161.90   156.05
2015 01 24 14   161.73   157.29
