#AAA MM DD HH    Qaflu   Qdeflu
2015 01 22 13   127.07   145.30
2015 01 22 14   125.98   145.28
2015 01 22 15   122.76   145.28
2015 01 22 16   119.59   145.32
2015 01 22 17   118.59   145.40
2015 01 22 18   119.10   138.40
2015 01 22 19   121.45   128.96
2015 01 22 20   115.18   119.47
2015 01 22 21   112.10   109.95
2015 01 22 22   107.46   107.46
2015 01 22 23   104.19   107.41
2015 01 23 00   110.64   107.43
2015 01 23 01   106.48   107.56
2015 01 23 02   107.66   107.66
2015 01 23 03   103.42   107.70
2015 01 23 04    96.65   109.51
2015 01 23 05   103.60   119.68
2015 01 23 06    99.88   129.91
2015 01 23 07    93.01   140.19
2015 01 23 08   101.50   148.68
2015 01 23 09    94.02   148.70
2015 01 23 10    95.12   148.73
2015 01 23 11    98.30   148.70
2015 01 23 12    91.90   139.08
2015 01 23 13    97.25   126.20
2015 01 23 14    89.64   113.23
2015 01 23 15    91.80   100.38
2015 01 23 16    90.62    97.05
2015 01 23 17    86.32    97.04
2015 01 23 18    91.77    97.14
2015 01 23 19    91.83    97.19
2015 01 23 20    87.72    97.37
2015 01 23 21    86.68    97.41
2015 01 23 22    81.29    97.38
2015 01 23 23    81.27    97.36
2015 01 24 00    82.25    97.26
2015 01 24 01    83.28    97.22
2015 01 24 02    83.13    97.07
2015 01 24 03    84.05    96.92
2015 01 24 04    81.00   107.80
2015 01 24 05    83.20   120.73
2015 01 24 06    78.95   133.63
2015 01 24 07    79.01   146.56
2015 01 24 08    77.68   148.45
2015 01 24 09    77.52   148.29
2015 01 24 10    78.63   148.32
2015 01 24 11    74.74   141.22
2015 01 24 12    80.07   128.32
2015 01 24 13    73.76   109.15
2015 01 24 14    63.57    85.01
2015 01 24 15    72.42    72.42
2015 01 24 16    74.96    67.45
2015 01 24 17    70.95    68.80
2015 01 24 18    89.82    90.90
2015 01 24 19    77.37   110.61
2015 01 24 20    72.79   128.55
2015 01 24 21    74.60   146.45
2015 01 24 22    69.18   148.52
2015 01 24 23    72.69   148.82
2015 01 25 00    72.71   148.84
2015 01 25 01    72.79   148.92
2015 01 25 02    79.37   149.06
2015 01 25 03    72.82   148.95
2015 01 25 04    71.94   149.14
2015 01 25 05    72.05   149.25
2015 01 25 06    65.77   149.41
2015 01 25 07    70.14   149.48
2015 01 25 08    72.32   149.52
2015 01 25 09    71.35   149.62
2015 01 25 10    72.16   149.36
2015 01 25 11    69.66   147.94
2015 01 25 12    70.35   146.48
2015 01 25 13    69.97   145.02
2015 01 25 14    69.86   143.85
2015 01 25 15    69.98   143.96
2015 01 25 16    68.98   144.03
2015 01 25 17    74.47   144.16
2015 01 25 18    72.35   144.19
2015 01 25 19    74.52   144.21
2015 01 25 20    70.21   144.19
2015 01 25 21    64.78   144.13
2015 01 25 22    65.85   144.12
2015 01 25 23    62.66   144.15
2015 01 26 00    70.21   144.19
2015 01 26 01    64.92   144.26
2015 01 26 02    68.20   144.33
2015 01 26 03    69.29   144.34
2015 01 26 04    66.29   144.55
2015 01 26 05    70.67   144.65
