#AAA MM DD HH    Qaflu   Qdeflu
2015 01 27 21  1685.00  1717.99
2015 01 27 22  1749.53  1722.04
2015 01 27 23  1632.17  1725.64
2015 01 28 00  1603.97  1724.93
2015 01 28 01  1682.59  1726.58
2015 01 28 02  1673.19  1722.68
2015 01 28 03  1640.16  1717.14
2015 01 28 04  1642.70  1714.19
2015 01 28 05  1681.84  1692.83
2015 01 28 06  1535.76  1612.74
2015 01 28 07  1389.90  1538.36
2015 01 28 08  1156.50  1458.93
2015 01 28 09   900.44  1285.35
2015 01 28 10   756.46  1135.86
2015 01 28 11   335.08   956.42
2015 01 28 12   324.22   841.09
2015 01 28 13   317.72   840.09
2015 01 28 14   162.98   877.80
2015 01 28 15   375.25   941.61
2015 01 28 16   620.23   944.65
2015 01 28 17   779.20   944.16
2015 01 28 18  1108.23   943.28
2015 01 28 19  1538.94   939.59
2015 01 28 20  1394.55   938.17
2015 01 28 21  1394.55   938.17
2015 01 28 22  1531.95   938.10
2015 01 28 23  1438.87   938.50
2015 01 29 00  1450.12   938.76
2015 01 29 01  1444.81   938.94
2015 01 29 02  1350.57   938.17
2015 01 29 03  1416.63   938.25
2015 01 29 04  1576.44   938.60
2015 01 29 05  1599.86   940.02
2015 01 29 06  1562.77   941.20
2015 01 29 07  1241.97   945.05
2015 01 29 08   877.31   943.29
2015 01 29 09   588.73   940.65
2015 01 29 10   228.84   938.39
2015 01 29 11   245.86   933.19
2015 01 29 12   166.92   936.73
2015 01 29 13   138.05   858.37
2015 01 29 14   249.35   722.22
2015 01 29 15   170.51   703.87
2015 01 29 16   217.62   701.50
2015 01 29 17   359.36   782.75
2015 01 29 18   729.19   921.64
2015 01 29 19  1161.91   941.97
2015 01 29 20  1381.88   941.99
2015 01 29 21  1538.47   939.12
2015 01 29 22  1567.85   941.01
2015 01 29 23  1367.38   943.98
2015 01 30 00  1429.55   945.67
2015 01 30 01  1434.85   945.47
2015 01 30 02  1327.56   942.66
2015 01 30 03  1403.65   991.25
2015 01 30 04  1476.28  1047.38
2015 01 30 05  1445.87  1137.95
2015 01 30 06  1486.25  1227.81
2015 01 30 07  1368.41  1269.43
2015 01 30 08   936.66  1305.07
2015 01 30 09   575.61  1240.94
2015 01 30 10   337.14  1150.93
2015 01 30 11   143.75  1056.52
2015 01 30 12   120.77   962.06
2015 01 30 13   232.79   936.61
2015 01 30 14   287.72   936.56
2015 01 30 15   691.68   939.11
2015 01 30 16  1295.11   943.20
2015 01 30 17  1438.10   948.72
2015 01 30 18  1543.09  1031.72
2015 01 30 19  1516.92  1110.03
2015 01 30 20  1422.59  1191.65
2015 01 30 21  1531.98  1268.05
2015 01 30 22  1611.42  1265.01
2015 01 30 23  1613.28  1266.87
2015 01 31 00  1554.90  1263.47
2015 01 31 01  1623.07  1265.65
2015 01 31 02  1652.71  1267.81
2015 01 31 03  1601.55  1271.63
2015 01 31 04  1612.94  1272.02
2015 01 31 05  1616.75  1270.33
2015 01 31 06  1600.93  1270.72
2015 01 31 07  1601.17  1270.28
2015 01 31 08  1434.35  1269.33
2015 01 31 09  1081.97  1268.92
2015 01 31 10   757.45  1269.10
2015 01 31 11   582.33  1259.62
2015 01 31 12   395.68  1259.02
2015 01 31 13   677.89  1260.74
2015 01 31 14  1159.58  1258.55
2015 01 31 15  1188.96  1265.94
2015 01 31 16  1508.25  1266.31
2015 01 31 17  1678.75  1266.36
2015 01 31 18  1420.78  1266.81
2015 01 31 19  1550.97  1265.04
2015 01 31 20  1641.90  1267.99
2015 01 31 21  1513.61  1266.18
2015 01 31 22  1541.65  1266.72
2015 01 31 23  1607.60  1266.69
2015 02 01 00  1567.95  1320.45
2015 02 01 01  1568.19  1397.73
2015 02 01 02  1634.52  1475.01
2015 02 01 03  1618.22  1557.45
2015 02 01 04  1593.97  1582.86
2015 02 01 05  1613.08  1585.36
2015 02 01 06  1620.69  1587.35
2015 02 01 07  1598.97  1582.31
2015 02 01 08  1597.95  1575.73
2015 02 01 09  1551.70  1562.82
2015 02 01 10  1496.85  1563.23
2015 02 01 11  1384.22  1566.13
2015 02 01 12  1391.33  1573.18
2015 02 01 13  1398.94  1586.00
2015 02 01 14  1483.37  1587.84
2015 02 01 15  1501.42  1589.40
2015 02 01 16  1501.98  1584.46
2015 02 01 17  1525.38  1585.87
2015 02 01 18  1504.79  1581.77
2015 02 01 19  1588.19  1577.19
2015 02 01 20  1639.25  1578.77
2015 02 01 21  1591.32  1574.83
2015 02 01 22  1599.21  1577.21
2015 02 01 23  1618.57  1580.08
2015 02 02 00  1612.75  1579.76
2015 02 02 01  1638.93  1578.45
2015 02 02 02  1604.47  1576.98
2015 02 02 03  1577.85  1577.86
2015 02 02 04  1583.39  1577.90
2015 02 02 05  1622.15  1578.16
2015 02 02 06  1638.22  1577.74
2015 02 02 07  1623.14  1573.65
2015 02 02 08  1522.72  1572.20
2015 02 02 09  1414.11  1573.57
2015 02 02 10  1304.58  1574.02
2015 02 02 11  1055.36  1577.73
2015 02 02 12   991.92  1580.27
2015 02 02 13  1155.55  1578.94
2015 02 02 14  1213.62  1543.54
2015 02 02 15  1477.24  1543.23
2015 02 02 16  1694.83  1546.37
2015 02 02 17  1578.80  1551.31
2015 02 02 18  1625.23  1586.74
