#AAA MM DD HH    Qaflu   Qdeflu
2015 01 21 23   407.26  1411.70
2015 01 22 00   543.20  1327.93
2015 01 22 01   467.80  1126.96
2015 01 22 02   443.63   906.62
2015 01 22 03   525.84   659.25
2015 01 22 04   368.87   408.11
2015 01 22 05   477.65   250.08
2015 01 22 06   487.93   111.27
2015 01 22 07   400.61    23.95
2015 01 22 08   438.90    62.23
2015 01 22 09   419.70   215.67
2015 01 22 10   390.69   414.24
2015 01 22 11   461.61   744.11
2015 01 22 12   457.28  1014.43
2015 01 22 13   430.31  1175.79
2015 01 22 14   450.20  1305.55
2015 01 22 15   412.82  1315.25
2015 01 22 16   462.13  1317.48
2015 01 22 17   411.42  1329.54
2015 01 22 18   473.15  1289.26
2015 01 22 19   487.49  1248.66
2015 01 22 20   390.05  1250.12
2015 01 22 21   458.22  1280.65
2015 01 22 22   447.09  1349.59
2015 01 22 23   398.90  1365.57
2015 01 23 00   485.42  1211.12
2015 01 23 01   447.39   982.11
2015 01 23 02   445.14   643.75
2015 01 23 03   428.09   328.79
2015 01 23 04   437.27   147.00
2015 01 23 05   423.48    18.61
2015 01 23 06   412.50     0.00
2015 01 23 07   458.33     0.00
2015 01 23 08   374.31     0.00
2015 01 23 09   435.42     0.00
2015 01 23 10   324.46    49.46
2015 01 23 11   409.32   302.38
2015 01 23 12   487.57   640.35
2015 01 23 13   396.75   977.31
2015 01 23 14   502.80  1266.69
2015 01 23 15   442.12  1351.15
2015 01 23 16   408.36  1325.03
2015 01 23 17   456.93  1297.21
2015 01 23 18   477.20  1248.73
2015 01 23 19   434.71  1229.16
2015 01 23 20   409.68  1249.95
2015 01 23 21   468.10  1254.90
2015 01 23 22   400.45  1309.48
2015 01 23 23   451.71  1299.63
2015 01 24 00   444.98  1224.15
2015 01 24 01   501.36  1013.17
2015 01 24 02   439.07   668.24
2015 01 24 03   406.11   360.28
2015 01 24 04   423.95   103.11
2015 01 24 05   297.92     0.00
2015 01 24 06   420.14     0.00
2015 01 24 07   385.72    57.24
2015 01 24 08   416.71   256.29
2015 01 24 09   406.31   597.28
2015 01 24 10   385.17   950.45
2015 01 24 11   444.43  1246.51
2015 01 24 12   369.52  1400.77
2015 01 24 13   396.99  1412.96
2015 01 24 14   412.91  1413.61
2015 01 24 15   367.83  1414.35
2015 01 24 16   413.81  1414.51
2015 01 24 17   414.40  1415.09
2015 01 24 18   399.45  1415.42
2015 01 24 19   346.36  1415.81
2015 01 24 20   301.12  1416.40
2015 01 24 21   294.20  1417.12
2015 01 24 22   279.46  1417.66
2015 01 24 23   348.32  1417.77
2015 01 25 00   402.40  1418.37
2015 01 25 01   447.98  1311.17
2015 01 25 02   369.59  1125.84
2015 01 25 03   511.07   877.74
2015 01 25 04   433.23   578.37
2015 01 25 05   318.23   364.07
2015 01 25 06   418.85   395.93
2015 01 25 07   330.96   598.33
2015 01 25 08   360.48   872.29
2015 01 25 09   390.86  1185.31
2015 01 25 10   418.24  1333.66
2015 01 25 11   356.50  1374.14
2015 01 25 12   365.92  1393.84
2015 01 25 13   412.05  1397.19
2015 01 25 14   385.57  1398.07
2015 01 25 15   356.14  1398.64
2015 01 25 16   425.41  1400.41
2015 01 25 17   419.21  1401.71
2015 01 25 18   362.53  1405.03
2015 01 25 19   398.56  1411.06
2015 01 25 20   366.13  1416.13
2015 01 25 21   348.79  1421.29
2015 01 25 22   433.49  1423.49
2015 01 25 23   403.74  1423.74
2015 01 26 00   328.97  1423.97
2015 01 26 01   396.34  1408.84
2015 01 26 02   355.81  1383.31
2015 01 26 03   408.93  1346.43
2015 01 26 04   432.81  1302.81
2015 01 26 05   364.05  1279.05
2015 01 26 06   413.54  1283.54
2015 01 26 07   337.88  1297.88
2015 01 26 08   352.23  1312.23
2015 01 26 09   372.34  1339.84
2015 01 26 10   324.48  1351.98
2015 01 26 11   293.26  1365.76
2015 01 26 12   313.76  1386.26
2015 01 26 13   267.22  1392.22
2015 01 26 14   252.46  1399.96
2015 01 26 15   334.69  1407.19
2015 01 26 16   321.67  1414.72
2015 01 26 17   343.77  1419.18
2015 01 26 18   339.06  1419.41
2015 01 26 19   326.80  1419.65
2015 01 26 20   327.64  1419.93
2015 01 26 21   335.07  1419.93
2015 01 26 22   424.24  1419.93
2015 01 26 23   357.37  1419.95
2015 01 27 00   364.52  1419.66
2015 01 27 01   440.98  1384.67
2015 01 27 02   280.08  1320.35
2015 01 27 03   372.12  1211.77
2015 01 27 04   422.45   987.17
2015 01 27 05   309.30   881.45
2015 01 27 06   361.21   859.06
2015 01 27 07   356.79   951.24
2015 01 27 08   343.29  1153.22
2015 01 27 09   306.08  1294.34
2015 01 27 10   415.92  1381.89
2015 01 27 11   358.80  1399.08
2015 01 27 12   286.21  1408.22
2015 01 27 13   467.51  1374.03
2015 01 27 14   356.45  1359.58
2015 01 27 15   432.97  1354.35
2015 01 27 16   456.87  1363.40
2015 01 27 17   345.17  1392.88
2015 01 27 18   466.24  1402.49
2015 01 27 19   369.64  1402.48
2015 01 27 20   340.11  1402.68
2015 01 27 21   385.17  1403.15
2015 01 27 22   333.10  1403.10
2015 01 27 23   409.87  1403.57
2015 01 28 00   424.53  1404.29
2015 01 28 01   357.31  1404.55
2015 01 28 02   400.20  1369.80
2015 01 28 03   376.98  1299.49
2015 01 28 04   327.49  1257.27
2015 01 28 05   442.76  1220.00
2015 01 28 06   371.30  1206.65
2015 01 28 07   391.87  1249.00
2015 01 28 08   440.11  1282.73
2015 01 28 09   428.11  1321.57
2015 01 28 10   339.41  1370.88
2015 01 28 11   332.25  1400.04
2015 01 28 12   392.34  1409.28
2015 01 28 13   246.51  1408.73
2015 01 28 14   355.84  1409.10
2015 01 28 15   385.27  1409.48
2015 01 28 16   320.45  1410.04
2015 01 28 17   414.93  1410.09
2015 01 28 18   414.89  1410.04
2015 01 28 19   349.42  1409.94
2015 01 28 20   400.24  1409.92
2015 01 28 21   407.69  1410.10
2015 01 28 22   363.99  1409.99
2015 01 28 23   422.31  1410.20
2015 01 29 00   400.46  1410.14
2015 01 29 01   381.52  1398.46
2015 01 29 02   530.20  1336.50
2015 01 29 03   386.79  1200.35
2015 01 29 04   426.10   992.69
2015 01 29 05   472.38   719.36
2015 01 29 06   269.49   494.67
2015 01 29 07   439.06   344.63
2015 01 29 08   383.52   390.79
2015 01 29 09   353.36   672.97
2015 01 29 10   451.20   959.58
2015 01 29 11   403.25  1245.27
2015 01 29 12   397.89  1406.45
2015 01 29 13   386.23  1408.83
2015 01 29 14   386.93  1365.68
2015 01 29 15   346.97  1296.72
2015 01 29 16   423.22  1227.97
2015 01 29 17   419.69  1159.19
2015 01 29 18   415.80  1133.55
2015 01 29 19   425.37  1172.12
2015 01 29 20   363.68  1240.93
2015 01 29 21   374.63  1309.88
2015 01 29 22   356.17  1378.42
2015 01 29 23   386.56  1408.81
2015 01 30 00   444.39  1372.39
2015 01 30 01   387.58  1272.08
2015 01 30 02   426.29  1129.54
2015 01 30 03   464.01   913.51
2015 01 30 04   333.89   710.89
2015 01 30 05   410.63   526.63
2015 01 30 06   398.60   384.10
2015 01 30 07   292.07   248.57
2015 01 30 08   410.92   135.42
2015 01 30 09   337.90    98.65
2015 01 30 10   240.05   211.05
2015 01 30 11   413.70   515.20
2015 01 30 12   427.64   819.14
2015 01 30 13   367.70  1099.95
2015 01 30 14   441.75  1203.00
2015 01 30 15   391.45  1159.95
2015 01 30 16   268.32  1087.57
2015 01 30 17   383.11   999.36
2015 01 30 18   418.67   926.17
2015 01 30 19   303.54   912.54
2015 01 30 20   427.24   898.49
2015 01 30 21   416.09   880.09
2015 01 30 22   329.43   829.68
2015 01 30 23   479.77   697.27
2015 01 31 00   359.42   547.92
2015 01 31 01   400.70   378.95
2015 01 31 02   408.52   220.02
2015 01 31 03   329.14   104.39
2015 01 31 04   405.98    36.23
2015 01 31 05   362.50     0.00
2015 01 31 06   406.00     0.00
2015 01 31 07   413.25     0.00
2015 01 31 08   398.75     0.00
2015 01 31 09   296.86    43.11
