datahora,pme_0,pme_1,pme_2,pme_3,pme_4,pme_5,pme_6,pme_7,pme_8,pme_9,pme_10,pme_11,pme_12,pme_13,pme_14,pme_15,pme_16,pme_17,pme_18,pme_19,pme_20,pme_21,pme_22,pme_23,pme_24,pme_25,pme_26,pme_27,pme_28,pme_29,pme_30,pme_31,pme_32,pme_33,pme_34,pme_35,pme_36,pme_37,pme_38,pme_39,pme_40,pme_41,pme_42,pme_43,pme_44,pme_45,pme_46,pme_47,pme_48,pme_49,pme_50,etp
2021-08-03 18:00:00+00:00,0.000,0.001,0.000,0.001,0.000,0.001,0.000,0.003,0.007,0.001,0.001,0.007,0.000,0.000,0.001,0.000,0.002,0.000,0.011,0.000,0.000,0.000,0.000,0.000,0.001,0.009,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.002,0.001,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.003,0.001,0.000,0.001,0.001,0.003,0.000,0.000,1.350
2021-08-04 00:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.038
2021-08-04 06:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.014
2021-08-04 12:00:00+00:00,0.000,0.005,0.000,0.002,0.000,0.007,0.002,0.009,0.001,0.017,0.000,0.004,0.012,0.000,0.013,0.000,0.001,0.000,0.016,0.000,0.004,0.000,0.000,0.004,0.000,0.002,0.007,0.003,0.001,0.008,0.000,0.000,0.001,0.000,0.002,0.007,0.008,0.001,0.003,0.002,0.000,0.003,0.011,0.000,0.018,0.050,0.001,0.001,0.008,0.000,0.004,0.713
2021-08-04 18:00:00+00:00,0.001,0.005,0.000,0.000,0.000,0.005,0.000,0.005,0.000,0.000,0.001,0.002,0.001,0.002,0.002,0.004,0.000,0.000,0.006,0.003,0.002,0.000,0.000,0.004,0.000,0.000,0.000,0.004,0.000,0.007,0.000,0.000,0.002,0.000,0.000,0.000,0.001,0.005,0.001,0.001,0.000,0.001,0.000,0.004,0.000,0.010,0.000,0.001,0.001,0.000,0.003,1.561
2021-08-05 00:00:00+00:00,0.006,0.018,0.002,0.019,0.004,0.002,0.000,0.004,0.016,0.000,0.030,0.016,0.002,0.053,0.012,0.032,0.000,0.009,0.001,0.000,0.000,0.000,0.002,0.057,0.001,0.000,0.000,0.016,0.000,0.013,0.000,0.014,0.014,0.002,0.019,0.005,0.000,0.004,0.000,0.004,0.000,0.000,0.000,0.000,0.038,0.228,0.000,0.000,0.000,0.001,0.007,0.048
2021-08-05 06:00:00+00:00,0.010,0.065,0.020,0.025,0.177,0.000,0.024,0.017,0.167,0.035,0.046,0.275,0.025,0.099,0.108,0.021,0.000,0.164,0.039,0.139,0.035,0.000,0.025,0.096,0.036,0.002,0.018,0.021,0.026,0.222,0.053,0.131,0.073,0.001,0.015,0.002,0.008,0.007,0.072,0.058,0.001,0.216,0.052,0.013,0.080,0.311,0.117,0.014,0.005,0.008,0.272,0.027
2021-08-05 12:00:00+00:00,0.385,0.184,0.403,0.355,0.126,0.176,0.059,0.431,0.445,0.376,0.530,0.429,0.311,0.104,0.564,0.042,0.018,0.377,0.176,0.639,0.137,0.083,0.219,0.552,0.107,0.169,0.266,0.287,0.118,0.361,0.221,0.205,0.128,0.068,0.078,0.080,0.281,0.167,0.211,0.112,0.186,0.253,0.081,0.100,0.245,0.256,0.297,0.258,0.072,0.284,0.231,0.722
2021-08-05 18:00:00+00:00,0.010,0.005,0.008,0.027,0.002,0.078,0.001,0.055,0.003,0.003,0.379,0.064,0.004,0.003,0.178,0.127,0.004,0.002,0.123,0.084,0.006,0.009,0.024,0.099,0.005,0.019,0.002,0.095,0.005,0.032,0.006,0.008,0.000,0.000,0.028,0.000,0.035,0.027,0.009,0.009,0.155,0.086,0.007,0.001,0.069,0.001,0.000,0.008,0.010,0.017,0.012,1.471
2021-08-06 00:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.001,0.000,0.000,0.050
