datahora,pme_0,pme_1,pme_2,pme_3,pme_4,pme_5,pme_6,pme_7,pme_8,pme_9,pme_10,pme_11,pme_12,pme_13,pme_14,pme_15,pme_16,pme_17,pme_18,pme_19,pme_20,pme_21,pme_22,pme_23,pme_24,pme_25,pme_26,pme_27,pme_28,pme_29,pme_30,pme_31,pme_32,pme_33,pme_34,pme_35,pme_36,pme_37,pme_38,pme_39,pme_40,pme_41,pme_42,pme_43,pme_44,pme_45,pme_46,pme_47,pme_48,pme_49,pme_50,etp
2021-08-03 18:00:00+00:00,0.000,0.001,0.000,0.001,0.001,0.000,0.000,0.001,0.001,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.001,0.000,0.001,0.001,0.001,0.001,0.001,0.000,0.000,0.001,0.001,0.003,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.002,0.002,0.001,0.000,0.000,1.713
2021-08-04 00:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.099
2021-08-04 06:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.051
2021-08-04 12:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.000,0.001,0.000,0.001,0.001,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.002,0.009,0.000,0.000,0.004,0.000,0.000,0.966
2021-08-04 18:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.000,0.000,0.000,0.000,0.000,1.868
2021-08-05 00:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.002,0.123
2021-08-05 06:00:00+00:00,0.000,0.002,0.003,0.000,0.006,0.000,0.000,0.000,0.008,0.000,0.006,0.005,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.003,0.000,0.000,0.000,0.002,0.000,0.000,0.001,0.000,0.000,0.022,0.001,0.008,0.011,0.000,0.002,0.000,0.001,0.000,0.001,0.003,0.000,0.005,0.000,0.001,0.000,0.015,0.018,0.000,0.000,0.001,0.027,0.106
2021-08-05 12:00:00+00:00,0.037,0.029,0.057,0.019,0.005,0.002,0.003,0.037,0.064,0.014,0.096,0.085,0.048,0.036,0.009,0.007,0.001,0.019,0.027,0.057,0.011,0.008,0.028,0.076,0.005,0.005,0.062,0.060,0.009,0.038,0.012,0.026,0.009,0.011,0.011,0.008,0.010,0.022,0.016,0.014,0.022,0.031,0.000,0.011,0.006,0.014,0.045,0.027,0.004,0.011,0.045,1.035
2021-08-05 18:00:00+00:00,0.001,0.000,0.000,0.002,0.000,0.003,0.000,0.000,0.000,0.000,0.011,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.001,0.000,0.002,0.000,0.000,0.002,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.002,0.001,0.000,1.761
2021-08-06 00:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.097
2021-08-06 06:00:00+00:00,0.012,0.001,0.000,0.002,0.001,0.000,0.000,0.001,0.001,0.000,0.000,0.001,0.006,0.003,0.000,0.000,0.001,0.001,0.000,0.000,0.005,0.000,0.000,0.000,0.011,0.000,0.000,0.000,0.000,0.013,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.001,0.003,0.002,0.000,0.004,0.000,0.007,0.000,0.037
