datahora,pme_0,pme_1,pme_2,pme_3,pme_4,pme_5,pme_6,pme_7,pme_8,pme_9,pme_10,pme_11,pme_12,pme_13,pme_14,pme_15,pme_16,pme_17,pme_18,pme_19,pme_20,pme_21,pme_22,pme_23,pme_24,pme_25,pme_26,pme_27,pme_28,pme_29,pme_30,pme_31,pme_32,pme_33,pme_34,pme_35,pme_36,pme_37,pme_38,pme_39,pme_40,pme_41,pme_42,pme_43,pme_44,pme_45,pme_46,pme_47,pme_48,pme_49,pme_50,etp
2021-08-05 18:00:00+00:00,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.000,0.000,1.896
2021-08-06 00:00:00+00:00,0.000,0.000,0.007,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.154
2021-08-06 06:00:00+00:00,0.000,0.011,0.005,0.000,0.001,0.000,0.000,0.000,0.000,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.021,0.000,0.000,0.004,0.000,0.005,0.000,0.000,0.011,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.009,0.000,0.071
2021-08-06 12:00:00+00:00,0.057,0.071,0.033,0.000,0.000,0.003,0.011,0.030,0.001,0.013,0.002,0.018,0.003,0.000,0.000,0.000,0.009,0.003,0.000,0.000,0.000,0.000,0.002,0.011,0.033,0.000,0.081,0.017,0.000,0.000,0.011,0.000,0.000,0.066,0.002,0.003,0.102,0.023,0.014,0.002,0.036,0.000,0.000,0.013,0.048,0.001,0.014,0.011,0.003,0.000,0.001,1.060
2021-08-06 18:00:00+00:00,0.005,0.000,0.031,0.000,0.001,0.006,0.008,0.054,0.000,0.000,0.007,0.196,0.000,0.000,0.177,0.006,0.030,0.004,0.003,0.002,0.000,0.000,0.000,0.003,0.004,0.000,0.003,0.000,0.087,0.014,0.000,0.000,0.000,0.110,0.000,0.002,0.000,0.087,0.000,0.000,0.102,0.000,0.037,0.000,0.006,0.001,0.003,0.001,0.003,0.000,0.021,2.156
2021-08-07 00:00:00+00:00,0.000,0.000,0.000,0.000,0.110,0.001,0.000,0.003,0.000,0.000,0.000,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.126,0.005,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.045,0.000,0.012,0.000,0.000,0.000,0.000,0.001,0.000,0.199
2021-08-07 06:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.014,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.122
2021-08-07 12:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.006,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,1.089
2021-08-07 18:00:00+00:00,0.001,0.000,0.000,0.000,0.000,0.000,0.093,0.000,0.000,0.000,0.000,0.000,0.033,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.155,0.000,0.000,0.014,0.000,0.096,0.001,0.000,0.000,0.000,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,2.127
2021-08-08 00:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.060,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.004,0.002,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.145
2021-08-08 06:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.066
