datahora,pme_0,pme_1,pme_2,pme_3,pme_4,pme_5,pme_6,pme_7,pme_8,pme_9,pme_10,pme_11,pme_12,pme_13,pme_14,pme_15,pme_16,pme_17,pme_18,pme_19,pme_20,pme_21,pme_22,pme_23,pme_24,pme_25,pme_26,pme_27,pme_28,pme_29,pme_30,pme_31,pme_32,pme_33,pme_34,pme_35,pme_36,pme_37,pme_38,pme_39,pme_40,pme_41,pme_42,pme_43,pme_44,pme_45,pme_46,pme_47,pme_48,pme_49,pme_50,etp
2021-08-05 18:00:00+00:00,0.002,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.020,0.001,0.000,0.001,0.000,0.000,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.003,0.006,0.000,0.000,0.003,0.000,0.002,0.001,0.000,0.005,0.001,1.845
2021-08-06 00:00:00+00:00,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.001,0.000,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.090
2021-08-06 06:00:00+00:00,0.000,0.000,0.000,0.004,0.029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.004,0.000,0.000,0.001,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.021
2021-08-06 12:00:00+00:00,0.020,0.005,0.000,0.022,0.004,0.014,0.003,0.006,0.074,0.002,0.005,0.023,0.001,0.010,0.053,0.026,0.026,0.010,0.041,0.023,0.054,0.098,0.008,0.018,0.010,0.004,0.005,0.005,0.001,0.039,0.082,0.049,0.015,0.005,0.058,0.002,0.014,0.006,0.174,0.004,0.003,0.011,0.026,0.018,0.005,0.014,0.003,0.005,0.003,0.002,0.008,1.112
2021-08-06 18:00:00+00:00,0.116,0.015,0.000,0.002,0.006,0.030,0.135,0.021,0.046,0.000,0.035,0.002,0.037,0.006,0.000,0.000,0.048,0.000,0.004,0.154,0.016,0.006,0.027,0.020,0.086,0.026,0.055,0.053,0.001,0.144,0.032,0.108,0.001,0.003,0.018,0.109,0.138,0.012,0.224,0.118,0.044,0.002,0.001,0.002,0.000,0.004,0.000,0.000,0.017,0.022,0.432,1.884
2021-08-07 00:00:00+00:00,0.007,0.000,0.010,0.000,0.003,0.009,0.033,0.000,0.001,0.000,0.100,0.000,0.000,0.000,0.000,0.006,0.001,0.000,0.000,0.042,0.000,0.005,0.001,0.000,0.012,0.001,0.012,0.281,0.002,0.006,0.006,0.008,0.020,0.000,0.040,0.000,0.018,0.030,0.000,0.031,0.010,0.000,0.113,0.000,0.000,0.002,0.002,0.005,0.005,0.022,0.005,0.072
2021-08-07 06:00:00+00:00,0.032,0.058,0.017,0.002,0.072,0.004,0.255,0.002,0.117,0.010,0.009,0.007,0.090,0.004,0.148,0.035,0.049,0.014,0.001,0.042,0.122,0.001,0.007,0.049,0.065,0.047,0.322,0.127,0.005,0.201,0.057,0.100,0.013,0.013,0.128,0.016,0.012,0.007,0.013,0.008,0.088,0.099,0.025,0.004,0.023,0.026,0.095,0.012,0.005,0.009,0.089,0.029
2021-08-07 12:00:00+00:00,0.071,0.049,0.011,0.011,0.032,0.036,0.083,0.023,0.010,0.008,0.043,0.020,0.063,0.006,0.261,0.025,0.170,0.066,0.019,0.701,0.014,0.009,0.082,0.004,0.115,0.032,0.136,0.096,0.040,0.099,0.044,0.197,0.411,0.008,0.178,0.012,0.127,0.015,0.011,0.045,0.045,0.030,0.093,0.016,0.006,0.014,0.225,0.162,0.074,0.032,0.071,1.334
2021-08-07 18:00:00+00:00,0.415,0.238,0.183,0.500,0.260,0.358,0.179,0.182,0.111,0.187,0.117,0.288,0.019,0.583,0.202,0.006,0.605,0.317,0.051,0.594,0.505,0.385,0.291,0.493,0.772,0.464,0.614,0.191,0.002,0.476,0.311,0.660,0.175,0.084,0.515,0.031,0.099,0.490,0.019,0.439,0.180,0.224,0.231,0.349,0.089,0.034,0.498,0.015,0.531,0.160,0.482,1.993
2021-08-08 00:00:00+00:00,0.146,0.071,0.031,0.029,0.056,1.395,0.025,0.046,0.001,0.094,0.009,0.069,0.000,0.121,0.321,0.005,0.080,0.215,0.096,0.114,0.122,0.036,0.064,0.280,0.230,0.267,0.003,0.088,0.000,0.328,0.059,0.398,0.048,0.021,0.203,0.024,0.044,0.333,0.000,0.099,0.037,0.003,0.011,0.054,0.034,0.001,0.175,0.017,0.480,0.042,0.125,0.106
2021-08-08 06:00:00+00:00,0.004,0.003,0.001,0.008,0.002,0.023,0.002,0.000,0.000,0.006,0.007,0.002,0.001,0.011,0.009,0.003,0.000,0.013,0.012,0.005,0.005,0.002,0.004,0.007,0.007,0.005,0.009,0.001,0.001,0.007,0.005,0.007,0.005,0.000,0.006,0.002,0.003,0.017,0.003,0.005,0.007,0.004,0.001,0.002,0.001,0.010,0.005,0.000,0.005,0.000,0.007,0.038
2021-08-08 12:00:00+00:00,0.023,0.016,0.040,0.033,0.009,0.101,0.003,0.030,0.013,0.036,0.049,0.062,0.039,0.048,0.022,0.033,0.027,0.066,0.041,0.029,0.019,0.043,0.024,0.006,0.035,0.010,0.027,0.029,0.072,0.041,0.031,0.014,0.012,0.016,0.050,0.038,0.027,0.029,0.023,0.066,0.033,0.014,0.011,0.042,0.013,0.017,0.020,0.059,0.055,0.022,0.022,1.252
