#AAA MM DD HH    Qaflu   Qdeflu
2015 02 16 14  1893.22  2378.43
2015 02 16 15  1816.02  2405.88
2015 02 16 16  2015.78  2405.85
2015 02 16 17  1874.15  2406.93
2015 02 16 18  1817.71  2407.57
2015 02 16 19  1931.61  2407.30
2015 02 16 20  1990.05  2408.66
2015 02 16 21  1989.70  2408.31
2015 02 16 22  1856.31  2408.11
2015 02 16 23  2009.19  2408.78
2015 02 17 00  1961.36  2408.51
2015 02 17 01  1876.41  2409.19
2015 02 17 02  1949.83  2406.50
2015 02 17 03  1969.14  2359.21
2015 02 17 04  1879.99  2279.58
2015 02 17 05  1732.10  2103.14
2015 02 17 06  1723.80  1676.23
2015 02 17 07  1425.68  1225.89
2015 02 17 08  1171.35   809.82
2015 02 17 09  1168.69   502.72
2015 02 17 10  1082.83   454.92
2015 02 17 11  1104.69   571.91
2015 02 17 12  1221.62   812.52
2015 02 17 13  1510.69  1082.56
2015 02 17 14  1505.40  1391.23
2015 02 17 15  1606.33  1739.52
2015 02 17 16  1824.26  1909.88
2015 02 17 17  1643.30  2061.91
2015 02 17 18  1701.90  2206.14
2015 02 17 19  1785.95  2204.56
2015 02 17 20  1853.57  2234.13
2015 02 17 21  1780.03  2113.02
2015 02 17 22  1677.91  2029.92
2015 02 17 23  1658.73  2010.75
2015 02 18 00  1686.20  2066.75
2015 02 18 01  1803.29  2098.22
2015 02 18 02  1796.38  1891.52
2015 02 18 03  1866.86  1552.90
2015 02 18 04  1646.54  1056.67
2015 02 18 05  1495.45   705.80
2015 02 18 06  1239.40   535.37
2015 02 18 07   663.84   445.02
2015 02 18 08   658.24   439.41
2015 02 18 09   395.97   453.05
2015 02 18 10   336.39   441.05
2015 02 18 11   456.68   437.65
2015 02 18 12   193.44   459.82
2015 02 18 13   586.06   481.40
2015 02 18 14  1035.89   512.62
2015 02 18 15  1444.11   644.95
2015 02 18 16  1676.08   800.80
2015 02 18 17  1685.86   943.78
2015 02 18 18  1752.70  1086.73
2015 02 18 19  1644.03  1082.71
2015 02 18 20  1832.39  1090.30
2015 02 18 21  1625.61  1207.00
2015 02 18 22  1642.26  1442.47
2015 02 18 23  1757.76  1748.24
2015 02 19 00  1574.95  1974.54
2015 02 19 01  1734.21  2152.82
2015 02 19 02  1640.76  2116.46
2015 02 19 03  1792.57  1868.68
2015 02 19 04  1743.52  1467.62
2015 02 19 05  1569.41   998.57
2015 02 19 06  1300.05   624.56
2015 02 19 07   750.35   426.88
2015 02 19 08   523.99   428.85
2015 02 19 09   355.04   440.66
2015 02 19 10   782.05   525.17
2015 02 19 11  1153.31   877.41
2015 02 19 12  1409.69  1352.61
2015 02 19 13  1845.75  1836.23
2015 02 19 14  1781.21  2247.40
2015 02 19 15  1828.79  2390.11
2015 02 19 16  1906.51  2401.23
2015 02 19 17  1832.22  2393.54
2015 02 19 18  1816.46  2387.29
2015 02 19 19  1818.02  2388.85
2015 02 19 20  1896.53  2391.26
2015 02 19 21  1915.04  2400.25
2015 02 19 22  1922.64  2407.84
2015 02 19 23  1893.91  2407.66
2015 02 20 00  1856.58  2408.39
2015 02 20 01  1876.36  2409.14
2015 02 20 02  1858.09  2409.90
2015 02 20 03  1869.35  2411.64
2015 02 20 04  1876.65  2219.15
2015 02 20 05  1754.21  1896.92
2015 02 20 06  1577.91  1425.68
2015 02 20 07  1521.76   931.90
2015 02 20 08  1468.56   650.36
2015 02 20 09  1545.34   489.31
2015 02 20 10  1565.01   575.56
2015 02 20 11  1419.59   905.84
2015 02 20 12  1584.53  1375.23
2015 02 20 13  1658.49  1858.28
2015 02 20 14  1672.53  2243.37
2015 02 20 15  1900.97  2405.21
2015 02 20 16  1800.15  2409.04
2015 02 20 17  1743.34  2409.31
2015 02 20 18  1802.14  2411.03
2015 02 20 19  1850.53  2411.84
2015 02 20 20  2041.45  2412.49
2015 02 20 21  1870.70  2412.99
2015 02 20 22  1964.56  2411.72
2015 02 20 23  1945.91  2412.09
2015 02 21 00  1718.12  2412.63
2015 02 21 01  1842.54  2413.38
2015 02 21 02  1833.00  2413.35
2015 02 21 03  1814.79  2414.17
2015 02 21 04  1779.82  2398.22
2015 02 21 05  1793.11  2354.43
2015 02 21 06  1844.95  2215.99
2015 02 21 07  1728.82  1995.21
2015 02 21 08  1661.49  1794.68
2015 02 21 09  1710.33  1624.71
2015 02 21 10  1652.92  1548.27
2015 02 21 11  1661.85  1585.74
2015 02 21 12  1570.47  1741.73
2015 02 21 13  1707.57  1954.93
2015 02 21 14  1742.01  2170.13
2015 02 21 15  1707.75  2353.03
2015 02 21 16  1914.59  2414.04
2015 02 21 17  1794.64  2415.06
2015 02 21 18  1732.96  2416.01
2015 02 21 19  1774.92  2417.01
2015 02 21 20  1840.19  2417.14
2015 02 21 21  1885.98  2416.40
2015 02 21 22  1875.13  2414.85
2015 02 21 23  1883.66  2414.08
2015 02 22 00  1845.71  2413.35
2015 02 22 01  1790.01  2413.48
2015 02 22 02  1799.50  2413.67
2015 02 22 03  1854.69  2413.03
2015 02 22 04  1913.60  2136.93
2015 02 22 05  1758.28  1655.92
2015 02 22 06  1580.69  1152.63
2015 02 22 07  1570.27   649.02
2015 02 22 08  1603.11   421.31
2015 02 22 09  1561.43   398.23
2015 02 22 10  1616.85   602.55
2015 02 22 11  1740.59   865.87
2015 02 22 12  1585.92  1250.92
2015 02 22 13  1539.63  1753.66
2015 02 22 14  1809.34  2051.29
2015 02 22 15  1794.17  2259.45
2015 02 22 16  1740.64  2308.27
2015 02 22 17  1803.90  2287.78
2015 02 22 18  1813.60  2288.18
2015 02 22 19  1799.64  2320.76
2015 02 22 20  1776.32  2390.48
2015 02 22 21  1992.64  2411.39
2015 02 22 22  2076.98  2411.98
2015 02 22 23  2048.01  2410.93
2015 02 23 00  2093.48  2409.87
2015 02 23 01  2223.36  2409.47
2015 02 23 02  2158.14  2409.39
2015 02 23 03  2109.38  2388.55
2015 02 23 04  2196.23  2159.01
2015 02 23 05  2008.13  1952.30
2015 02 23 06  1896.51  1682.48
2015 02 23 07  1705.20  1295.75
2015 02 23 08  1664.61  1050.44
2015 02 23 09  1643.15   842.87
2015 02 23 10  1649.47   867.80
2015 02 23 11  1847.36  1186.66
2015 02 23 12  1914.13  1662.88
2015 02 23 13  2078.61  2078.62
2015 02 23 14  1979.68  2323.98
2015 02 23 15  2115.45  2413.23
2015 02 23 16  2096.65  2413.03
2015 02 23 17  2039.75  2411.97
2015 02 23 18  2151.11  2411.67
2015 02 23 19  2076.34  2411.33
2015 02 23 20  2187.64  2410.97
2015 02 23 21  2112.03  2409.80
2015 02 23 22  2176.01  2408.65
2015 02 23 23  2167.07  2409.02
2015 02 24 00  2101.58  2408.66
2015 02 24 01  2195.20  2409.23
2015 02 24 02  2112.93  2410.71
2015 02 24 03  2187.30  2410.63
2015 02 24 04  2125.25  2385.80
2015 02 24 05  2098.89  2154.73
2015 02 24 06  2024.37  1828.95
2015 02 24 07  1739.52  1441.74
2015 02 24 08  1785.57  1069.04
2015 02 24 09  1693.96   902.98
2015 02 24 10  1660.95   832.75
2015 02 24 11  1680.33   898.67
2015 02 24 12  1643.18  1215.12
2015 02 24 13  1809.89  1502.81
2015 02 24 14  1835.63  1742.58
