#AAA MM DD HH    Qaflu   Qdeflu
2015 02 22 12  1685.00  1717.99
2015 02 22 13  1749.53  1722.04
2015 02 22 14  1632.17  1725.64
2015 02 22 15  1603.97  1724.93
2015 02 22 16  1682.59  1726.58
2015 02 22 17  1673.19  1722.68
2015 02 22 18  1640.16  1717.14
2015 02 22 19  1642.70  1714.19
2015 02 22 20  1681.84  1692.83
2015 02 22 21  1535.76  1612.74
2015 02 22 22  1389.90  1538.36
2015 02 22 23  1156.50  1458.93
2015 02 23 00   900.44  1285.35
2015 02 23 01   756.46  1135.86
2015 02 23 02   335.08   956.42
2015 02 23 03   324.22   841.09
2015 02 23 04   317.72   840.09
2015 02 23 05   162.98   877.80
2015 02 23 06   375.25   941.61
2015 02 23 07   620.23   944.65
2015 02 23 08   779.20   944.16
2015 02 23 09  1108.23   943.28
2015 02 23 10  1538.94   939.59
2015 02 23 11  1394.55   938.17
2015 02 23 12  1394.55   938.17
2015 02 23 13  1531.95   938.10
2015 02 23 14  1438.87   938.50
2015 02 23 15  1450.12   938.76
2015 02 23 16  1444.81   938.94
2015 02 23 17  1350.57   938.17
2015 02 23 18  1416.63   938.25
2015 02 23 19  1576.44   938.60
2015 02 23 20  1599.86   940.02
2015 02 23 21  1562.77   941.20
2015 02 23 22  1241.97   945.05
2015 02 23 23   877.31   943.29
2015 02 24 00   588.73   940.65
2015 02 24 01   228.84   938.39
2015 02 24 02   245.86   933.19
2015 02 24 03   166.92   936.73
2015 02 24 04   138.05   858.37
2015 02 24 05   249.35   722.22
2015 02 24 06   170.51   703.87
2015 02 24 07   217.62   701.50
2015 02 24 08   359.36   782.75
2015 02 24 09   729.19   921.64
2015 02 24 10  1161.91   941.97
2015 02 24 11  1381.88   941.99
2015 02 24 12  1538.47   939.12
2015 02 24 13  1567.85   941.01
2015 02 24 14  1367.38   943.98
2015 02 24 15  1429.55   945.67
2015 02 24 16  1434.85   945.47
2015 02 24 17  1327.56   942.66
2015 02 24 18  1403.65   991.25
2015 02 24 19  1476.28  1047.38
2015 02 24 20  1445.87  1137.95
2015 02 24 21  1486.25  1227.81
2015 02 24 22  1368.41  1269.43
2015 02 24 23   936.66  1305.07
2015 02 25 00   575.61  1240.94
2015 02 25 01   337.14  1150.93
2015 02 25 02   143.75  1056.52
2015 02 25 03   120.77   962.06
2015 02 25 04   232.79   936.61
2015 02 25 05   287.72   936.56
2015 02 25 06   691.68   939.11
2015 02 25 07  1295.11   943.20
2015 02 25 08  1438.10   948.72
2015 02 25 09  1543.09  1031.72
2015 02 25 10  1516.92  1110.03
2015 02 25 11  1422.59  1191.65
2015 02 25 12  1531.98  1268.05
2015 02 25 13  1611.42  1265.01
2015 02 25 14  1613.28  1266.87
2015 02 25 15  1554.90  1263.47
2015 02 25 16  1623.07  1265.65
2015 02 25 17  1652.71  1267.81
2015 02 25 18  1601.55  1271.63
2015 02 25 19  1612.94  1272.02
2015 02 25 20  1616.75  1270.33
2015 02 25 21  1600.93  1270.72
2015 02 25 22  1601.17  1270.28
2015 02 25 23  1434.35  1269.33
2015 02 26 00  1081.97  1268.92
2015 02 26 01   757.45  1269.10
2015 02 26 02   582.33  1259.62
2015 02 26 03   395.68  1259.02
2015 02 26 04   677.89  1260.74
2015 02 26 05  1159.58  1258.55
2015 02 26 06  1188.96  1265.94
2015 02 26 07  1508.25  1266.31
2015 02 26 08  1678.75  1266.36
2015 02 26 09  1420.78  1266.81
2015 02 26 10  1550.97  1265.04
2015 02 26 11  1641.90  1267.99
2015 02 26 12  1513.61  1266.18
2015 02 26 13  1541.65  1266.72
2015 02 26 14  1607.60  1266.69
2015 02 26 15  1567.95  1320.45
2015 02 26 16  1568.19  1397.73
2015 02 26 17  1634.52  1475.01
2015 02 26 18  1618.22  1557.45
2015 02 26 19  1593.97  1582.86
2015 02 26 20  1613.08  1585.36
2015 02 26 21  1620.69  1587.35
2015 02 26 22  1598.97  1582.31
2015 02 26 23  1597.95  1575.73
2015 02 27 00  1551.70  1562.82
2015 02 27 01  1496.85  1563.23
2015 02 27 02  1384.22  1566.13
2015 02 27 03  1391.33  1573.18
2015 02 27 04  1398.94  1586.00
2015 02 27 05  1483.37  1587.84
2015 02 27 06  1501.42  1589.40
2015 02 27 07  1501.98  1584.46
2015 02 27 08  1525.38  1585.87
2015 02 27 09  1504.79  1581.77
2015 02 27 10  1588.19  1577.19
2015 02 27 11  1639.25  1578.77
2015 02 27 12  1591.32  1574.83
2015 02 27 13  1599.21  1577.21
2015 02 27 14  1618.57  1580.08
