#AAA MM DD HH    Qaflu   Qdeflu
2015 02 16 19   157.47   157.73
2015 02 16 20   157.03   157.23
2015 02 16 21   156.79   156.91
2015 02 16 22   156.78   156.80
2015 02 16 23   157.00   156.91
2015 02 17 00   157.23   157.15
2015 02 17 01   157.53   157.42
2015 02 17 02   157.79   157.67
2015 02 17 03   157.93   157.87
2015 02 17 04   157.97   157.94
2015 02 17 05   157.81   157.87
2015 02 17 06   157.49   157.64
2015 02 17 07   156.95   157.19
2015 02 17 08   156.49   156.69
2015 02 17 09   155.60   156.01
2015 02 17 10   154.57   155.01
2015 02 17 11   153.39   153.92
2015 02 17 12   151.87   152.57
2015 02 17 13   150.59   151.18
2015 02 17 14   149.23   149.87
2015 02 17 15   147.93   148.54
2015 02 17 16   146.66   147.28
2015 02 17 17   145.38   146.04
2015 02 17 18   144.48   145.06
2015 02 17 19   143.68   144.23
2015 02 17 20   143.06   143.55
2015 02 17 21   142.61   143.01
2015 02 17 22   141.90   142.40
2015 02 17 23   141.72   141.93
2015 02 18 00   141.60   141.72
2015 02 18 01   141.67   141.67
2015 02 18 02   142.13   141.89
2015 02 18 03   142.33   142.18
2015 02 18 04   142.51   142.36
2015 02 18 05   142.71   142.56
2015 02 18 06   142.68   142.65
2015 02 18 07   142.49   142.58
2015 02 18 08   142.22   142.37
2015 02 18 09   141.74   142.01
2015 02 18 10   141.23   141.56
2015 02 18 11   140.55   140.98
2015 02 18 12   139.79   140.31
2015 02 18 13   139.01   139.56
2015 02 18 14   138.20   138.78
2015 02 18 15   137.37   137.95
2015 02 18 16   136.52   137.10
2015 02 18 17   135.61   136.25
2015 02 18 18   134.72   135.36
2015 02 18 19   133.88   134.52
2015 02 18 20   133.05   133.69
2015 02 18 21   132.21   132.85
2015 02 18 22   131.29   131.96
2015 02 18 23   130.46   131.10
2015 02 19 00   129.55   130.23
2015 02 19 01   128.67   129.31
2015 02 19 02   127.89   128.48
2015 02 19 03   126.94   127.59
2015 02 19 04   126.12   126.73
2015 02 19 05   125.24   125.85
2015 02 19 06   124.37   124.98
2015 02 19 07   123.50   124.12
2015 02 19 08   122.59   123.20
2015 02 19 09   121.70   122.31
2015 02 19 10   120.78   121.42
2015 02 19 11   119.91   120.52
2015 02 19 12   119.02   119.63
2015 02 19 13   118.16   118.77
2015 02 19 14   117.27   117.88
2015 02 19 15   116.40   117.01
2015 02 19 16   115.61   116.19
2015 02 19 17   114.79   115.37
2015 02 19 18   114.00   114.58
2015 02 19 19   113.29   113.84
2015 02 19 20   112.56   113.11
2015 02 19 21   111.96   112.45
2015 02 19 22   111.43   111.86
2015 02 19 23   110.93   111.30
2015 02 20 00   110.98   111.04
2015 02 20 01   111.38   111.17
2015 02 20 02   111.94   111.57
2015 02 20 03   112.52   112.12
2015 02 20 04   112.58   112.45
2015 02 20 05   112.12   112.34
2015 02 20 06   110.62   111.54
2015 02 20 07   108.69   114.24
2015 02 20 08   110.73   124.29
2015 02 20 09   106.89   132.52
2015 02 20 10   102.53   136.47
2015 02 20 11   102.17   131.74
2015 02 20 12    98.27   116.64
2015 02 20 13   100.50   103.56
2015 02 20 14   104.33    95.32
2015 02 20 15   104.73    92.25
2015 02 20 16   104.45    93.44
2015 02 20 17   104.00    95.96
2015 02 20 18   103.09    99.39
2015 02 20 19   101.01   104.30
2015 02 20 20    99.45   106.96
2015 02 20 21    97.32   108.19
2015 02 20 22    93.80   108.78
2015 02 20 23    90.38   107.66
2015 02 21 00    91.39   103.38
2015 02 21 01    92.19    95.57
2015 02 21 02    94.33    87.51
2015 02 21 03    96.31    83.43
2015 02 21 04    93.98    86.42
2015 02 21 05    92.22    92.97
2015 02 21 06    92.44    97.02
2015 02 21 07    93.52    97.28
2015 02 21 08    94.46    94.75
2015 02 21 09    95.85    92.23
2015 02 21 10    95.90    92.20
2015 02 21 11    96.15    92.19
2015 02 21 12    96.26    92.12
2015 02 21 13    96.29    92.15
2015 02 21 14    95.96    92.10
2015 02 21 15    95.65    92.15
2015 02 21 16    95.25    92.22
2015 02 21 17    94.71    92.23
2015 02 21 18    94.21    92.32
2015 02 21 19    93.72    92.32
2015 02 21 20    93.26    92.38
2015 02 21 21    92.83    92.42
2015 02 21 22    92.42    92.36
2015 02 21 23    92.04    92.13
2015 02 22 00    91.70    91.87
2015 02 22 01    91.58    91.61
2015 02 22 02    91.48    91.30
2015 02 22 03    91.27    91.07
2015 02 22 04    91.07    90.87
2015 02 22 05    90.71    90.69
2015 02 22 06    90.40    90.61
2015 02 22 07    90.22    90.59
2015 02 22 08    90.20    90.55
2015 02 22 09    90.23    90.49
2015 02 22 10    90.25    90.45
2015 02 22 11    90.41    90.32
2015 02 22 12    90.58    90.05
2015 02 22 13    90.87    89.78
2015 02 22 14    91.53    89.53
2015 02 22 15    92.04    89.57
2015 02 22 16    92.37    90.10
2015 02 22 17    92.64    90.62
2015 02 22 18    92.55    91.12
2015 02 22 19    92.31    91.46
2015 02 22 20    91.98    91.46
2015 02 22 21    91.35    91.48
2015 02 22 22    90.55    91.50
2015 02 22 23    89.81    91.12
2015 02 23 00    89.30    90.21
2015 02 23 01    88.85    89.24
2015 02 23 02    88.55    88.30
2015 02 23 03    88.44    87.76
2015 02 23 04    88.26    87.74
2015 02 23 05    88.14    87.74
2015 02 23 06    88.01    87.71
2015 02 23 07    87.91    87.69
2015 02 23 08    87.85    87.70
2015 02 23 09    87.92    87.71
2015 02 23 10    88.07    87.67
2015 02 23 11    88.27    87.60
2015 02 23 12    88.48    87.54
2015 02 23 13    88.86    87.52
2015 02 23 14    89.41    87.55
2015 02 23 15    90.10    87.62
2015 02 23 16    90.93    87.69
2015 02 23 17    91.70    87.73
2015 02 23 18    92.55    88.77
2015 02 23 19    93.43    90.03
2015 02 23 20    94.32    91.57
2015 02 23 21    95.37    94.76
2015 02 23 22    96.48    97.02
2015 02 23 23    97.54    99.03
2015 02 24 00    98.61   100.75
2015 02 24 01    99.64   100.83
2015 02 24 02   100.51   100.82
2015 02 24 03   101.42   100.80
2015 02 24 04   102.15   100.81
2015 02 24 05   102.72   100.79
2015 02 24 06   103.09   100.83
2015 02 24 07   103.21   100.80
2015 02 24 08   103.20   100.85
2015 02 24 09   103.31   101.29
2015 02 24 10   103.40   101.69
2015 02 24 11   103.63   102.13
2015 02 24 12   104.12   102.53
2015 02 24 13   104.60   102.55
2015 02 24 14   105.55   103.63
2015 02 24 15   106.81   105.62
2015 02 24 16   108.34   108.10
2015 02 24 17   109.82   110.58
2015 02 24 18   110.89   112.05
2015 02 24 19   111.55   112.56
2015 02 24 20   111.75   112.54
2015 02 24 21   111.81   112.51
2015 02 24 22   111.75   112.46
2015 02 24 23   111.72   112.48
2015 02 25 00   111.55   112.46
2015 02 25 01   111.35   112.51
2015 02 25 02   111.18   112.40
2015 02 25 03   110.80   111.60
2015 02 25 04   110.35   110.68
2015 02 25 05   109.77   109.65
2015 02 25 06   109.17   108.80
2015 02 25 07   108.52   108.58
2015 02 25 08   108.01   108.55
2015 02 25 09   107.44   108.51
2015 02 25 10   106.84   108.43
2015 02 25 11   106.28   108.05
2015 02 25 12   105.80   107.51
2015 02 25 13   105.41   106.69
2015 02 25 14   105.15   105.52
2015 02 25 15   105.08   104.68
2015 02 25 16   105.10   104.00
2015 02 25 17   105.28   103.63
2015 02 25 18   105.62   103.66
2015 02 25 19   105.84   103.88
2015 02 25 20   106.20   104.46
2015 02 25 21   106.36   105.44
2015 02 25 22   106.42   106.42
2015 02 25 23   106.33   107.25
2015 02 26 00   106.02   107.73
2015 02 26 01   105.73   107.77
2015 02 26 02   105.27   107.84
2015 02 26 03   104.88   107.88
2015 02 26 04   104.22   107.80
2015 02 26 05   103.49   107.79
2015 02 26 06   102.53   107.69
2015 02 26 07   101.63   107.62
2015 02 26 08   100.68   107.56
2015 02 26 09    99.61   107.39
2015 02 26 10    99.39   105.32
2015 02 26 11    99.62   101.52
2015 02 26 12    99.88    98.22
2015 02 26 13   100.67    96.10
2015 02 26 14   101.81    97.65
2015 02 26 15   101.22   102.09
2015 02 26 16   100.52   105.29
2015 02 26 17    99.46   106.88
2015 02 26 18    98.18   105.28
2015 02 26 19    98.27   102.05
2015 02 26 20    98.98    99.60
2015 02 26 21   100.25    97.71
2015 02 26 22   101.20    97.32
2015 02 26 23   102.46    97.38
2015 02 27 00   104.01    97.49
2015 02 27 01   105.33    97.54
2015 02 27 02   106.37    97.65
2015 02 27 03   106.72    98.93
2015 02 27 04   106.25   100.81
2015 02 27 05   104.75   104.54
2015 02 27 06   102.98   108.17
2015 02 27 07   101.17   110.60
2015 02 27 08    99.10   112.40
2015 02 27 09    99.72   109.95
2015 02 27 10   100.54   107.42
2015 02 27 11   101.99   104.87
2015 02 27 12   103.74    95.23
2015 02 27 13   103.92    88.01
2015 02 27 14   104.10    88.42
2015 02 27 15   105.29    91.08
2015 02 27 16   106.37   101.97
2015 02 27 17   106.73   112.85
2015 02 27 18   106.76   116.17
2015 02 27 19   105.29   117.26
2015 02 27 20   103.77   117.22
2015 02 27 21   105.88   114.08
2015 02 27 22   108.99   107.87
2015 02 27 23   113.06   102.53
2015 02 28 00   117.28   101.14
2015 02 28 01   119.48   104.38
2015 02 28 02   121.30   112.77
2015 02 28 03   123.33   121.41
2015 02 28 04   126.39   127.71
2015 02 28 05   131.14   127.29
2015 02 28 06   132.29   118.84
2015 02 28 07   141.27   128.25
2015 02 28 08   150.19   136.78
2015 02 28 09   156.05   149.57
2015 02 28 10   165.63   168.16
2015 02 28 11   166.99   168.02
2015 02 28 12   168.61   167.82
2015 02 28 13   171.68   169.63
2015 02 28 14   175.76   172.86
2015 02 28 15   180.97   177.33
2015 02 28 16   186.58   182.61
2015 02 28 17   192.23   188.20
2015 02 28 18   197.32   193.59
2015 02 28 19   201.70   198.46
2015 02 28 20   205.24   202.58
2015 02 28 21   208.20   206.00
2015 02 28 22   211.08   209.03
2015 02 28 23   213.50   211.72
2015 03 01 00   215.75   214.13
2015 03 01 01   217.51   216.20
2015 03 01 02   218.65   217.80
2015 03 01 03   219.53   218.93
2015 03 01 04   220.08   219.75
2015 03 01 05   220.79   220.45
2015 03 01 06   222.42   221.63
2015 03 01 07   224.89   223.72
2015 03 01 08   229.04   227.09
2015 03 01 09   235.35   232.40
2015 03 01 10   243.48   239.68
2015 03 01 11   253.61   248.88
2015 03 01 12   265.03   259.69
2015 03 01 13   276.14   270.97
2015 03 01 14   285.62   281.28
2015 03 01 15   292.88   289.64
2015 03 01 16   297.32   295.46
2015 03 01 17   299.39   298.60
2015 03 01 18   299.74   299.68
2015 03 01 19   298.53   299.08
2015 03 01 20   296.18   297.17
2015 03 01 21   293.25   294.50
2015 03 01 22   289.99   291.39
2015 03 01 23   286.68   288.09
2015 03 02 00   283.38   284.78
2015 03 02 01   280.03   281.48
2015 03 02 02   276.57   278.12
2015 03 02 03   273.06   274.69
2015 03 02 04   269.51   271.20
2015 03 02 05   265.97   267.63
2015 03 02 06   262.45   264.08
2015 03 02 07   259.02   260.62
2015 03 02 08   255.83   257.32
2015 03 02 09   252.70   254.16
2015 03 02 10   249.63   251.06
2015 03 02 11   246.86   248.14
2015 03 02 12   244.06   245.35
2015 03 02 13   241.42   242.65
2015 03 02 14   239.05   240.16
2015 03 02 15   236.68   237.79
2015 03 02 16   234.51   235.53
2015 03 02 17   232.53   233.47
2015 03 02 18   230.60   231.50
2015 03 02 19   228.77   229.65
2015 03 02 20   226.93   227.80
2015 03 02 21   225.01   225.91
2015 03 02 22   223.17   224.05
2015 03 02 23   220.30   221.79
2015 03 03 00   218.71   219.63
2015 03 03 01   217.04   218.00
2015 03 03 02   215.54   216.51
2015 03 03 03   214.99   215.45
2015 03 03 04   213.37   214.41
2015 03 03 05   205.26   206.30
2015 03 03 06   167.27   168.40
2015 03 03 07   154.42   155.59
2015 03 03 08   152.61   153.87
2015 03 03 09   157.41   158.69
2015 03 03 10   191.71   193.08
2015 03 03 11   200.92   202.26
2015 03 03 12   199.02   200.31
2015 03 03 13   197.09   198.38
2015 03 03 14   195.51   196.61
2015 03 03 15   193.00   194.61
2015 03 03 16   191.73   192.70
2015 03 03 17   190.39   191.31
2015 03 03 18   189.02   189.96
2015 03 03 19   188.65   189.01
2015 03 03 20   187.06   188.04
2015 03 03 21   185.68   186.66
2015 03 03 22   184.29   185.27
2015 03 03 23   181.64   183.41
2015 03 04 00   181.90   181.41
2015 03 04 01   172.30   166.25
2015 03 04 02   176.61   173.18
2015 03 04 03   180.80   177.87
