#AAA MM DD HH    Qaflu   Qdeflu
2015 03 07 15    49.19    79.60
2015 03 07 16    49.34    79.76
2015 03 07 17    50.26    79.78
2015 03 07 18    52.05    79.78
2015 03 07 19    52.75    79.59
2015 03 07 20    51.24    78.96
2015 03 07 21    49.74    78.37
2015 03 07 22    50.94    77.77
2015 03 07 23    51.41    77.35
2015 03 08 00    52.79    76.05
2015 03 08 01    52.12    71.80
2015 03 08 02    51.44    67.54
2015 03 08 03    54.33    63.28
2015 03 08 04    53.20    60.36
2015 03 08 05    52.32    60.37
2015 03 08 06    54.12    60.38
2015 03 08 07    51.97    60.91
2015 03 08 08    62.18    66.65
2015 03 08 09    64.92    72.08
2015 03 08 10    63.04    77.35
2015 03 08 11    57.59    81.74
2015 03 08 12    49.58    80.89
2015 03 08 13    47.24    80.34
2015 03 08 14    48.62    79.93
2015 03 08 15    51.28    79.91
2015 03 08 16    46.79    79.89
2015 03 08 17    51.26    79.88
2015 03 08 18    49.48    79.89
2015 03 08 19    47.69    79.89
2015 03 08 20    48.60    79.91
2015 03 08 21    45.92    79.91
2015 03 08 22    47.74    79.94
2015 03 08 23    50.43    79.95
2015 03 09 00    50.93    79.56
2015 03 09 01    49.00    74.05
2015 03 09 02    47.47    67.15
2015 03 09 03    46.35    50.83
2015 03 09 04    49.18    33.08
2015 03 09 05    51.74    20.43
2015 03 09 06    52.10     9.16
2015 03 09 07    53.84     7.32
2015 03 09 08    56.51    11.78
2015 03 09 09    57.86    27.44
2015 03 09 10    52.05    43.11
2015 03 09 11    44.46    58.77
2015 03 09 12    29.71    69.97
2015 03 09 13    27.05    69.99
2015 03 09 14    32.44    70.01
2015 03 09 15    31.57    70.03
2015 03 09 16    39.45    69.87
2015 03 09 17    37.18    69.38
2015 03 09 18    36.69    68.89
2015 03 09 19    44.25    68.40
2015 03 09 20    39.95    67.68
2015 03 09 21    35.88    67.19
2015 03 09 22    32.72    66.71
2015 03 09 23    33.14    66.23
2015 03 10 00    39.10    66.82
2015 03 10 01    42.09    68.03
2015 03 10 02    42.58    66.73
2015 03 10 03    41.37    62.83
2015 03 10 04    42.04    58.14
2015 03 10 05    30.37    52.73
2015 03 10 06    46.16    49.74
2015 03 10 07    44.88    49.35
2015 03 10 08    50.00    49.11
2015 03 10 09    66.95    49.06
2015 03 10 10    46.41    49.09
2015 03 10 11    45.57    49.15
2015 03 10 12    37.57    49.20
2015 03 10 13    38.51    49.24
2015 03 10 14    46.59    49.27
2015 03 10 15    43.90    49.27
2015 03 10 16    43.90    49.27
2015 03 10 17    41.22    49.27
2015 03 10 18    39.34    50.07
2015 03 10 19    40.24    51.87
2015 03 10 20    37.66    54.65
2015 03 10 21    31.43    58.27
2015 03 10 22    34.59    61.42
2015 03 10 23    39.58    63.73
2015 03 11 00    47.91    64.91
2015 03 11 01    44.87    51.14
2015 03 11 02    42.06    36.69
2015 03 11 03    39.10    22.10
2015 03 11 04    33.60     7.66
2015 03 11 05    32.38     7.34
2015 03 11 06    47.59     7.34
2015 03 11 07    50.28     7.34
2015 03 11 08    57.44     7.35
2015 03 11 09    66.03    15.94
2015 03 11 10    51.45    26.41
2015 03 11 11    50.27    36.85
2015 03 11 12    37.47    47.31
2015 03 11 13    36.65    49.18
2015 03 11 14    35.74    49.16
2015 03 11 15    33.97    49.17
2015 03 11 16    41.12    49.18
2015 03 11 17    40.22    49.17
2015 03 11 18    38.45    49.18
2015 03 11 19    42.03    49.19
2015 03 11 20    40.23    49.17
2015 03 11 21    41.13    49.18
2015 03 11 22    39.34    49.18
2015 03 11 23    36.65    49.17
2015 03 12 00    35.77    49.18
2015 03 12 01    36.66    49.18
2015 03 12 02    40.24    49.18
2015 03 12 03    41.14    49.19
2015 03 12 04    42.04    49.19
2015 03 12 05    40.26    49.20
2015 03 12 06    40.20    49.14
2015 03 12 07    40.73    49.67
2015 03 12 08    50.35    50.35
2015 03 12 09    52.97    51.19
2015 03 12 10    50.30    52.09
2015 03 12 11    48.82    52.40
2015 03 12 12    37.37    52.58
2015 03 12 13    35.70    52.70
2015 03 12 14    36.11    54.00
2015 03 12 15    38.76    60.23
2015 03 12 16    41.38    66.42
2015 03 12 17    38.53    72.52
2015 03 12 18    38.09    77.44
2015 03 12 19    37.08    77.33
2015 03 12 20    38.77    77.23
2015 03 12 21    40.43    77.10
2015 03 12 22    41.21    76.99
2015 03 12 23    39.42    76.99
2015 03 13 00    39.06    77.52
2015 03 13 01    42.11    78.78
2015 03 13 02    46.04    80.03
2015 03 13 03    49.94    81.25
2015 03 13 04    52.42    81.94
2015 03 13 05    54.18    81.91
2015 03 13 06    56.83    81.87
2015 03 13 07    55.92    81.86
2015 03 13 08    63.96    81.85
2015 03 13 09    63.66    81.55
2015 03 13 10    59.13    80.60
2015 03 13 11    54.69    79.73
2015 03 13 12    37.71    78.85
2015 03 13 13    34.82    77.76
2015 03 13 14    35.28    77.32
2015 03 13 15    35.67    76.82
2015 03 13 16    40.54    76.32
2015 03 13 17    39.65    76.32
2015 03 13 18    38.76    76.33
2015 03 13 19    40.41    76.19
2015 03 13 20    41.61    75.60
2015 03 13 21    40.54    74.53
2015 03 13 22    40.36    73.46
2015 03 13 23    42.09    72.51
2015 03 14 00    40.71    72.02
2015 03 14 01    41.61    72.02
2015 03 14 02    42.49    72.01
2015 03 14 03    39.82    72.02
2015 03 14 04    42.51    72.03
2015 03 14 05    43.40    72.03
2015 03 14 06    40.25    71.55
2015 03 14 07    44.15    70.99
2015 03 14 08    51.64    70.43
2015 03 14 09    52.87    69.87
2015 03 14 10    55.47    69.79
2015 03 14 11    50.11    69.78
2015 03 14 12    34.89    69.78
2015 03 14 13    34.00    69.78
2015 03 14 14    33.11    69.78
2015 03 14 15    35.73    69.72
2015 03 14 16    38.43    69.74
2015 03 14 17    35.75    69.74
2015 03 14 18    35.76    69.76
2015 03 14 19    34.95    69.84
2015 03 14 20    37.65    69.85
2015 03 14 21    39.44    69.85
2015 03 14 22    38.56    69.86
2015 03 14 23    39.45    69.87
2015 03 15 00    37.66    69.87
2015 03 15 01    38.57    69.88
2015 03 15 02    40.35    69.87
2015 03 15 03    40.35    69.87
2015 03 15 04    42.14    69.87
2015 03 15 05    41.26    69.88
2015 03 15 06    40.36    69.88
2015 03 15 07    39.45    69.87
2015 03 15 08    41.22    69.85
2015 03 15 09    43.88    69.83
