#AAA MM DD HH    Qaflu   Qdeflu
2015 02 16 10   170.85   171.55
2015 02 16 11   170.75   171.69
2015 02 16 12   170.63   171.80
2015 02 16 13   170.10   171.74
2015 02 16 14   169.77   171.64
2015 02 16 15   162.85   170.57
2015 02 16 16   151.59   167.27
2015 02 16 17   140.20   161.96
2015 02 16 18   129.09   155.29
2015 02 16 19   124.44   148.54
2015 02 16 20   124.98   143.47
2015 02 16 21   124.86   140.06
2015 02 16 22   124.77   137.62
2015 02 16 23   124.76   135.92
2015 02 17 00   123.76   134.65
2015 02 17 01   125.18   133.71
2015 02 17 02   136.25   133.23
2015 02 17 03   148.32   133.65
2015 02 17 04   160.63   135.47
2015 02 17 05   171.05   138.89
2015 02 17 06   171.78   143.70
2015 02 17 07   172.11   149.18
2015 02 17 08   170.96   154.35
2015 02 17 09   161.96   157.51
2015 02 17 10   147.20   157.26
2015 02 17 11   132.13   153.65
2015 02 17 12   118.24   147.96
2015 02 17 13   112.68   142.15
2015 02 17 14   112.17   138.04
2015 02 17 15   111.77   135.90
2015 02 17 16   111.59   134.93
2015 02 17 17   111.56   134.58
2015 02 17 18   111.59   134.37
2015 02 17 19   116.69   133.95
2015 02 17 20   121.86   133.37
2015 02 17 21   126.94   132.70
2015 02 17 22   132.30   132.07
2015 02 17 23   132.50   131.58
2015 02 18 00   132.55   131.17
2015 02 18 01   139.37   130.85
2015 02 18 02   147.53   130.73
2015 02 18 03   155.67   130.82
2015 02 18 04   164.19   131.20
2015 02 18 05   165.37   132.50
2015 02 18 06   165.61   134.93
2015 02 18 07   165.67   138.59
2015 02 18 08   161.53   142.81
2015 02 18 09   153.46   145.97
2015 02 18 10   137.18   146.53
2015 02 18 11   113.41   143.94
2015 02 18 12   100.02   140.22
2015 02 18 13    94.93   136.68
2015 02 18 14    97.75   134.49
2015 02 18 15   118.16   134.04
2015 02 18 16   134.03   133.80
2015 02 18 17   146.22   133.56
2015 02 18 18   158.36   133.51
2015 02 18 19   160.76   133.77
2015 02 18 20   161.44   134.80
2015 02 18 21   161.83   136.72
2015 02 18 22   162.15   139.50
2015 02 18 23   162.30   142.88
2015 02 19 00   162.26   146.35
2015 02 19 01   161.95   149.55
2015 02 19 02   162.01   152.18
2015 02 19 03   161.83   154.35
2015 02 19 04   161.90   156.05
2015 02 19 05   161.73   157.29
2015 02 19 06   161.69   158.18
2015 02 19 07   161.65   158.85
2015 02 19 08   163.65   159.68
2015 02 19 09   165.75   161.08
2015 02 19 10   167.61   162.93
2015 02 19 11   169.72   165.04
2015 02 19 12   169.54   166.97
2015 02 19 13   169.72   168.32
2015 02 19 14   169.69   168.99
2015 02 19 15   169.47   169.24
2015 02 19 16   169.21   169.21
2015 02 19 17   169.20   168.97
2015 02 19 18   169.87   168.93
2015 02 19 19   170.30   169.13
2015 02 19 20   170.71   169.31
2015 02 19 21   171.23   169.59
2015 02 19 22   171.04   169.87
2015 02 19 23   170.93   169.99
2015 02 20 00   171.29   170.12
2015 02 20 01   170.98   170.28
2015 02 20 02   170.82   170.35
2015 02 20 03   170.89   170.42
2015 02 20 04   169.65   170.35
2015 02 20 05   167.44   169.78
2015 02 20 06   165.19   168.69
2015 02 20 07   162.79   167.23
2015 02 20 08   161.16   165.61
2015 02 20 09   160.65   164.16
2015 02 20 10   160.26   163.07
2015 02 20 11   160.25   162.36
2015 02 20 12   159.75   161.85
2015 02 20 13   160.63   161.57
2015 02 20 14   160.77   161.47
2015 02 20 15   160.64   161.34
2015 02 20 16   161.29   161.29
2015 02 20 17   160.77   161.23
2015 02 20 18   160.91   161.14
2015 02 20 19   161.12   161.12
2015 02 20 20   161.11   161.11
