datahora,pme_0,pme_1,pme_2,pme_3,pme_4,pme_5,pme_6,pme_7,pme_8,pme_9,pme_10,pme_11,pme_12,pme_13,pme_14,pme_15,pme_16,pme_17,pme_18,pme_19,pme_20,pme_21,pme_22,pme_23,pme_24,pme_25,pme_26,pme_27,pme_28,pme_29,pme_30,pme_31,pme_32,pme_33,pme_34,pme_35,pme_36,pme_37,pme_38,pme_39,pme_40,pme_41,pme_42,pme_43,pme_44,pme_45,pme_46,pme_47,pme_48,pme_49,pme_50,etp
2021-08-06 18:00:00+00:00,0.001,0.000,0.008,0.000,0.004,0.006,0.001,0.000,0.001,0.001,0.000,0.001,0.000,0.003,0.001,0.007,0.002,0.002,0.000,0.000,0.002,0.002,0.001,0.001,0.001,0.001,0.000,0.001,0.000,0.001,0.002,0.002,0.001,0.020,0.002,0.000,0.002,0.001,0.009,0.000,0.001,0.002,0.001,0.001,0.001,0.001,0.006,0.001,0.001,0.001,0.057,1.654
2021-08-07 00:00:00+00:00,0.000,0.000,0.000,0.000,0.018,0.000,0.000,0.000,0.000,0.009,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.002,0.000,0.008,0.000,0.002,0.000,0.021,0.000,0.000,0.000,0.000,0.000,0.008,0.000,0.000,0.000,0.018,0.059,0.052,0.000,0.000,0.000,0.000,0.000,0.029,0.001,0.005,0.000,0.013,0.196,0.000,0.013,0.000,0.000,0.038
2021-08-07 06:00:00+00:00,0.004,0.007,0.008,0.005,0.008,0.009,0.004,0.022,0.003,0.004,0.012,0.012,0.001,0.010,0.005,0.042,0.003,0.003,0.005,0.002,0.046,0.008,0.001,0.018,0.000,0.024,0.006,0.004,0.004,0.004,0.000,0.019,0.005,0.014,0.002,0.012,0.011,0.036,0.003,0.009,0.005,0.001,0.001,0.017,0.002,0.016,0.009,0.002,0.230,0.008,0.006,0.022
2021-08-07 12:00:00+00:00,0.101,0.129,0.113,0.146,0.150,0.115,0.100,0.054,0.087,0.085,0.050,0.112,0.100,0.100,0.093,0.091,0.077,0.067,0.082,0.085,0.040,0.265,0.065,0.168,0.123,0.049,0.125,0.161,0.119,0.151,0.075,0.154,0.119,0.080,0.080,0.048,0.090,0.080,0.089,0.100,0.064,0.031,0.091,0.107,0.097,0.136,0.059,0.118,0.114,0.119,0.087,0.682
2021-08-07 18:00:00+00:00,0.016,0.035,0.013,0.037,0.440,0.039,0.046,0.393,0.020,0.004,0.059,0.007,0.005,0.011,0.015,0.284,0.041,0.144,0.015,0.011,0.115,0.022,0.024,0.048,0.040,0.006,0.006,0.116,0.031,0.024,0.034,0.106,0.019,0.039,0.027,0.026,0.007,0.014,0.011,0.034,0.046,0.024,0.103,0.046,0.004,0.005,0.023,0.003,0.036,0.030,0.213,1.674
2021-08-08 00:00:00+00:00,0.021,0.003,0.001,0.004,0.097,0.012,0.040,0.777,0.084,0.000,0.007,0.001,0.003,0.001,0.070,0.363,0.011,0.019,0.000,0.750,0.069,0.000,0.000,0.016,0.000,0.003,0.010,0.052,0.035,0.000,0.001,0.013,0.068,0.044,0.005,0.002,0.121,0.013,0.000,0.015,0.029,0.249,0.260,0.014,0.002,0.000,0.007,0.001,0.006,0.002,0.029,0.086
2021-08-08 06:00:00+00:00,0.000,0.001,0.000,0.000,0.005,0.000,0.000,0.000,0.000,0.000,0.005,0.001,0.000,0.001,0.002,0.001,0.000,0.000,0.001,0.000,0.003,0.002,0.000,0.000,0.000,0.001,0.000,0.001,0.001,0.000,0.000,0.001,0.005,0.000,0.002,0.000,0.000,0.000,0.000,0.001,0.000,0.002,0.002,0.001,0.000,0.000,0.000,0.001,0.001,0.002,0.000,0.030
2021-08-08 12:00:00+00:00,0.030,0.066,0.094,0.002,0.045,0.028,0.029,0.026,0.021,0.030,0.056,0.070,0.036,0.056,0.047,0.027,0.060,0.001,0.000,0.029,0.044,0.058,0.030,0.037,0.068,0.013,0.028,0.085,0.035,0.010,0.036,0.014,0.025,0.056,0.088,0.051,0.009,0.056,0.001,0.095,0.002,0.060,0.032,0.028,0.072,0.031,0.022,0.030,0.034,0.047,0.060,0.823
2021-08-08 18:00:00+00:00,0.001,0.002,0.005,0.000,0.000,0.003,0.000,0.004,0.003,0.002,0.001,0.005,0.001,0.005,0.002,0.056,0.011,0.004,0.001,0.006,0.001,0.000,0.002,0.003,0.001,0.000,0.001,0.016,0.000,0.003,0.002,0.002,0.002,0.001,0.001,0.003,0.001,0.000,0.000,0.018,0.014,0.016,0.032,0.019,0.001,0.004,0.001,0.002,0.017,0.005,0.069,1.611
2021-08-09 00:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.014,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.004,0.002,0.003,0.001,0.004,0.000,0.000,0.000,0.001,0.005,0.069
2021-08-09 06:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.040
2021-08-09 12:00:00+00:00,0.000,0.001,0.002,0.000,0.000,0.001,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.007,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.006,0.001,0.000,0.000,0.000,0.000,0.000,0.754
2021-08-09 18:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.574
2021-08-10 00:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.069
2021-08-10 06:00:00+00:00,0.000,0.001,0.000,0.000,0.475,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.019
2021-08-10 12:00:00+00:00,0.000,0.000,0.000,0.000,0.095,0.000,0.000,0.318,0.001,0.000,0.000,0.001,0.000,0.003,0.000,0.000,0.019,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.006,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.852
2021-08-10 18:00:00+00:00,0.000,0.000,0.003,0.000,0.893,0.000,0.023,0.000,0.000,0.184,0.000,0.000,0.000,0.013,0.030,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.009,0.002,0.001,0.000,0.012,0.000,0.000,0.000,0.001,0.005,0.000,0.000,0.000,0.049,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,1.546
2021-08-11 00:00:00+00:00,0.301,0.006,0.074,0.508,0.713,0.400,1.396,2.062,0.000,1.888,0.734,0.000,0.020,1.432,1.382,0.000,1.374,0.000,0.000,0.011,1.922,0.000,0.000,0.958,0.140,0.463,0.033,1.328,0.002,0.000,0.000,0.000,1.895,0.010,0.000,0.000,0.456,2.171,0.001,0.000,2.280,0.033,0.000,0.000,0.252,0.582,0.001,0.000,0.000,0.000,0.007,0.057
