datahora,pme_0,pme_1,pme_2,pme_3,pme_4,pme_5,pme_6,pme_7,pme_8,pme_9,pme_10,pme_11,pme_12,pme_13,pme_14,pme_15,pme_16,pme_17,pme_18,pme_19,pme_20,pme_21,pme_22,pme_23,pme_24,pme_25,pme_26,pme_27,pme_28,pme_29,pme_30,pme_31,pme_32,pme_33,pme_34,pme_35,pme_36,pme_37,pme_38,pme_39,pme_40,pme_41,pme_42,pme_43,pme_44,pme_45,pme_46,pme_47,pme_48,pme_49,pme_50,etp
2021-09-10 18:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.935
2021-09-11 00:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.185
2021-09-11 06:00:00+00:00,0.000,0.000,0.078,0.022,0.000,0.007,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.008,0.000,0.059,0.000,0.000,0.000,0.000,0.000,0.000,0.138,0.000,0.000,0.000,0.000,0.007,0.000,0.000,0.000,0.001,0.000,0.000,0.115,0.000,0.008,0.000,0.000,0.000,0.041,0.001,0.000,0.019,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.083
2021-09-11 12:00:00+00:00,0.000,0.000,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.035,0.000,0.000,0.000,0.013,0.004,0.000,0.000,0.000,0.000,0.000,0.092,0.000,0.034,0.000,0.000,0.027,0.000,0.000,0.000,0.090,0.000,0.007,0.001,0.000,0.005,0.218,0.014,0.000,0.044,0.000,0.000,0.074,0.000,0.000,0.092,0.027,1.529
2021-09-11 18:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.008,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.011,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.007,0.004,2.213
2021-09-12 00:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.011,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.671,0.003,0.196
2021-09-12 06:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.233,0.000,0.139
2021-09-12 12:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.002,0.000,0.003,0.000,0.001,0.000,0.005,0.011,0.000,0.009,0.023,0.000,0.000,0.003,0.008,0.007,0.000,0.000,0.000,0.006,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.019,0.000,0.001,0.000,0.000,0.001,0.007,0.001,0.002,0.001,0.002,1.010
2021-09-12 18:00:00+00:00,0.001,0.026,0.005,0.026,0.000,0.000,0.002,0.002,0.047,0.004,0.001,0.003,0.000,0.000,0.051,0.001,0.171,0.008,0.028,0.016,0.013,0.001,0.039,0.017,0.000,0.027,0.002,0.048,0.005,0.004,0.058,0.002,0.000,0.003,0.000,0.002,0.001,0.006,0.002,0.015,0.032,0.008,0.022,0.016,0.000,0.000,0.023,0.007,0.013,0.170,0.001,1.400
2021-09-13 00:00:00+00:00,0.032,0.012,0.006,0.011,0.001,0.000,0.012,0.013,0.000,0.013,0.016,0.000,0.000,0.007,0.000,0.000,0.112,0.000,0.000,0.034,0.022,0.001,0.047,0.003,0.095,0.017,0.001,0.007,0.000,0.001,0.109,0.002,0.000,0.000,0.011,0.000,0.001,0.000,0.000,0.002,0.000,0.000,0.062,0.007,0.000,0.000,0.000,0.000,0.201,0.017,0.000,0.135
