fid,id,x,y
"2952","2951",-51.4410000000001,-25.8218
"2953","2952",-51.4010000000001,-25.8218
"2954","2953",-51.3610000000001,-25.8218
"2955","2954",-51.3210000000001,-25.8218
"2956","2955",-51.2810000000001,-25.8218
"3086","3085",-51.5610000000001,-25.8618
"3087","3086",-51.5210000000001,-25.8618
"3088","3087",-51.4810000000001,-25.8618
"3089","3088",-51.4410000000001,-25.8618
"3090","3089",-51.4010000000001,-25.8618
"3091","3090",-51.3610000000001,-25.8618
"3092","3091",-51.3210000000001,-25.8618
"3093","3092",-51.2810000000001,-25.8618
"3094","3093",-51.2410000000001,-25.8618
"3095","3094",-51.2010000000001,-25.8618
"3096","3095",-51.1610000000001,-25.8618
"3097","3096",-51.1210000000001,-25.8618
"3098","3097",-51.0810000000001,-25.8618
"3099","3098",-51.0410000000001,-25.8618
"3223","3222",-51.5610000000001,-25.9018
"3224","3223",-51.5210000000001,-25.9018
"3225","3224",-51.4810000000001,-25.9018
"3226","3225",-51.4410000000001,-25.9018
"3227","3226",-51.4010000000001,-25.9018
"3228","3227",-51.3610000000001,-25.9018
"3229","3228",-51.3210000000001,-25.9018
"3230","3229",-51.2810000000001,-25.9018
"3231","3230",-51.2410000000001,-25.9018
"3232","3231",-51.2010000000001,-25.9018
"3233","3232",-51.1610000000001,-25.9018
"3234","3233",-51.1210000000001,-25.9018
"3235","3234",-51.0810000000001,-25.9018
"3236","3235",-51.0410000000001,-25.9018
"3359","3358",-51.6010000000001,-25.9418
"3360","3359",-51.5610000000001,-25.9418
"3361","3360",-51.5210000000001,-25.9418
"3362","3361",-51.4810000000001,-25.9418
"3363","3362",-51.4410000000001,-25.9418
"3364","3363",-51.4010000000001,-25.9418
"3365","3364",-51.3610000000001,-25.9418
"3366","3365",-51.3210000000001,-25.9418
"3367","3366",-51.2810000000001,-25.9418
"3368","3367",-51.2410000000001,-25.9418
"3369","3368",-51.2010000000001,-25.9418
"3370","3369",-51.1610000000001,-25.9418
"3371","3370",-51.1210000000001,-25.9418
"3372","3371",-51.0810000000001,-25.9418
"3373","3372",-51.0410000000001,-25.9418
"3374","3373",-51.0010000000001,-25.9418
"3375","3374",-50.9610000000001,-25.9418
"3495","3494",-51.6410000000001,-25.9818
"3496","3495",-51.6010000000001,-25.9818
"3497","3496",-51.5610000000001,-25.9818
"3498","3497",-51.5210000000001,-25.9818
"3499","3498",-51.4810000000001,-25.9818
"3500","3499",-51.4410000000001,-25.9818
"3501","3500",-51.4010000000001,-25.9818
"3502","3501",-51.3610000000001,-25.9818
"3503","3502",-51.3210000000001,-25.9818
"3504","3503",-51.2810000000001,-25.9818
"3505","3504",-51.2410000000001,-25.9818
"3506","3505",-51.2010000000001,-25.9818
"3507","3506",-51.1610000000001,-25.9818
"3508","3507",-51.1210000000001,-25.9818
"3509","3508",-51.0810000000001,-25.9818
"3510","3509",-51.0410000000001,-25.9818
"3511","3510",-51.0010000000001,-25.9818
"3512","3511",-50.9610000000001,-25.9818
"3632","3631",-51.6410000000001,-26.0218
"3633","3632",-51.6010000000001,-26.0218
"3634","3633",-51.5610000000001,-26.0218
"3635","3634",-51.5210000000001,-26.0218
"3636","3635",-51.4810000000001,-26.0218
"3637","3636",-51.4410000000001,-26.0218
"3638","3637",-51.4010000000001,-26.0218
"3639","3638",-51.3610000000001,-26.0218
"3640","3639",-51.3210000000001,-26.0218
"3641","3640",-51.2810000000001,-26.0218
"3642","3641",-51.2410000000001,-26.0218
"3643","3642",-51.2010000000001,-26.0218
"3644","3643",-51.1610000000001,-26.0218
"3645","3644",-51.1210000000001,-26.0218
"3646","3645",-51.0810000000001,-26.0218
"3647","3646",-51.0410000000001,-26.0218
"3648","3647",-51.0010000000001,-26.0218
"3649","3648",-50.9610000000001,-26.0218
"3650","3649",-50.9210000000001,-26.0218
"3769","3768",-51.6410000000001,-26.0618
"3770","3769",-51.6010000000001,-26.0618
"3771","3770",-51.5610000000001,-26.0618
"3772","3771",-51.5210000000001,-26.0618
"3773","3772",-51.4810000000001,-26.0618
"3774","3773",-51.4410000000001,-26.0618
"3775","3774",-51.4010000000001,-26.0618
"3776","3775",-51.3610000000001,-26.0618
"3777","3776",-51.3210000000001,-26.0618
"3778","3777",-51.2810000000001,-26.0618
"3779","3778",-51.2410000000001,-26.0618
"3780","3779",-51.2010000000001,-26.0618
"3781","3780",-51.1610000000001,-26.0618
"3782","3781",-51.1210000000001,-26.0618
"3783","3782",-51.0810000000001,-26.0618
"3784","3783",-51.0410000000001,-26.0618
"3785","3784",-51.0010000000001,-26.0618
"3786","3785",-50.9610000000001,-26.0618
"3787","3786",-50.9210000000001,-26.0618
"3905","3904",-51.6810000000001,-26.1018
