fid,id,x,y
"2088","2087",-53.121,-25.5818
"2225","2224",-53.121,-25.6218
"2226","2225",-53.081,-25.6218
"2227","2226",-53.041,-25.6218
"2228","2227",-53.001,-25.6218
"2362","2361",-53.121,-25.6618
"2363","2362",-53.081,-25.6618
"2364","2363",-53.041,-25.6618
"2365","2364",-53.001,-25.6618
"2366","2365",-52.961,-25.6618
"2367","2366",-52.921,-25.6618
"2499","2498",-53.121,-25.7018
"2500","2499",-53.081,-25.7018
"2501","2500",-53.041,-25.7018
"2502","2501",-53.001,-25.7018
"2503","2502",-52.961,-25.7018
"2504","2503",-52.921,-25.7018
"2505","2504",-52.881,-25.7018
"2636","2635",-53.121,-25.7418
"2637","2636",-53.081,-25.7418
"2638","2637",-53.041,-25.7418
"2639","2638",-53.001,-25.7418
"2640","2639",-52.961,-25.7418
"2641","2640",-52.921,-25.7418
"2642","2641",-52.881,-25.7418
"2643","2642",-52.841,-25.7418
"2773","2772",-53.121,-25.7818
"2774","2773",-53.081,-25.7818
"2775","2774",-53.041,-25.7818
"2776","2775",-53.001,-25.7818
"2777","2776",-52.961,-25.7818
"2910","2909",-53.121,-25.8218
"2911","2910",-53.081,-25.8218
"2912","2911",-53.041,-25.8218
"2913","2912",-53.001,-25.8218
"3047","3046",-53.121,-25.8618
"3048","3047",-53.081,-25.8618
"3049","3048",-53.041,-25.8618
"3050","3049",-53.001,-25.8618
"3051","3050",-52.961,-25.8618
"3185","3184",-53.081,-25.9018
"3186","3185",-53.041,-25.9018
"3322","3321",-53.081,-25.9418
"3323","3322",-53.041,-25.9418
