fid,id,x,y
"753","752",-51.7210000000001,-25.1818
"754","753",-51.6810000000001,-25.1818
"755","754",-51.6410000000001,-25.1818
"756","755",-51.6010000000001,-25.1818
"890","889",-51.7210000000001,-25.2218
"891","890",-51.6810000000001,-25.2218
"892","891",-51.6410000000001,-25.2218
"893","892",-51.6010000000001,-25.2218
"894","893",-51.5610000000001,-25.2218
"895","894",-51.5210000000001,-25.2218
"896","895",-51.4810000000001,-25.2218
"897","896",-51.4410000000001,-25.2218
"902","901",-51.2410000000001,-25.2218
"1027","1026",-51.7210000000001,-25.2618
"1028","1027",-51.6810000000001,-25.2618
"1029","1028",-51.6410000000001,-25.2618
"1030","1029",-51.6010000000001,-25.2618
"1031","1030",-51.5610000000001,-25.2618
"1032","1031",-51.5210000000001,-25.2618
"1033","1032",-51.4810000000001,-25.2618
"1034","1033",-51.4410000000001,-25.2618
"1035","1034",-51.4010000000001,-25.2618
"1036","1035",-51.3610000000001,-25.2618
"1037","1036",-51.3210000000001,-25.2618
"1038","1037",-51.2810000000001,-25.2618
"1163","1162",-51.7610000000001,-25.3018
"1164","1163",-51.7210000000001,-25.3018
"1165","1164",-51.6810000000001,-25.3018
"1166","1165",-51.6410000000001,-25.3018
"1167","1166",-51.6010000000001,-25.3018
"1168","1167",-51.5610000000001,-25.3018
"1169","1168",-51.5210000000001,-25.3018
"1170","1169",-51.4810000000001,-25.3018
"1171","1170",-51.4410000000001,-25.3018
"1172","1171",-51.4010000000001,-25.3018
"1173","1172",-51.3610000000001,-25.3018
"1174","1173",-51.3210000000001,-25.3018
"1175","1174",-51.2810000000001,-25.3018
"1299","1298",-51.8010000000001,-25.3418
"1300","1299",-51.7610000000001,-25.3418
"1301","1300",-51.7210000000001,-25.3418
"1302","1301",-51.6810000000001,-25.3418
"1303","1302",-51.6410000000001,-25.3418
"1304","1303",-51.6010000000001,-25.3418
"1305","1304",-51.5610000000001,-25.3418
"1306","1305",-51.5210000000001,-25.3418
"1307","1306",-51.4810000000001,-25.3418
"1308","1307",-51.4410000000001,-25.3418
"1309","1308",-51.4010000000001,-25.3418
"1310","1309",-51.3610000000001,-25.3418
"1311","1310",-51.3210000000001,-25.3418
"1312","1311",-51.2810000000001,-25.3418
"1435","1434",-51.8410000000001,-25.3818
"1436","1435",-51.8010000000001,-25.3818
"1437","1436",-51.7610000000001,-25.3818
"1438","1437",-51.7210000000001,-25.3818
"1439","1438",-51.6810000000001,-25.3818
"1440","1439",-51.6410000000001,-25.3818
"1441","1440",-51.6010000000001,-25.3818
"1442","1441",-51.5610000000001,-25.3818
"1443","1442",-51.5210000000001,-25.3818
"1444","1443",-51.4810000000001,-25.3818
"1445","1444",-51.4410000000001,-25.3818
"1446","1445",-51.4010000000001,-25.3818
"1447","1446",-51.3610000000001,-25.3818
"1448","1447",-51.3210000000001,-25.3818
"1449","1448",-51.2810000000001,-25.3818
"1450","1449",-51.2410000000001,-25.3818
"1572","1571",-51.8410000000001,-25.4218
"1573","1572",-51.8010000000001,-25.4218
"1574","1573",-51.7610000000001,-25.4218
"1575","1574",-51.7210000000001,-25.4218
"1576","1575",-51.6810000000001,-25.4218
"1577","1576",-51.6410000000001,-25.4218
"1578","1577",-51.6010000000001,-25.4218
"1579","1578",-51.5610000000001,-25.4218
"1580","1579",-51.5210000000001,-25.4218
"1581","1580",-51.4810000000001,-25.4218
"1582","1581",-51.4410000000001,-25.4218
"1583","1582",-51.4010000000001,-25.4218
"1584","1583",-51.3610000000001,-25.4218
"1585","1584",-51.3210000000001,-25.4218
"1586","1585",-51.2810000000001,-25.4218
"1587","1586",-51.2410000000001,-25.4218
"1588","1587",-51.2010000000001,-25.4218
"1707","1706",-51.9210000000001,-25.4618
"1708","1707",-51.8810000000001,-25.4618
"1709","1708",-51.8410000000001,-25.4618
"1710","1709",-51.8010000000001,-25.4618
"1711","1710",-51.7610000000001,-25.4618
"1712","1711",-51.7210000000001,-25.4618
"1713","1712",-51.6810000000001,-25.4618
"1714","1713",-51.6410000000001,-25.4618
"1715","1714",-51.6010000000001,-25.4618
"1716","1715",-51.5610000000001,-25.4618
"1717","1716",-51.5210000000001,-25.4618
"1718","1717",-51.4810000000001,-25.4618
"1719","1718",-51.4410000000001,-25.4618
"1720","1719",-51.4010000000001,-25.4618
"1721","1720",-51.3610000000001,-25.4618
"1722","1721",-51.3210000000001,-25.4618
"1723","1722",-51.2810000000001,-25.4618
"1724","1723",-51.2410000000001,-25.4618
"1725","1724",-51.2010000000001,-25.4618
"1726","1725",-51.1610000000001,-25.4618
"1843","1842",-51.9610000000001,-25.5018
"1844","1843",-51.9210000000001,-25.5018
"1845","1844",-51.8810000000001,-25.5018
"1846","1845",-51.8410000000001,-25.5018
"1847","1846",-51.8010000000001,-25.5018
"1848","1847",-51.7610000000001,-25.5018
"1849","1848",-51.7210000000001,-25.5018
"1850","1849",-51.6810000000001,-25.5018
"1851","1850",-51.6410000000001,-25.5018
"1852","1851",-51.6010000000001,-25.5018
"1853","1852",-51.5610000000001,-25.5018
"1854","1853",-51.5210000000001,-25.5018
"1855","1854",-51.4810000000001,-25.5018
"1856","1855",-51.4410000000001,-25.5018
"1857","1856",-51.4010000000001,-25.5018
"1858","1857",-51.3610000000001,-25.5018
"1859","1858",-51.3210000000001,-25.5018
"1860","1859",-51.2810000000001,-25.5018
"1861","1860",-51.2410000000001,-25.5018
"1862","1861",-51.2010000000001,-25.5018
"1863","1862",-51.1610000000001,-25.5018
"1979","1978",-52.0010000000001,-25.5418
"1980","1979",-51.9610000000001,-25.5418
"1981","1980",-51.9210000000001,-25.5418
"1982","1981",-51.8810000000001,-25.5418
"1983","1982",-51.8410000000001,-25.5418
"1984","1983",-51.8010000000001,-25.5418
"1985","1984",-51.7610000000001,-25.5418
"1986","1985",-51.7210000000001,-25.5418
"1987","1986",-51.6810000000001,-25.5418
"1988","1987",-51.6410000000001,-25.5418
"1989","1988",-51.6010000000001,-25.5418
"1990","1989",-51.5610000000001,-25.5418
"1991","1990",-51.5210000000001,-25.5418
"1992","1991",-51.4810000000001,-25.5418
"1993","1992",-51.4410000000001,-25.5418
"1994","1993",-51.4010000000001,-25.5418
"1995","1994",-51.3610000000001,-25.5418
"1996","1995",-51.3210000000001,-25.5418
"1997","1996",-51.2810000000001,-25.5418
"1998","1997",-51.2410000000001,-25.5418
"2117","2116",-51.9610000000001,-25.5818
"2118","2117",-51.9210000000001,-25.5818
"2119","2118",-51.8810000000001,-25.5818
"2120","2119",-51.8410000000001,-25.5818
"2121","2120",-51.8010000000001,-25.5818
"2122","2121",-51.7610000000001,-25.5818
"2123","2122",-51.7210000000001,-25.5818
"2124","2123",-51.6810000000001,-25.5818
"2125","2124",-51.6410000000001,-25.5818
"2126","2125",-51.6010000000001,-25.5818
"2127","2126",-51.5610000000001,-25.5818
"2128","2127",-51.5210000000001,-25.5818
"2129","2128",-51.4810000000001,-25.5818
"2130","2129",-51.4410000000001,-25.5818
"2131","2130",-51.4010000000001,-25.5818
"2132","2131",-51.3610000000001,-25.5818
"2133","2132",-51.3210000000001,-25.5818
"2134","2133",-51.2810000000001,-25.5818
"2255","2254",-51.9210000000001,-25.6218
"2256","2255",-51.8810000000001,-25.6218
"2257","2256",-51.8410000000001,-25.6218
"2258","2257",-51.8010000000001,-25.6218
"2259","2258",-51.7610000000001,-25.6218
"2260","2259",-51.7210000000001,-25.6218
"2261","2260",-51.6810000000001,-25.6218
"2262","2261",-51.6410000000001,-25.6218
"2263","2262",-51.6010000000001,-25.6218
"2264","2263",-51.5610000000001,-25.6218
"2265","2264",-51.5210000000001,-25.6218
"2266","2265",-51.4810000000001,-25.6218
"2267","2266",-51.4410000000001,-25.6218
"2268","2267",-51.4010000000001,-25.6218
"2269","2268",-51.3610000000001,-25.6218
"2270","2269",-51.3210000000001,-25.6218
"2271","2270",-51.2810000000001,-25.6218
"2392","2391",-51.9210000000001,-25.6618
"2393","2392",-51.8810000000001,-25.6618
"2394","2393",-51.8410000000001,-25.6618
"2395","2394",-51.8010000000001,-25.6618
"2396","2395",-51.7610000000001,-25.6618
"2397","2396",-51.7210000000001,-25.6618
"2398","2397",-51.6810000000001,-25.6618
"2399","2398",-51.6410000000001,-25.6618
"2400","2399",-51.6010000000001,-25.6618
"2401","2400",-51.5610000000001,-25.6618
"2402","2401",-51.5210000000001,-25.6618
"2403","2402",-51.4810000000001,-25.6618
"2404","2403",-51.4410000000001,-25.6618
"2405","2404",-51.4010000000001,-25.6618
"2406","2405",-51.3610000000001,-25.6618
"2407","2406",-51.3210000000001,-25.6618
"2530","2529",-51.8810000000001,-25.7018
"2531","2530",-51.8410000000001,-25.7018
"2532","2531",-51.8010000000001,-25.7018
"2533","2532",-51.7610000000001,-25.7018
"2534","2533",-51.7210000000001,-25.7018
"2535","2534",-51.6810000000001,-25.7018
"2536","2535",-51.6410000000001,-25.7018
"2537","2536",-51.6010000000001,-25.7018
"2538","2537",-51.5610000000001,-25.7018
"2539","2538",-51.5210000000001,-25.7018
"2540","2539",-51.4810000000001,-25.7018
"2541","2540",-51.4410000000001,-25.7018
"2542","2541",-51.4010000000001,-25.7018
"2543","2542",-51.3610000000001,-25.7018
"2670","2669",-51.7610000000001,-25.7418
"2671","2670",-51.7210000000001,-25.7418
"2672","2671",-51.6810000000001,-25.7418
"2673","2672",-51.6410000000001,-25.7418
"2674","2673",-51.6010000000001,-25.7418
"2675","2674",-51.5610000000001,-25.7418
"2676","2675",-51.5210000000001,-25.7418
"2677","2676",-51.4810000000001,-25.7418
"2810","2809",-51.6410000000001,-25.7818
"2811","2810",-51.6010000000001,-25.7818
