2018:2019,NSE,Log-NSE,KGE,PBIAS(%)
MGB,0.855,0.779,0.818,-8.549
SAC,0.736,0.797,0.739,8.911
GR4J,0.874,0.812,0.889,-1.013
HYMOD,0.772,0.684,0.779,3.34
SMAP,0.694,0.263,0.615,-22.085
IPH2,0.705,0.692,0.698,4.91
