,Q_obs1,Q_obs2,pme,etp,MGB,SAC,GR4,HYMOD,SMAP,IPH2
2017-01-29,60.64,75.325,2.82,4.583,30.14,65.059,46.73,96.308,55.379,39.94
2017-01-30,53.0,73.977,6.58,4.746,27.24,61.987,53.217,94.814,54.0,38.04
2017-01-31,59.6,73.118,18.79,4.169,34.43,60.415,58.012,95.516,54.655,41.264
2017-02-01,72.47,80.931,6.96,4.595,43.57,69.805,57.279,95.263,55.988,44.898
2017-02-02,76.37,89.249,5.08,5.186,41.81,72.565,57.699,94.772,56.464,48.337
2017-02-03,80.88,88.473,8.34,4.961,40.0,71.873,59.409,94.274,56.489,52.691
2017-02-04,80.88,89.61,0.68,5.068,36.69,68.928,61.582,93.082,56.264,51.79
2017-02-05,68.44,84.174,1.91,4.617,33.09,70.445,65.886,91.452,55.229,50.127
2017-02-06,62.79,77.897,0.0,4.748,30.58,65.871,67.58,89.394,53.743,48.553
2017-02-07,57.08,70.527,1.31,4.951,27.17,60.938,63.075,87.019,51.774,45.944
2017-02-08,55.0,59.269,7.5,5.503,24.92,56.161,58.724,84.826,49.813,43.474
2017-02-09,52.5,57.755,0.6,4.707,24.59,52.019,54.756,82.332,47.929,41.138
2017-02-10,53.75,60.802,0.33,4.607,22.47,48.131,50.376,79.775,45.637,38.927
2017-02-11,54.5,59.515,18.5,5.186,27.93,44.854,47.058,79.72,45.074,36.834
2017-02-12,57.34,60.411,31.61,4.722,52.16,51.81,45.637,86.034,51.096,43.259
2017-02-13,65.48,77.616,20.23,3.967,68.57,84.009,47.517,92.369,58.155,54.909
2017-02-14,94.01,104.435,10.48,3.468,63.44,104.888,53.585,97.903,63.513,68.34
2017-02-15,100.94,117.863,0.2,3.727,56.88,111.19,65.002,101.983,66.892,81.048
2017-02-16,102.1,118.881,0.19,3.676,49.47,110.89,85.075,104.471,68.3,84.67
2017-02-17,102.1,117.314,5.82,4.523,45.15,104.94,111.933,105.519,68.741,82.525
2017-02-18,100.08,118.21,1.0,4.398,43.72,98.143,127.515,104.941,68.747,78.09
2017-02-19,96.9,119.575,0.6,4.364,39.43,90.739,119.918,103.098,68.058,73.893
2017-02-20,93.43,115.606,0.56,3.736,35.67,83.17,102.404,100.276,66.803,69.921
2017-02-21,89.96,108.132,0.0,3.853,32.6,75.711,86.086,96.757,65.136,66.163
2017-02-22,80.6,90.396,0.05,4.028,29.89,68.537,74.363,92.795,63.067,62.607
2017-02-23,54.0,63.439,6.66,4.143,28.9,62.058,65.362,88.932,60.887,59.241
2017-02-24,49.04,45.719,1.36,4.082,30.39,56.657,58.126,84.888,58.91,56.057
2017-02-25,38.08,38.328,2.19,4.661,28.57,51.973,52.891,80.93,56.618,53.044
2017-02-26,31.32,34.182,0.66,4.646,25.63,47.901,49.188,77.079,54.097,50.193
2017-02-27,30.24,32.605,2.78,4.602,23.38,44.252,46.537,73.451,51.331,47.496
2017-02-28,32.2,34.749,7.35,4.925,25.38,41.216,44.654,70.398,48.791,44.943
2017-03-01,42.79,43.876,15.24,4.444,31.81,39.367,43.078,69.12,47.835,42.527
2017-03-02,44.27,47.191,3.38,4.437,39.91,38.807,41.655,67.445,47.461,40.242
2017-03-03,51.0,50.935,14.86,4.746,44.44,38.783,41.372,67.507,47.604,40.324
2017-03-04,48.8,58.651,2.34,4.336,37.74,39.273,42.661,66.923,47.979,40.403
2017-03-05,46.19,57.762,10.62,4.076,35.91,39.536,45.849,67.026,48.034,42.021
2017-03-06,44.02,56.916,0.64,4.236,38.63,39.666,50.998,66.521,48.196,43.552
2017-03-07,40.41,52.336,0.08,4.5,33.45,42.319,55.385,65.69,47.505,42.755
2017-03-08,36.24,48.086,0.08,4.286,29.03,40.332,57.396,64.501,46.19,42.001
2017-03-09,34.43,46.643,1.41,4.27,26.54,37.685,58.391,63.006,44.445,39.744
2017-03-10,30.24,41.534,1.31,4.419,25.13,34.877,56.343,61.266,42.476,37.608
2017-03-11,28.74,37.333,0.41,4.347,23.36,32.115,53.551,59.349,40.311,35.586
2017-03-12,25.6,33.627,17.09,3.829,25.33,29.943,49.143,59.493,39.649,33.674
2017-03-13,23.97,34.396,0.27,4.022,30.52,29.093,46.008,58.724,39.776,31.864
2017-03-14,22.37,35.947,0.06,3.915,27.27,28.359,44.28,57.911,38.863,30.152
2017-03-15,21.98,35.66,0.22,4.445,23.52,27.282,43.851,56.916,37.353,28.532
2017-03-16,21.38,33.964,7.0,4.116,22.22,26.032,44.733,56.064,35.706,26.998
2017-03-17,17.21,29.452,4.69,3.667,22.46,25.152,47.046,55.031,34.435,25.548
2017-03-18,18.14,25.119,1.05,3.856,21.63,24.504,48.114,53.777,33.144,24.175
2017-03-19,16.67,23.184,0.18,4.272,20.03,23.694,45.439,52.375,31.572,22.876
2017-03-20,15.95,21.802,0.01,4.214,18.32,22.56,43.17,50.855,29.711,21.646
2017-03-21,15.41,20.761,0.06,3.765,16.86,21.197,41.537,49.256,27.656,20.483
2017-03-22,13.66,19.152,0.0,3.308,15.75,19.698,39.972,47.617,25.765,19.383
2017-03-23,12.99,17.061,0.49,3.44,14.81,18.194,37.816,45.978,24.023,18.341
2017-03-24,12.32,14.848,0.74,2.932,13.98,16.797,35.661,44.37,22.413,17.356
2017-03-25,11.5,14.383,0.05,4.073,13.23,15.552,33.855,42.811,20.923,16.423
2017-03-26,10.85,14.065,0.34,4.065,12.52,14.422,32.324,41.32,19.542,15.541
2017-03-27,10.37,14.085,0.77,3.98,11.88,13.49,30.963,39.909,18.258,14.706
2017-03-28,9.29,14.142,0.74,3.745,11.29,12.699,29.756,38.581,17.064,13.916
2017-03-29,9.6,14.422,0.38,3.348,10.75,12.106,28.695,37.337,15.951,13.168
2017-03-30,9.14,13.496,0.02,3.593,10.25,11.568,27.755,36.173,14.913,12.461
2017-03-31,8.83,13.346,0.08,3.618,9.78,11.098,26.9,35.086,13.944,11.792
2017-04-01,8.83,13.318,0.07,3.451,9.34,10.649,26.117,34.072,13.04,11.158
2017-04-02,7.95,12.782,0.0,3.357,8.94,10.221,25.395,33.126,12.195,10.559
2017-04-03,7.65,11.775,0.04,3.395,8.56,9.812,24.729,32.241,11.406,9.992
2017-04-04,7.36,10.699,2.59,3.141,8.31,9.509,24.11,31.463,10.694,9.455
2017-04-05,7.08,9.487,30.34,3.232,13.11,10.297,23.729,37.52,15.428,12.853
2017-04-06,8.68,12.013,9.74,3.31,24.26,13.494,24.064,41.571,16.637,18.26
2017-04-07,15.59,19.407,0.12,3.393,24.63,17.313,25.34,45.198,16.7,23.376
2017-04-08,18.7,24.308,0.02,3.283,18.94,20.023,27.754,48.101,15.658,28.218
2017-04-09,20.61,26.861,0.05,2.98,14.61,21.273,31.61,50.02,14.181,28.894
2017-04-10,18.7,26.058,1.45,2.832,12.5,21.312,37.366,50.955,12.586,27.341
2017-04-11,16.67,22.414,2.38,4.005,11.31,20.674,42.02,51.034,11.156,25.873
2017-04-12,13.66,19.95,0.1,3.939,10.46,19.709,40.744,50.366,9.939,24.482
2017-04-13,11.5,17.21,0.11,3.967,9.68,18.468,37.882,49.14,8.914,23.167
2017-04-14,10.53,16.044,0.0,3.25,9.01,17.059,35.27,47.517,8.051,21.922
2017-04-15,9.6,13.93,0.01,2.774,8.54,15.599,32.991,45.635,7.318,20.744
2017-04-16,8.54,12.326,1.95,2.683,8.15,14.24,31.018,43.641,6.702,19.63
2017-04-17,8.24,11.519,0.05,3.203,7.84,13.128,29.349,41.585,6.159,18.575
2017-04-18,7.65,11.672,0.02,3.071,7.56,12.156,28.051,39.547,5.679,17.577
2017-04-19,7.51,11.474,0.0,3.138,7.25,11.278,27.034,37.574,5.252,16.633
