Parametros,Par_LOG,Par_DRMS,Par_MACS,Par_NSE
UZTWM,78.0948334312799,74.61910217531613,74.61910217531613,102.40109770177443
UZFWM,5.50197996150134,56.67899311552702,56.67899311552702,5.244793231086948
LZTWM,392.42266255203225,392.42266255203225,166.00061019461316,96.41385953856293
LZFPM,594.8486031205399,594.8486031205399,643.7746268016097,819.4657643564219
LZFSM,318.49223368046904,318.49223368046904,288.68205889116143,57.804076963181465
UZK,0.6578779366109042,0.7418466522598424,0.7418466522598424,0.13609977286595046
LZPK,0.005097692183341134,0.005097692183341134,0.005456927143036425,0.001875861652922231
LZSK,0.07757330595825167,0.07757330595825167,0.08896988867409542,0.021533919531226145
ADIMP,0.0034190782542649952,0.03641670731935789,0.03641670731935789,0.19913531398453915
PCTIM,0.13559565987006256,0.14867405733249528,0.14083922026936707,0.15169323453140865
ZPERC,56.6655163309643,29.562701249348144,29.562701249348144,284.56874670202853
REXP,1.3583256295521078,1.0456201612045959,1.0456201612045959,1.0301572565432173
PFREE,0.7639885252950287,0.7639885252950287,0.708687663621904,0.5952064663633604
NUH,2.957292550644523,1.8261758261009646,2.0309785443128154,1.9375853192964283
KUH,1.8169605818318597,3.5231590566830215,3.23567942246514,3.4724012750683353
NMSK,,,,
KMSK,,,,
XMSK,,,,
