Parametros,Par_NSE
Sat,394.3284698093914
AI,4.6977972004880435
CAPC,0.4992324795563571
Crec,1.7762570119431198
kkt,671.0028143504929
k2t,2.9931704685742986
tc,0.9984903136083797
solo0,0.4449467704718557
pc,0.783694988361087
