Parametros,Par_LOG,Par_DRMS,Par_MACS,Par_NSE
UZTWM,110.16459777047396,117.3164390306405,117.3164390306405,132.26387822492083
UZFWM,126.4057021012589,115.41986044061063,115.41986044061063,88.12202968511023
LZTWM,37.84206154991013,37.84206154991013,26.2988923786637,21.77041683802581
LZFPM,74.0836164128267,74.0836164128267,149.16580313295702,202.42347503879594
LZFSM,67.83112649477198,67.83112649477198,394.6185794520464,37.68388743308001
UZK,0.13492094246486466,0.10043231167385541,0.10043231167385541,0.10520415801752968
LZPK,0.005668603016425031,0.005668603016425031,0.005068622186392993,0.00156273758963702
LZSK,0.07144376077089934,0.07144376077089934,0.08617847681913202,0.12896682740628662
ADIMP,0.18699183678937265,0.02434125519728355,0.02434125519728355,0.0011747568056376797
PCTIM,0.1326655399881483,0.19538601250694684,0.11912424250668106,0.18433733556440116
ZPERC,113.37320047741554,344.41719613800416,344.41719613800416,311.4065753645109
REXP,1.9747181883651275,3.3768005038594286,3.3768005038594286,2.4387231046264097
PFREE,0.037468992315873695,0.037468992315873695,0.28599288276545426,0.013291708383484856
NUH,2.0794679848252295,2.6990581141603887,2.837818767279584,2.14989938290693
KUH,4.04265752162232,3.0962895194890514,2.6819512313072025,4.938833966112615
NMSK,,,,
KMSK,,,,
XMSK,,,,
