2018:2019,NSE,Log-NSE,KGE,PBIAS(%)
MGB,0.556,0.39,0.697,17.748
SAC,0.522,0.372,0.606,35.957
GR4J,0.632,0.452,0.72,22.03
HYMOD,0.552,0.332,0.643,24.415
SMAP,0.626,0.436,0.723,18.749
IPH2,0.619,0.437,0.688,26.381
