2018:2019,NSE,Log-NSE,KGE,PBIAS(%)
MGB,0.908,0.894,0.933,3.666
SAC,0.865,0.89,0.84,7.018
GR4J,0.837,0.776,0.79,-5.312
HYMOD,0.876,0.863,0.863,3.913
SMAP,0.808,0.754,0.788,1.592
IPH2,0.849,0.797,0.73,-0.997
