2018:2019,NSE,Log-NSE,KGE,PBIAS(%)
MGB,0.618,0.698,0.716,20.472
SAC,0.8,0.829,0.83,12.606
GR4J,0.623,0.463,0.666,-0.115
HYMOD,0.652,0.55,0.688,-0.593
SMAP,0.688,-0.27,0.738,20.585
IPH2,0.793,0.675,0.841,4.433
