2018:2019,NSE,Log-NSE,KGE,PBIAS(%)
MGB,0.687,0.729,0.722,10.157
SAC,0.771,0.8,0.833,8.377
GR4J,0.776,0.638,0.79,-11.627
HYMOD,0.717,0.643,0.623,-20.414
SMAP,0.769,0.706,0.881,0.353
IPH2,0.797,0.751,0.876,4.003
