,Q_obs1,Q_obs2,pme,etp,MGB,SAC,GR4,HYMOD,SMAP,IPH2
2017-09-23,16.09,15.094,0.55,3.022,19.51,23.735,28.493,22.282,22.313,31.044
2017-09-24,16.71,15.05,1.64,2.708,18.8,24.074,28.128,21.915,22.042,30.643
2017-09-25,16.71,14.969,0.65,2.443,18.25,24.592,27.781,21.54,21.758,30.266
2017-09-26,16.4,14.422,0.0,3.341,17.8,24.838,27.451,21.163,21.471,29.909
2017-09-27,16.4,14.514,0.32,3.288,17.43,24.857,27.138,20.784,21.186,29.572
2017-09-28,16.09,14.517,1.66,2.87,17.1,25.086,26.836,20.454,20.933,29.254
2017-09-29,16.09,14.901,13.99,2.301,18.53,28.315,26.907,23.761,26.068,30.511
2017-09-30,17.94,16.238,21.27,2.096,21.63,36.839,28.787,33.772,40.426,43.539
2017-10-01,38.5,32.336,0.66,2.203,34.37,44.631,34.214,39.203,43.883,54.035
2017-10-02,52.68,49.927,14.86,3.403,45.92,50.694,42.066,46.811,49.19,58.017
2017-10-03,57.5,54.212,2.83,3.679,46.91,55.396,46.593,50.475,48.468,61.702
2017-10-04,61.9,59.51,0.0,4.035,41.18,56.187,47.08,51.711,45.155,58.973
2017-10-05,56.45,57.094,0.0,3.599,35.67,54.212,46.291,50.969,41.107,56.446
2017-10-06,43.85,45.751,9.61,2.85,36.48,52.909,43.05,50.577,39.815,54.106
2017-10-07,58.05,50.983,20.08,2.951,43.4,56.244,42.63,56.091,49.67,61.475
2017-10-08,78.6,72.825,12.06,3.46,52.59,69.172,47.224,60.121,55.399,73.621
2017-10-09,89.18,86.106,9.86,3.972,65.59,80.52,57.066,63.187,57.423,78.975
2017-10-10,91.5,90.356,5.15,3.239,72.52,86.113,65.366,63.989,55.539,79.793
2017-10-11,98.0,87.905,17.0,3.52,75.67,94.199,67.651,68.091,60.955,85.254
2017-10-12,100.5,98.683,10.38,3.181,72.78,106.435,69.013,70.164,63.187,93.587
2017-10-13,99.5,98.55,3.16,2.845,66.91,109.741,73.821,69.72,60.753,93.154
2017-10-14,102.0,101.639,12.0,3.652,63.18,109.584,78.78,70.156,61.118,93.471
2017-10-15,100.5,100.864,0.52,3.201,60.65,109.595,77.858,68.014,58.134,93.575
2017-10-16,97.5,100.129,0.51,2.636,56.68,106.331,76.231,64.709,53.998,88.506
2017-10-17,93.0,96.72,0.24,2.706,51.74,97.762,73.062,60.623,49.84,83.819
2017-10-18,86.37,90.459,0.03,3.426,47.18,88.926,66.789,56.176,46.098,79.482
2017-10-19,76.79,78.031,6.33,3.532,44.39,81.778,61.97,52.466,44.03,75.471
